resolved_timestamp,type
"2011-10-11 08:00:48+00:00",PS
"2011-10-11 08:18:55+00:00",PS
"2011-10-17 12:15:43+00:00",PS
"2011-10-20 07:51:32+00:00",PS
"2011-10-20 07:52:06+00:00",PS
"2011-10-20 07:52:50+00:00",PS
"2011-10-20 07:53:33+00:00",PS
"2011-10-20 07:54:11+00:00",PS
"2011-10-20 07:58:16+00:00",PS
"2011-10-20 08:06:43+00:00",PS
"2011-10-20 08:07:55+00:00",PS
"2011-10-20 08:09:09+00:00",PS
"2011-10-20 08:10:10+00:00",PS
"2011-10-20 08:10:40+00:00",PS
"2011-10-20 08:11:34+00:00",PS
"2011-10-20 08:15:29+00:00",PS
"2011-11-07 09:17:33+00:00",PS
"2011-11-07 09:18:59+00:00",PS
"2011-11-07 09:19:13+00:00",PS
"2011-11-10 11:41:28+00:00",PS
"2011-11-10 11:47:05+00:00",PS
"2011-11-22 10:43:21+00:00",PS
"2011-12-07 12:23:19+00:00",PS
"2012-01-02 13:55:55+00:00",PS
"2012-01-02 13:56:38+00:00",PS
"2012-01-02 15:19:44+00:00",PS
"2012-01-02 15:20:23+00:00",PS
"2012-01-02 15:22:40+00:00",PS
"2012-01-02 15:23:13+00:00",PS
"2012-01-02 15:23:49+00:00",PS
"2012-01-02 15:24:41+00:00",PS
"2012-01-03 09:02:39+00:00",PS
"2012-01-03 09:12:38+00:00",PS
"2012-01-05 07:44:51+00:00",PS
"2012-01-09 09:37:59+00:00",PS
"2012-03-06 09:40:59+00:00",PS
"2012-03-13 07:39:03+00:00",PS
"2012-03-13 07:39:20+00:00",PS
"2012-03-14 11:23:54+00:00",PS
"2012-03-20 08:06:33+00:00",PS
"2012-03-20 08:07:23+00:00",PS
"2012-03-20 08:09:07+00:00",PS
"2012-03-20 08:12:28+00:00",PS
"2012-03-20 08:12:55+00:00",PS
"2012-03-29 07:24:11+00:00",PS
"2012-03-29 12:08:11+00:00",PS
"2012-04-03 08:51:06+00:00",PS
"2012-04-04 13:20:21+00:00",PS
"2012-04-12 09:49:42+00:00",PS
"2012-04-12 14:01:22+00:00",PS
"2012-04-12 14:04:09+00:00",PS
"2012-04-12 14:04:54+00:00",PS
"2012-04-12 14:06:35+00:00",PS
"2012-04-12 14:07:17+00:00",PS
"2012-04-12 14:07:56+00:00",PS
"2012-04-12 14:08:43+00:00",PS
"2012-04-12 14:09:19+00:00",PS
"2012-04-12 14:10:01+00:00",PS
"2012-04-12 14:10:39+00:00",PS
"2012-04-12 14:13:20+00:00",PS
"2012-04-12 14:14:17+00:00",PS
"2012-04-12 14:14:43+00:00",PS
"2012-04-12 14:15:18+00:00",PS
"2012-04-12 14:16:23+00:00",PS
"2012-04-12 14:16:50+00:00",PS
"2012-04-12 14:17:24+00:00",PS
"2012-04-13 08:32:30+00:00",PS
"2012-04-13 08:34:20+00:00",PS
"2012-04-13 08:36:03+00:00",PS
"2012-04-13 08:40:17+00:00",PS
"2012-04-13 08:43:58+00:00",PS
"2012-04-13 08:45:23+00:00",PS
"2012-04-13 08:50:20+00:00",PS
"2012-04-13 08:51:56+00:00",PS
"2012-04-13 08:52:45+00:00",PS
"2012-04-13 08:53:45+00:00",PS
"2012-04-13 08:56:31+00:00",PS
"2012-04-13 08:57:38+00:00",PS
"2012-04-13 08:59:17+00:00",PS
"2012-04-13 09:00:33+00:00",PS
"2012-04-13 09:02:47+00:00",PS
"2012-04-13 09:03:22+00:00",PS
