ticker,round,y,x
IBM,1,436.31016,13.599030037546934
IBM,1,436.1888177777778,27.16090425531915
IBM,1,436.42436444444445,40.72277847309136
IBM,1,433.96926222222226,54.28465269086358
IBM,1,433.0598311111111,67.88368272841052
IBM,1,432.0702222222222,81.44555694618272
IBM,1,430.6272177777778,95.00743116395495
IBM,1,431.35673777777777,108.56930538172716
IBM,1,432.38105777777776,122.16833541927409
IBM,1,432.10483555555555,135.7302096370463
IBM,1,432.9678222222222,149.29208385481854
IBM,1,431.2935733333333,162.85395807259073
IBM,1,431.8838577777778,176.45298811013768
IBM,1,433.70007999999996,190.0148623279099
IBM,1,433.2146133333334,203.5767365456821
IBM,1,430.1621866666667,217.13861076345432
IBM,1,426.0246222222222,230.73764080100125
IBM,1,418.54931555555555,244.29951501877343
IBM,1,409.42498666666665,257.8613892365457
IBM,1,379.6368888888889,271.42326345431786
IBM,1,348.28796444444447,285.02229349186484
IBM,1,379.0118933333333,298.5841677096371
IBM,1,379.48328000000004,312.14604192740927
IBM,1,394.0271377777778,325.70791614518146
IBM,1,388.2295022222222,339.3069461827284
IBM,1,386.81964444444446,352.8688204005006
IBM,1,379.90988444444446,366.43069461827287
IBM,1,371.27669333333336,379.99256883604505
IBM,1,363.4808711111111,393.591598873592
IBM,1,388.27995555555555,407.1534730913642
IBM,1,354.48648888888886,420.7153473091364
IBM,1,336.78098666666665,434.27722152690865
IBM,1,317.55054222222225,447.8762515644556
IBM,1,311.7043111111111,461.4381257822278
IBM,1,264.82808,475
IBM,1,251.69104888888887,475
IBM,1,267.50328,461.4381257822278
IBM,1,283.93219555555555,447.8762515644556
IBM,1,333.93037333333336,434.27722152690865
IBM,1,339.72742222222223,420.7153473091364
IBM,1,355.88275555555555,407.1534730913642
IBM,1,370.7531911111111,393.591598873592
IBM,1,400.1362933333333,379.99256883604505
IBM,1,378.21412444444445,366.43069461827287
IBM,1,385.5327911111111,352.8688204005006
IBM,1,392.4901688888889,339.3069461827284
IBM,1,401.77876444444445,325.70791614518146
IBM,1,404.17637333333334,312.14604192740927
IBM,1,407.2683022222222,298.5841677096371
IBM,1,397.7341866666667,285.02229349186484
IBM,1,396.6595111111111,271.42326345431786
IBM,1,368.33563555555554,257.8613892365457
IBM,1,395.60360888888886,244.29951501877343
IBM,1,419.09237333333334,230.73764080100125
IBM,1,426.08896,217.13861076345432
IBM,1,432.08674666666667,203.5767365456821
IBM,1,434.5922044444444,190.0148623279099
IBM,1,436.36090666666666,176.45298811013768
IBM,1,436.5731822222222,162.85395807259073
IBM,1,436.89819555555556,149.29208385481854
IBM,1,438.17028444444446,135.7302096370463
IBM,1,438.7482488888889,122.16833541927409
IBM,1,439.11755555555555,108.56930538172716
IBM,1,439.0986844444445,95.00743116395495
IBM,1,439.41225777777777,81.44555694618272
IBM,1,439.77980444444444,67.88368272841052
IBM,1,439.8420888888889,54.28465269086358
IBM,1,439.8480533333333,40.72277847309136
IBM,1,439.7721777777778,27.16090425531915
IBM,1,439.90036444444445,13.599030037546934
IBM,1,439.85313777777776,0
HPQ,1,435.80621333333335,13.599030037546934
HPQ,1,435.53048,27.16090425531915
HPQ,1,435.8299733333333,40.72277847309136
HPQ,1,432.78957333333335,54.28465269086358
HPQ,1,431.7001333333333,67.88368272841052
HPQ,1,430.8540622222222,81.44555694618272
HPQ,1,429.2744622222222,95.00743116395495
HPQ,1,429.65031999999997,108.56930538172716
HPQ,1,430.45737777777777,122.16833541927409
HPQ,1,430.3867822222222,135.7302096370463
HPQ,1,431.1935466666667,149.29208385481854
HPQ,1,429.3417333333333,162.85395807259073
HPQ,1,428.71752,176.45298811013768
HPQ,1,429.04585777777777,190.0148623279099
HPQ,1,427.3421777777778,203.5767365456821
HPQ,1,423.28860444444445,217.13861076345432
HPQ,1,414.44734222222223,230.73764080100125
HPQ,1,397.1891733333333,244.29951501877343
HPQ,1,383.6488088888889,257.8613892365457
HPQ,1,335.57069333333334,271.42326345431786
HPQ,1,248.4569511111111,285.02229349186484
HPQ,1,326.16632888888887,298.5841677096371
HPQ,1,338.3071022222222,312.14604192740927
HPQ,1,365.46664,325.70791614518146
HPQ,1,340.7883111111111,339.3069461827284
HPQ,1,349.16024,352.8688204005006
HPQ,1,338.8652177777778,366.43069461827287
HPQ,1,326.43873777777776,379.99256883604505
HPQ,1,319.40382222222223,393.591598873592
HPQ,1,358.15569777777773,407.1534730913642
HPQ,1,310.8051466666667,420.7153473091364
HPQ,1,296.6049777777778,434.27722152690865
HPQ,1,278.65454222222223,447.8762515644556
HPQ,1,275.94091555555553,461.4381257822278
HPQ,1,223.3796888888889,475
HPQ,1,204.33981333333335,475
HPQ,1,210.86335111111111,461.4381257822278
HPQ,1,228.88076444444448,447.8762515644556
HPQ,1,279.47665777777775,434.27722152690865
HPQ,1,283.79208,420.7153473091364
HPQ,1,306.12824,407.1534730913642
HPQ,1,322.5415111111111,393.591598873592
HPQ,1,365.92795555555557,379.99256883604505
HPQ,1,330.73313777777776,366.43069461827287
HPQ,1,337.37273777777773,352.8688204005006
HPQ,1,347.7710133333333,339.3069461827284
HPQ,1,354.9693155555555,325.70791614518146
HPQ,1,347.76886222222225,312.14604192740927
HPQ,1,370.7071377777778,298.5841677096371
HPQ,1,342.2591822222222,285.02229349186484
HPQ,1,332.3121511111111,271.42326345431786
HPQ,1,260.79005333333333,257.8613892365457
HPQ,1,342.6583111111111,244.29951501877343
HPQ,1,390.03477333333336,230.73764080100125
HPQ,1,402.55795555555557,217.13861076345432
HPQ,1,418.92312,203.5767365456821
