ticker,round,y,x
IBM,1,429.01994666666667,13.599030037546934
IBM,1,429.8067644444444,27.16090425531915
IBM,1,431.1105333333333,40.72277847309136
IBM,1,425.5270311111111,54.28465269086358
IBM,1,424.08089777777775,67.88368272841052
IBM,1,422.45016,81.44555694618272
IBM,1,419.88114666666667,95.00743116395495
IBM,1,421.8178311111111,108.56930538172716
IBM,1,424.58376888888887,122.16833541927409
IBM,1,424.7382577777778,135.7302096370463
IBM,1,427.0821866666667,149.29208385481854
IBM,1,424.80611555555555,162.85395807259073
IBM,1,426.2346488888889,176.45298811013768
IBM,1,429.64357333333334,190.0148623279099
IBM,1,429.12192888888893,203.5767365456821
IBM,1,424.6638488888889,217.13861076345432
IBM,1,418.8039288888889,230.73764080100125
IBM,1,408.39685333333335,244.29951501877343
IBM,1,395.6123111111111,257.8613892365457
IBM,1,353.82091555555553,271.42326345431786
IBM,1,313.1957155555556,285.02229349186484
IBM,1,358.4562666666667,298.5841677096371
IBM,1,360.07106666666664,312.14604192740927
IBM,1,381.03530666666666,325.70791614518146
IBM,1,374.7846666666667,339.3069461827284
IBM,1,374.98208,352.8688204005006
IBM,1,369.14953777777777,366.43069461827287
IBM,1,360.89367111111113,379.99256883604505
IBM,1,355.4191911111111,393.591598873592
IBM,1,382.7255911111111,407.1534730913642
IBM,1,347.47953777777775,420.7153473091364
IBM,1,330.66586666666666,434.27722152690865
IBM,1,313.8588444444444,447.8762515644556
IBM,1,310.0344622222222,461.4381257822278
IBM,1,265.00593777777783,475
IBM,1,251.69104888888887,475
IBM,1,267.50328,461.4381257822278
IBM,1,284.0906933333333,447.8762515644556
IBM,1,332.5497511111111,434.27722152690865
IBM,1,336.7043288888889,420.7153473091364
IBM,1,350.8993155555555,407.1534730913642
IBM,1,365.07914666666665,393.591598873592
IBM,1,395.85519111111114,379.99256883604505
IBM,1,371.70466666666664,366.43069461827287
IBM,1,377.3036177777778,352.8688204005006
IBM,1,383.9826222222222,339.3069461827284
IBM,1,393.27102222222226,325.70791614518146
IBM,1,394.87291555555555,312.14604192740927
IBM,1,398.01842666666664,298.5841677096371
IBM,1,384.1764177777778,285.02229349186484
IBM,1,382.0519022222222,271.42326345431786
IBM,1,340.9143466666667,257.8613892365457
IBM,1,376.6163377777778,244.29951501877343
IBM,1,409.64704,230.73764080100125
IBM,1,419.5049955555555,217.13861076345432
IBM,1,427.99816888888887,203.5767365456821
IBM,1,431.5697955555555,190.0148623279099
IBM,1,434.1659911111111,176.45298811013768
IBM,1,434.36663111111113,162.85395807259073
IBM,1,434.7392622222222,149.29208385481854
IBM,1,436.8068711111111,135.7302096370463
IBM,1,437.7004622222222,122.16833541927409
IBM,1,438.2940711111111,108.56930538172716
IBM,1,438.17634666666663,95.00743116395495
IBM,1,438.7636,81.44555694618272
IBM,1,439.5272444444444,67.88368272841052
IBM,1,439.6504444444445,54.28465269086358
IBM,1,439.65152,40.72277847309136
IBM,1,439.4532266666667,27.16090425531915
IBM,1,439.75223111111114,13.599030037546934
IBM,1,439.60732444444443,0
HPQ,1,427.52042666666665,13.599030037546934
HPQ,1,428.04608,27.16090425531915
HPQ,1,429.6329155555556,40.72277847309136
HPQ,1,422.6959733333333,54.28465269086358
HPQ,1,420.96208,67.88368272841052
HPQ,1,419.75853333333333,81.44555694618272
HPQ,1,416.97744,95.00743116395495
HPQ,1,418.2282133333333,108.56930538172716
HPQ,1,420.6912355555556,122.16833541927409
HPQ,1,421.4171377777778,135.7302096370463
HPQ,1,423.82296,149.29208385481854
HPQ,1,421.3999288888889,162.85395807259073
HPQ,1,420.8644,176.45298811013768
HPQ,1,421.99255999999997,190.0148623279099
HPQ,1,419.70749333333333,203.5767365456821
HPQ,1,413.94847999999996,217.13861076345432
HPQ,1,401.2448977777778,230.73764080100125
HPQ,1,376.9272711111111,244.29951501877343
HPQ,1,358.1914844444444,257.8613892365457
HPQ,1,290.9084444444444,271.42326345431786
HPQ,1,175.16605333333334,285.02229349186484
HPQ,1,287.79960000000005,298.5841677096371
HPQ,1,305.68657777777776,312.14604192740927
HPQ,1,344.40374222222226,325.70791614518146
HPQ,1,315.0228888888889,339.3069461827284
HPQ,1,328.9398933333334,352.8688204005006
HPQ,1,320.75481777777776,366.43069461827287
HPQ,1,309.2816711111111,379.99256883604505
HPQ,1,306.69857777777776,393.591598873592
HPQ,1,349.36616,407.1534730913642
HPQ,1,300.21884444444447,420.7153473091364
HPQ,1,288.1096533333333,434.27722152690865
HPQ,1,273.79019555555556,447.8762515644556
HPQ,1,273.80554666666666,461.4381257822278
HPQ,1,223.59968888888886,475
HPQ,1,204.33981333333335,475
HPQ,1,210.86335111111111,461.4381257822278
HPQ,1,229.09519111111112,447.8762515644556
HPQ,1,277.38734222222223,434.27722152690865
