"#","Name","Color","Parent","Start","Stop","Icon","Description","Namechange_1","When_1","Description_1","Namechange_2","When_2","Description_2",X1,X2,X3
"N","FoX","#f4a651","Fedora Core","2004.10","2006.4",NA,"http://distrowatch.com/table.php?distribution=fox",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ekaaty","#3f7857","Fedora Core","2006.8.15",NA,NA,"http://www.ekaaty.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Amahi","#99aa88","Fedora Core","2007",NA,NA,"http://www.amahi.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Vixta","#82c846","Fedora Core","2007.9.20",NA,NA,"http://xange.serdigital.com/","Simplis","2008.6","http://xange.serdigital.com/","Xange","2009.1.7","http://xange.serdigital.com/",NA,NA,NA
"N","Ojuba","#437644","Fedora Core","2008.8.7",NA,NA,"http://www.ojuba.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Moblin 2","#3366bb","Fedora Core","2008.8.19","2010.5.26",NA,"http://moblin.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","MeeGo","#4e2174","Moblin 2","2010.5.26",NA,NA,"http://meego.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Mer","#002bb8","MeeGo","2011.10.3",NA,NA,"http://merproject.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Tizen","#555","MeeGo","2012.1.5",NA,NA,"http://www.tizen.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","VortexBox","#d92727","Fedora Core","2008.11.28",NA,NA,"http://vortexbox.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Hanthana","#3366a9","Fedora Core","2009.11.17",NA,NA,"http://www.hanthana.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Synergy","#1aa800","Fedora Core","2010.6.15",NA,NA,"http://synergy-linux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Fusion","#0060ff","Fedora Core","2010.10.14",NA,NA,"http://fusionlinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Fuduntu","#4aa02c","Fedora Core","2010.11.7",NA,NA,"http://sourceforge.net/projects/fuduntu/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Parsidora","#027ac6","Fedora Core","2010.12.28",NA,NA,"http://parsidora.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Viperr","#1e1e1e","Fedora Core","2011.12.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","PUIAS","#b00","Red Hat","2003.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","CentOS","#6f4376","Red Hat","2003.12.1",NA,NA,"http://centos.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Asterisk@Home","#599116","CentOS","2004.11.9",NA,NA,"http://www.trixbox.org/","trixbox","2006.6","http://www.trixbox.org/",NA,NA,NA,NA,NA,NA
"N","Elastix","#df1f29","CentOS","2006.12.29",NA,NA,"http://www.elastix.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","BlueOnyx","#0e264c","CentOS","2008.12.31",NA,NA,"http://www.blueonyx.it/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","OpenNode","#004d99","CentOS","2010.2.21",NA,NA,"http://opennodecloud.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","White Box","#737373","Red Hat","2003.12.17","2009.8",NA,"http://www.whiteboxlinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Tao","#56c1ff","Red Hat","2004.12.4","2006.6.14",NA,"http://ftp.riken.go.jp/pub/Linux/tao/tao-1.0-s390x/dist/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","BioBrew","#21896c","Red Hat","2004.1.20","2005.2.23",NA,"http://biobrew.bioinformatics.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","CERN","#4078c3","Red Hat","2004.4.16",NA,NA,"http://linux.web.cern.ch/linux/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Scientific","#191756","Red Hat","2004.5.10",NA,NA,"https://www.scientificlinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","StartCom","#000","Red Hat","2004.8.26",NA,NA,"http://www.startcom.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Oracle Enterprise","#f00","Red Hat","2006.10.25",NA,NA,"http://www.oracle.com/us/technologies/linux/index.htm",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","FrameOS","#000","Red Hat","2010.7.15",NA,NA,"http://www.frameos.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ServOS","#4b78a7","Red Hat","2011.7",NA,NA,"http://www.serv-os.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
