"#","Name","Color","Parent","Start","Stop","Icon","Description","Namechange_1","When_1","Description_1","Namechange_2","When_2","Description_2",X1,X2,X3
"// N","Anthon",NA,"S.u.S.E","2012.5.4",NA,NA,"http://sourceforge.net/projects/anthon/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Jurix","#9f9f9f",NA,"1995.2.8","1997",NA,"http://www.ibiblio.org/pub/historic-linux/distributions/jurix/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Alpine","#5f8dd3",NA,"2006.5.4",NA,NA,"http://www.alpinelinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","openmamba","#4db90a",NA,"2007.6",NA,NA,"http://www.openmamba.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","QiLinux","#ffd133",NA,"2004.3.19","2007.2.6",NA,"http://distrowatch.com/table.php?distribution=qilinux",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ROCK","#77781b",NA,"1998.8",NA,NA,"http://www.rocklinux.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","T2","#09345f","ROCK","2004.10.3",NA,NA,"http://www.t2-project.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Linux From Scratch","#000",NA,"1999.12",NA,NA,"http://www.linuxfromscratch.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ZENIX","#009999","Linux From Scratch","2003.2.10","2004.10.24",NA,"http://distrowatch.com/table.php?distribution=zenix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","NuTyX","#ae0001","Linux From Scratch","2007.11.28",NA,NA,"http://www.nutyx.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","KaarPux","#cb4b16","Linux From Scratch","2012.8.6",NA,NA,"http://kaarpux.kaarposoft.dk/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",0,"#10a409",NA,"2010.3.3",NA,NA,"http://0.tuxfamily.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","tomsrtbt","#000",NA,"1998.11.6","2002.5.4",NA,"http://www.toms.net/rb/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","dyne:bolic","#f1ca6d",NA,"2001.6",NA,NA,"http://dynebolic.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ark","#545454",NA,"2001.8",NA,NA,"http://web.archive.org/web/20110725013724/http://arklinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
