feature;sd
LDAP_VERSION_MAX;1
SLAPD_LDAP;1
_WIN64;2
HAVE_FLOCK;1
LDAP_VERSION;1
HAVE_WAITPID;1
LDAP_DEBUG_THREAD_NONE;1
LDAP_DEBUG;82
HAVE_PTHREAD_KILL_OTHER_THREADS_NP;2
ENOLINK;1
CHANGELESS;1
HAVE_PTHREAD_SETCONCURRENCY;2
SLAPD_MOD_STATIC;2
HAVE_MEMRCHR;1
LDAP_AVA_NULL;1
HAVE_THR_SETCONCURRENCY;3
IX_FSL;1
LDAP_DEBUG_R_SASL;4
BDB_INDEX_USE_HASH;2
PERL_VERSION;1
AC_INT4_TYPE;2
SIGHUP;7
DF_TRACE_DEBUG;2
SLAPD_OVER_PGUID;2
TEST;3
DB_AUTO_COMMIT;2
MS_SYNC;1
SLAPD_OVER_CONSTRAINT;3
DO_KRB5;9
DEBUG;1
HAVE_STDARG;1
HAVE_PTHREAD_KILL;1
O_CLOEXEC;1
HAVE_EBCDIC;53
MDB_DEBUG;14
LLONG_MAX;1
INADDR_NONE;1
PERL_SYS_TERM;1
HAVE_TERMIOS_H;7
HAVE_SYS_DEVPOLL_H;1
SLAPD_REAL_SYNTAX;1
HAVE_GETNAMEINFO;4
F_LOCK;1
LDAP_THREAD_HAVE_RDWR;5
GETHOSTBYADDR_R_NARGS;3
LOG_NDELAY;2
GETHOSTBYNAME_R_NARGS;2
SIGCLD;1
USE_PIPE;1
HAVE_SIGSET;1
LDAPTCL_PROTOCOL_VERSION_DEFAULT;1
HAVE_ASSERT_H;1
HAVE_ARPA_NAMESER_H;2
_LDAP_INT_THREAD_H;1
LDAP_THREAD_IMPLEMENTATION;1
SLAPD_SQL;1
LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;7
LDAP_X_DISTPROC_BASE;1
LDAP_FILTER_EXT_MATCH;1
HAVE_GETPEEREID;3
LDAP_MEMORY_DEBUG;12
inet_aton;1
LOCAL_PEERCRED;2
notyet;3
PTHREAD_CREATE_DETACHED;1
LITTLE_ENDIAN;17
SLAP_EVENTS_ARE_INDEXED;2
BSD;1
HAVE_INET_NTOP;10
HAVE_GETPWNAM;5
LDAP_PASSWD_DEBUG;1
WTERMSIG;1
HAVE_UUID_GENERATE;3
LDAP_FILTER_EQUALITY;1
LIBGNUTLS_VERSION_NUMBER;1
SLAPD_METAPHONE;2
HAVE_CIPHERSUITES;9
LDAP_VLVBYINDEX_IDENTIFIER;1
_ALPHA;1
NEED_SAFE_REALLOC;1
HAVE_THR;4
IPV6_V6ONLY;1
HAVE_PTHREAD_GETCONCURRENCY;2
_WINNT;1
HAVE_SETPWFILE;2
SLAP_CONTROL_X_SORTEDRESULTS;6
LDAP_FILTER_GE;1
HAVE_GETADDRINFO;13
LDAP_X_SYNC_REFRESH_REQUIRED;1
HAVE_DEVPOLL;3
ENOSR;2
LDAP_SCOPE_SUBORDINATE;1
HAVE_GETHOSTBYADDR_R;5
HAVE_STRUCT_MSGHDR_MSG_CONTROL;7
NO_THREAD;1
LDAP_CONTROL_X_SESSION_TRACKING;10
CTIME_R_NARGS;4
HAVE_GSS_OID_TO_STR;1
EALREADY;1
DATA_READY_LOOP;1
LDAP_R_COMPILE;38
PCNFS;1
HAVE_SETEUID;1
SHA2_UNROLL_TRANSFORM;2
HAVE_FCNTL_H;12
MDB_PARANOID;1
_authorityKeyIdentifier_h_;1
NO_PBLOCK_CLASS;1
O_DIRECT;1
LDAP_DEVEL;17
HAVE_GMTIME_R;1
SLAPD_OVER_VALSORT;2
INFTIM;1
STDERR_FILENO;1
PROV_RSA_FULL;1
HAVE_LIBUTIL_H;1
LDAP_SLAPI;32
LDAP_OPT_API_FEATURE_INFO;1
HAVE_STRUCT_MSGHDR_MSG_ACCRIGHTSLEN;1
HAVE_SYS_NDIR_H;1
LDAP_CONTROL_DONTUSECOPY;8
MAXHOSTNAMELEN;2
MDB_DSYNC;1
SAFEMEMCPY;1
BACKSQL_UPPERCASE_FILTER;3
HAVE_NT_SERVICE_MANAGER;11
SIZEOF_LONG;2
SIGSTKFLT;1
_POSIX_REENTRANT_FUNCTIONS;1
SD_BOTH;1
LDAP_VENDOR_VERSION_MINOR;1
READ_PASSWORD_FROM_STDIN;3
SLAPD_LMHASH;6
DB_BUFFER_SMALL;1
LDAP_PF_LOCAL_SENDMSG;15
HAVE_OPENSSL;9
LOCAL_CREDS;1
CHANGEABLE;1
SLAPD_META;1
HAVE_GETPWUID;1
SLAPD_OVER_MEMBEROF;3
CMSG_SPACE;2
HAVE_MEMORY_H;1
SLAPD_RLOOKUPS;3
HAVE_PCNFS;3
LDAP_DEFINE_LDAP_DEBUG;1
LDAP_INT_THREAD_MUTEXATTR;3
HAVE_SETPROCTITLE;1
HAVE_CONIO_H;1
HAVE_SNPRINTF;1
BDB_LOG_DEBUG;1
EDQUOT;1
CHAR_BIT;1
HAVE_SYS_EPOLL_H;1
SIGUNUSED;1
HAVE_SYSCONF;3
SLAP_NO_SL_MALLOC;1
HAVE_SYSLOG_H;1
WINNT;1
HAVE_SGTTY_H;4
LDAP_PVT_THREAD_STACK_SIZE;2
MDB_FDATASYNC;1
INET6_ADDRSTRLEN;1
PF_LOCAL;1
META_BACK_PRINT_CONNTREE;15
HAVE_LOCALTIME_R;1
__i386;2
HAVE_SCHED_H;1
SLAPD_RELAY;1
S_ISREG;1
HAVE_STRTOLL;4
SLAPD_TOOLS;1
POSIX_MADV_RANDOM;1
HAVE_SYSEXITS_H;1
CONNECTION_INPUT_LOOP;1
HAVE_SIGACTION;2
LDAP_FEATURE_INFO_VERSION;1
SLAPD_MDB;1
BACKSQL_TRACE;39
ABOVE_HARD_LIMIT_IS_ERROR;4
HAVE_INET_ATON;2
rs_assert_;1
LDAP_FILTER_LE;1
STRICT_GROUPS;1
HAVE_VSNPRINTF;1
CTIME_R_RETURNS_INT;1
SIGTRAP;1
HAVE_MACH_CTHREADS;2
DC_IN_UFN;4
SLAP_ZONE_ALLOC;39
LUTIL_SHA1_BYTES;7
SLAPD_OVER_ACCESSLOG;2
MDB_WRITES_PER_COMMIT;1
USE_TRICKLE;5
_POSIX_THREAD_SAFE_FUNCTIONS;1
LOG_DEBUG;5
SLAP_DEFAULT_SYSLOG_USER;2
SLAPD_CLEARTEXT;5
HAVE_SYS_SELECT_H;1
LDAP_NEEDS_PROTOTYPES;1
SLAPD_OVER_REFINT;2
USE_GMTIME_R;5
MDB_PIDLOCK;2
CMSG_LEN;2
DO_SHADOW;7
STRIDE_FACTOR;1
HAVE_HSTRERROR;2
SLAPD_NDB;1
