branch;line;nd
#if defined(MAGICKCORE_JPEG_DELEGATE);1199;1
#if defined(MAGICKCORE_JPEG_DELEGATE);1218;2
#if defined(MAGICKCORE_ZLIB_DELEGATE);29;1
#ifdef __WIN32__;58;1
#else;60;2
#if defined(MAGICKCORE_ZLIB_DELEGATE);360;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);373;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);536;1
#if defined(MAGICKCORE_HAVE_LOCALTIME_R);912;1
#else;914;1
#ifdef IMPLEMENT_IS_FUNCTION;23;1
#ifdef HANDLE_GT_LT;47;1
#if defined(future);659;1
#if defined(future);725;1
#if defined(future);809;1
#ifdef HANDLE_GT_LT;1361;1
#if defined(MAGICKCORE_WINDOWS_SUPPORT);1383;1
#else;1385;2
#if defined(MAGICKCORE_BZLIB_DELEGATE);36;1
#if defined(MAGICKCORE_LZMA_DELEGATE);39;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);42;1
#if !defined(LZMA_OK);45;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);58;1
#if defined(MAGICKCORE_LZMA_DELEGATE);65;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);72;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);268;1
#if defined(MAGICKCORE_LZMA_DELEGATE);275;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);282;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);295;1
#if defined(MAGICKCORE_LZMA_DELEGATE);317;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);350;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1086;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1089;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1092;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1097;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1112;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1132;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1175;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1199;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1229;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);1289;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1309;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1321;1
#if defined(MagickImageCoderSignatureText);1390;2
#if defined(MAGICKCORE_BZLIB_DELEGATE);1571;1
#if defined(MAGICKCORE_LZMA_DELEGATE);1584;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1612;1
#if !defined(MAGICKCORE_LZMA_DELEGATE);1657;1
#if !defined(MAGICKCORE_ZLIB_DELEGATE);1660;1
#if !defined(MAGICKCORE_BZLIB_DELEGATE);1664;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2010;1
#if defined(MAGICKCORE_LZMA_DELEGATE);2026;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2042;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2080;1
#if defined(MAGICKCORE_LZMA_DELEGATE);2107;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2133;1
#if defined(MAGICKCORE_BZLIB_DELEGATE);2209;1
#if defined(MAGICKCORE_LZMA_DELEGATE);2237;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2262;1
#if defined(MAGICKCORE_XML_DELEGATE);52;3
#if defined(MAGICKCORE_XML_DELEGATE);89;1
#if defined(MAGICKCORE_XML_DELEGATE);96;1
#if defined(MAGICKCORE_XML_DELEGATE);102;2
#if defined(MAGICKCORE_XML_DELEGATE);7117;1
#if defined(MAGICKCORE_XML_DELEGATE);7121;1
#if defined(MAGICKCORE_XML_DELEGATE);7130;1
#if defined(MAGICKCORE_XML_DELEGATE);7384;1
#if defined(MAGICKCORE_XML_DELEGATE);7388;1
#if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);28;1
#if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);33;1
#if defined(PANGO_VERSION_STRING);346;1
#if defined(MAGICKCORE_PANGOCAIRO_DELEGATE);351;1
#if defined(MAGICKCORE_TIFF_DELEGATE);42;1
#else;44;1
#if defined(MAGICKCORE_GS_DELEGATE) || defined(MAGICKCORE_WINDOWS_SUPPORT);49;1
#if defined(MAGICKCORE_GS_DELEGATE) || defined(MAGICKCORE_WINDOWS_SUPPORT);76;2
#else;155;1
#if !defined(MAGICKCORE_JPEG_DELEGATE);953;1
#if !defined(MAGICKCORE_LIBOPENJP2_DELEGATE);963;1
#if !defined(MAGICKCORE_ZLIB_DELEGATE);973;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1340;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1441;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1525;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1751;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1844;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);1918;1
#if defined(MAGICKCORE_ZLIB_DELEGATE);2102;1
#if defined(MAGICKCORE_HAVE_LOCALTIME_R);2167;1
#else;2169;1
#if !defined(macintosh);539;1
#if defined(MAGICKCORE_PNG_DELEGATE);42;4
#if defined(MAGICKCORE_PNG_DELEGATE);642;4
#if defined(PNG_LIBPNG_VER_STRING);5070;1
#if defined(MAGICKCORE_PNG_DELEGATE);5082;1
#if defined(MAGICKCORE_PNG_DELEGATE);5095;1
#if defined(MAGICKCORE_PNG_DELEGATE);5109;1
#if defined(ZLIB_VERSION);5122;1
#if defined(MAGICKCORE_PNG_DELEGATE);5133;1
#if defined(MAGICKCORE_PNG_DELEGATE);5144;1
#if defined(MAGICKCORE_PNG_DELEGATE);5155;1
#if defined(MAGICKCORE_PNG_DELEGATE);5166;1
#if defined(MAGICKCORE_PNG_DELEGATE);5177;1
#if defined(JNG_SUPPORTED);5189;2
#ifdef IMPNG_SETJMP_NOT_THREAD_SAFE;5202;1
#ifdef IMPNG_SETJMP_NOT_THREAD_SAFE;5218;1
#if defined(MAGICKCORE_PNG_DELEGATE);5223;4
#if defined(MAGICKCORE_GS_DELEGATE) || defined(MAGICKCORE_WINDOWS_SUPPORT);41;1
#if defined(MAGICKCORE_GS_DELEGATE) || defined(MAGICKCORE_WINDOWS_SUPPORT);68;2
#else;147;1
#if defined(MAGICKCORE_TIFF_DELEGATE);31;1
#else;33;1
#if !defined(MAGICKCORE_JPEG_DELEGATE);320;1
#if defined(MAGICKCORE_TIFF_DELEGATE);44;1
#else;46;1
#if !defined(MAGICKCORE_JPEG_DELEGATE);711;1
#if !defined(MAGICKCORE_ZLIB_DELEGATE);721;1
#ifdef MAGICKCORE_ZLIB_DELEGATE;30;1
#ifdef MAGICKCORE_ZLIB_DELEGATE;729;1
#else;820;1
#ifdef MAGICKCORE_ZLIB_DELEGATE;865;1
#else;869;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);2;3
#if defined(MAGICKCORE_WINGDI32_DELEGATE);46;1
#elif defined(MAGICKCORE_X11_DELEGATE);142;1
#if defined(MAGICKCORE_XML_DELEGATE);35;3
#if defined(MAGICKCORE_AUTOTRACE_DELEGATE);48;1
#if defined(MAGICKCORE_RSVG_DELEGATE);51;2
#if defined(MAGICKCORE_XML_DELEGATE);118;1
#if defined(MAGICKCORE_XML_DELEGATE);135;4
#if defined(LIBXML_DOTTED_VERSION);2806;1
#if defined(MAGICKCORE_RSVG_DELEGATE);2809;2
#if defined(MAGICKCORE_XML_DELEGATE);2816;1
#if defined(MAGICKCORE_XML_DELEGATE);2820;1
#if defined(MAGICKCORE_XML_DELEGATE);2834;1
#if defined(MAGICKCORE_XML_DELEGATE);2848;1
#if defined(MAGICKCORE_XML_DELEGATE);2865;1
#if defined(MAGICKCORE_AUTOTRACE_DELEGATE);2936;1
#else;2991;1
#if defined(MAGICKCORE_TIFF_DELEGATE);45;2
#if defined(MAGICKCORE_TIFF_DELEGATE);140;1
#if defined(TIFF_VERSION_BIG);156;1
#if defined(MAGICKCORE_TIFF_DELEGATE);166;1
#if defined(MAGICKCORE_TIFF_DELEGATE);268;3
#if defined(MAGICKCORE_HAVE_TIFFMERGEFIELDINFO) && defined(MAGICKCORE_HAVE_TIFFSETTAGEXTENDER);1550;1
#if defined(MAGICKCORE_HAVE_TIFFMERGEFIELDINFO) && defined(MAGICKCORE_HAVE_TIFFSETTAGEXTENDER);1638;1
#if defined(TIFF_VERSION);1646;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1649;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1662;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1677;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1689;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1704;1
#if defined(TIFF_VERSION_BIG);1719;1
#if defined(MAGICKCORE_HAVE_TIFFMERGEFIELDINFO) && defined(MAGICKCORE_HAVE_TIFFSETTAGEXTENDER);1748;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1757;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1877;1
#if defined(MAGICKCORE_TIFF_DELEGATE);1926;3
#if defined(MAGICKCORE_FREETYPE_DELEGATE);19;2
#if defined(MAGICKCORE_FREETYPE_DELEGATE);45;1
#if defined(FREETYPE_MAJOR) && defined(FREETYPE_MINOR) && defined(FREETYPE_PATCH);152;1
#if defined(MAGICKCORE_FREETYPE_DELEGATE);157;1
#if defined(MAGICKCORE_FREETYPE_DELEGATE);168;1
#if defined(MAGICKCORE_FREETYPE_DELEGATE);179;1
#if defined(MAGICKCORE_FREETYPE_DELEGATE);190;1
#if defined(MAGICKCORE_FREETYPE_DELEGATE);201;1
#if defined(MAGICKCORE_FREETYPE_DELEGATE);212;1
#if defined(MAGICKCORE_XML_DELEGATE);19;3
#if defined(MAGICKCORE_WINDOWS_SUPPORT) &&     !(defined(__MINGW32__) || defined(__MINGW64__));32;1
#if defined(__cplusplus) || defined(c_plusplus);35;1
#if defined(MAGICKCORE_XML_DELEGATE) && defined(LIBXML_FTP_ENABLED);38;1
#if defined(__cplusplus) || defined(c_plusplus);54;1
#if defined(MAGICKCORE_WINDOWS_SUPPORT) &&     !(defined(__MINGW32__) || defined(__MINGW64__));95;1
#else;105;2
#if (defined(MAGICKCORE_WINDOWS_SUPPORT) &&     !(defined(__MINGW32__) || defined(__MINGW64__))) ||     (defined(MAGICKCORE_XML_DELEGATE) && defined(LIBXML_HTTP_ENABLED));181;1
#if defined(MAGICKCORE_WINDOWS_SUPPORT) &&     !(defined(__MINGW32__) || defined(__MINGW64__));189;1
#if (defined(MAGICKCORE_WINDOWS_SUPPORT) &&     !(defined(__MINGW32__) || defined(__MINGW64__))) ||     (defined(MAGICKCORE_XML_DELEGATE) && defined(LIBXML_FTP_ENABLED));197;1
#if defined(MAGICKCORE_WEBP_DELEGATE);27;1
#if defined(MAGICKCORE_WEBP_DELEGATE);31;1
#if defined(MAGICKCORE_WEBP_DELEGATE);43;1
#if defined(MAGICKCORE_WEBP_DELEGATE);249;1
#if defined(MAGICKCORE_WEBP_DELEGATE);271;2
#if defined(__CYGWIN__);27;1
#if defined(MAGICKCORE_WMF_DELEGATE);30;1
#elif defined(MAGICKCORE_WMFLITE_DELEGATE);145;4
#if defined(MAGICKCORE_WMF_DELEGATE) || defined(MAGICKCORE_WMFLITE_DELEGATE);2160;1
#if defined(MAGICKCORE_WMF_DELEGATE) || defined(MAGICKCORE_WMFLITE_DELEGATE);2168;1
#if defined(MAGICKCORE_X11_DELEGATE);23;1
#if defined(MAGICKCORE_X11_DELEGATE);27;1
#if defined(MAGICKCORE_X11_DELEGATE);50;1
#if 0;703;1
#if 0;715;1
#if 0;950;1
#else;967;1
#if 0;982;1
#if defined(MAGICKCORE_X11_DELEGATE);25;2
#if defined(MAGICKCORE_X11_DELEGATE);33;1
#if defined(MAGICKCORE_X11_DELEGATE);50;1
#if defined(MAGICKCORE_X11_DELEGATE);358;1
#if defined(MAGICKCORE_X11_DELEGATE);373;1
#if defined(MAGICKCORE_OPENMP_SUPPORT);69;1
#if defined(__cplusplus) || defined(c_plusplus);4;1
#if defined(__cplusplus) || defined(c_plusplus);7;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if !defined(_MAGICKCORE_CONFIG_H);6;2
#if defined(WIN32) || defined(WIN64);32;1
#else;34;1
#if defined(MAGICKCORE_NAMESPACE_PREFIX);38;1
#if defined(__cplusplus) || defined(c_plusplus);127;1
#if defined(MAGICKCORE_X11_DELEGATE);2;2
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(PRE_R6_ICCCM);6;1
#if defined(PRE_R5_ICCCM);21;1
#if defined(PRE_R4_ICCCM);25;2
#else;68;1
#if defined(__cplusplus) || defined(c_plusplus);70;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(MAGICKCORE_OPENCL_SUPPORT);6;2
#if defined(__cplusplus) || defined(c_plusplus);2427;1
#ifdef MAGICKCORE_CLPERFMARKER;38;1
#if defined(MAGICKCORE_OPENCL_SUPPORT);43;2
#else;5376;1
#if defined(__cplusplus) || defined(c_plusplus);8;1
#if defined(__cplusplus) || defined(c_plusplus);45;1
#if defined(MAGICKCORE_X11_DELEGATE);3;1
#if defined(__cplusplus) || defined(c_plusplus);6;1
#if defined(MAGICKCORE_X11_DELEGATE);9;1
#if defined(__cplusplus) || defined(c_plusplus);15;1
#if defined(MAGICKCORE_X11_DELEGATE);33;2
#else;2371;1
#if defined(__cplusplus) || defined(c_plusplus);3;1
#if defined(__cplusplus) || defined(c_plusplus);8;1
#if defined(MAGICKCORE_FREETYPE_DELEGATE);34;2
#if defined(MAGICKCORE_FREETYPE_DELEGATE);567;2
#else;1069;1
#if defined(__cplusplus) || defined(c_plusplus);4;1
#if defined(__cplusplus) || defined(c_plusplus);17;1
#if defined(__cplusplus) || defined(c_plusplus);4;1
