guard;line;td
# if !defined (tek4300) && defined (unix) && defined (m68k) && defined (mc68000) && defined (mc68020) && defined (_MACH_IND_SYS_TYPES);55;6
# ifndef LOAD_AVE_TYPE;58;1
# ifdef MORE_BSD;59;1
# ifdef sun;62;1
# ifdef decstation;65;1
# ifdef _SEQUENT_;68;1
# ifdef sgi;71;1
# ifdef SVR4;74;1
# ifdef sony_news;77;1
# ifdef sequent;80;1
# ifdef OSF_ALPHA;83;1
# if defined (ardent) && defined (titan);86;2
# ifdef tek4300;89;1
# if defined (alliant) && defined (i860);92;2
# if defined _AIX && ! defined HAVE_LIBPERFSTAT;95;2
# ifdef convex;98;1
# ifndef LDAV_CVT;100;1
# ifdef OSF_ALPHA;105;1
# if defined (alliant) && defined (i860);109;2
# ifndef FSCALE;113;1
# ifdef MORE_BSD;114;1
# if defined (MIPS) || defined (SVR4) || defined (decstation);117;3
# if defined (sgi) || defined (sequent);120;2
# if defined (ardent) && defined (titan);124;2
# ifdef tek4300;127;1
# if defined _AIX && !defined HAVE_LIBPERFSTAT;130;2
# if !defined (LDAV_CVT) && defined (FSCALE);134;2
# ifndef NLIST_STRUCT;137;1
# if HAVE_NLIST_H;138;1
# if defined (sgi) || (defined (mips) && !defined (BSD));142;3
# if !defined (KERNEL_FILE) && defined (sequent);145;2
# if !defined (KERNEL_FILE) && defined (hpux);148;2
# if !defined (KERNEL_FILE) && (defined (_SEQUENT_) || defined (MIPS) || defined (SVR4) || defined (ISC) || defined (sgi) || (defined (ardent) && defined (titan)));151;8
# if !defined (LDAV_SYMBOL) && defined (alliant);154;2
# if !defined (LDAV_SYMBOL) && ((defined (hpux) && !defined (hp9000s300)) || defined (_SEQUENT_) || defined (SVR4) || defined (ISC) || defined (sgi) || (defined (ardent) && defined (titan)) || (defined (_AIX) && !defined(HAVE_LIBPERFSTAT)));157;11
# if !defined (LOAD_AVE_TYPE) && (defined (BSD) || defined (LDAV_CVT) || defined (KERNEL_FILE) || defined (LDAV_SYMBOL));161;5
# ifdef LOAD_AVE_TYPE;164;1
# ifndef __VMS;165;1
# ifndef __linux__;166;1
# ifndef NLIST_STRUCT;167;1
# ifdef SUNOS_5;172;1
# if defined (hpux) && defined (HAVE_PSTAT_GETDYNAMIC);176;2
# ifndef KERNEL_FILE;179;1
# ifndef LDAV_SYMBOL;182;1
# ifndef eunice;187;1
# ifndef LDAV_CVT;194;1
# if defined HAVE_LIBPERFSTAT;198;1
# ifndef SBITS;202;1
# if defined (__GNU__) && !defined (NeXT);206;2
# ifdef NeXT;210;1
# ifdef HAVE_MACH_MACH_H;211;1
# ifdef sgi;217;1
# ifdef UMAX;220;1
# ifdef UMAX_43;225;1
# ifdef DGUX;240;1
# if (defined __linux__ || defined __CYGWIN__ || defined SUNOS_5       || (defined LOAD_AVE_TYPE && ! defined __VMS));243;5
# ifdef NeXT;246;1
# ifdef UMAX;250;1
# ifdef DGUX;254;1
# if !defined (HAVE_LIBKSTAT) && defined (LOAD_AVE_TYPE);257;2
# if ! defined __VMS && ! defined sgi && ! defined __linux__;261;3
# ifdef SUNOS_5;264;1
# ifdef NO_GET_LOAD_AVG;272;1
# if !defined (LDAV_DONE) && defined (HAVE_LIBKSTAT);277;2
# if !defined (LDAV_DONE) && defined (hpux) && defined (HAVE_PSTAT_GETDYNAMIC);317;3
# if ! defined LDAV_DONE && defined HAVE_LIBPERFSTAT;330;2
# if !defined (LDAV_DONE) && (defined (__linux__) || defined (__CYGWIN__));344;3
# ifndef LINUX_LDAV_FILE;347;1
# if !defined (LDAV_DONE) && defined (__NetBSD__);387;2
# ifndef NETBSD_LDAV_FILE;390;1
# if !defined (LDAV_DONE) && defined (NeXT);412;2
# if !defined (LDAV_DONE) && defined (UMAX);441;2
# if !defined (LDAV_DONE) && defined (DGUX);494;2
# if !defined (LDAV_DONE) && defined (apollo);506;2
# if !defined (LDAV_DONE) && defined (OSF_MIPS);518;2
# if !defined (LDAV_DONE) && (defined (__MSDOS__) || defined (WINDOWS32));527;3
# if !defined (LDAV_DONE) && defined (OSF_ALPHA);534;2
# if ! defined LDAV_DONE && defined __VMS;544;2
# ifdef eunice;547;1
# ifdef eunice;556;1
# if ! defined LDAV_DONE && defined LOAD_AVE_TYPE && ! defined __VMS;578;3
# ifndef sgi;583;1
# if ! defined NLIST_STRUCT || ! defined N_NAME_POINTER;584;2
# ifdef HAVE_STRUCT_NLIST_N_UN_N_NAME;588;1
# ifndef SUNOS_5;596;1
# if !(defined (_AIX) && !defined (ps2));598;2
# ifdef FIXUP_KERNEL_SYMBOL_ADDR;605;1
# ifndef SUNOS_5;619;1
# ifndef O_CLOEXEC;620;1
# if F_DUPFD_CLOEXEC;626;1
# ifndef SUNOS_5;652;1
# if !defined (LDAV_DONE) && defined (LOAD_AVE_TYPE);675;2
# if !defined LDAV_DONE;684;1
#ifndef _LIBC;1;1
#ifdef _LIBC;9;1
#if defined _LIBC && defined USE_IN_LIBIO;15;2
#if defined HAVE_DECL_GETENV && !HAVE_DECL_GETENV;24;1
#ifdef _LIBC;27;1
# ifdef USE_NONOPTION_FLAGS;30;1
# ifdef USE_NONOPTION_FLAGS;33;1
#if defined _LIBC && defined USE_NONOPTION_FLAGS;48;2
#if defined _LIBC && defined USE_NONOPTION_FLAGS;118;2
#if defined _LIBC && defined USE_NONOPTION_FLAGS;170;2
#if defined _LIBC && defined USE_IN_LIBIO;273;2
#if defined _LIBC && defined USE_IN_LIBIO;336;2
#if defined _LIBC && defined USE_IN_LIBIO;342;2
#if defined _LIBC && defined USE_IN_LIBIO;352;2
#if defined _LIBC && defined USE_IN_LIBIO;362;2
#if defined _LIBC && defined USE_IN_LIBIO;389;2
#if defined _LIBC && defined USE_IN_LIBIO;429;2
#if defined _LIBC && defined USE_IN_LIBIO;435;2
#if defined _LIBC && defined USE_IN_LIBIO;445;2
#if defined _LIBC && defined USE_IN_LIBIO;453;2
#if defined _LIBC && defined USE_IN_LIBIO;481;2
#if defined _LIBC && defined USE_IN_LIBIO;485;2
#if defined _LIBC && defined USE_IN_LIBIO;491;2
#if defined _LIBC && defined USE_IN_LIBIO;527;2
#if defined _LIBC && defined USE_IN_LIBIO;584;2
#if defined _LIBC && defined USE_IN_LIBIO;617;2
#if defined _LIBC && defined USE_IN_LIBIO;648;2
#if defined _LIBC && defined USE_IN_LIBIO;711;2
#if _LIBC;760;1
#ifdef _LIBC;773;1
#ifdef TEST;783;1
#ifndef _@GUARD_PREFIX@_GETOPT_H;1;4
#if __GNUC__ >= 3;2;1
#if @HAVE_GETOPT_H@;6;1
#ifndef _@GUARD_PREFIX@_GETOPT_H;10;4
#ifndef __need_getopt;11;1
#if defined __GETOPT_PREFIX && !defined __need_getopt;14;2
# if !@HAVE_GETOPT_H@;15;1
#if !defined __need_getopt;42;1
# if defined __GETOPT_PREFIX;43;1
#if !defined __GNU_LIBRARY__;49;1
#ifndef __THROW;52;1
# ifndef __GNUC_PREREQ;53;1
# if defined __cplusplus && __GNUC_PREREQ (2,8);56;1
#ifdef __cplusplus;62;1
#ifndef __need_getopt;69;1
# if !GNULIB_defined_struct_option;70;1
#ifndef __need_getopt;86;1
#ifdef __cplusplus;96;1
#ifdef _LIBC;1;1
#ifdef __GNU_LIBRARY__;9;1
#ifndef NULL;12;1
#ifdef TEST;46;1
#if __GNUC__ >= 3;2;1
#if HAVE_GETOPT_H;5;1
# ifndef __GNUC__;7;1
#ifndef _GL_GETOPT_H;14;1
#ifndef __need_getopt;15;1
#if defined __GETOPT_PREFIX && !defined __need_getopt;18;2
# if !HAVE_GETOPT_H;19;1
#if !defined __need_getopt;46;1
# if defined __GETOPT_PREFIX;47;1
#if !defined __GNU_LIBRARY__;53;1
#ifndef __THROW;56;1
# ifndef __GNUC_PREREQ;57;1
# if defined __cplusplus && __GNUC_PREREQ (2,8);60;1
#ifndef _GL_ARG_NONNULL;66;1
# if (__GNUC__ == 3 && __GNUC_MINOR__ >= 3) || __GNUC__ > 3;67;2
#ifdef __cplusplus;73;1
#ifndef __need_getopt;80;1
# if !GNULIB_defined_struct_option;81;1
#ifndef __need_getopt;97;1
#ifdef __cplusplus;107;1
#if defined _LIBC && defined USE_NONOPTION_FLAGS;24;2
#if ENABLE_NLS;3;1
# ifdef DEFAULT_TEXT_DOMAIN;5;1
#if defined(__sun);12;1
#if defined(__cplusplus) && defined(__GNUG__) && (__GNUC__ >= 3);15;3
