guard;line;td
#ifdef G_OS_WIN32;7;1
# if HAVE_SYS_WAIT_H;11;1
#if HAVE_SYS_SELECT_H;30;1
#if USE_SSL;34;1
#ifdef G_OS_WIN32;39;1
#ifdef G_OS_UNIX;57;1
#if USE_THREADS;64;1
#ifndef INET6;111;1
#ifdef G_OS_WIN32;115;1
#ifdef G_OS_UNIX;130;1
#ifdef G_OS_WIN32;151;1
#ifdef G_OS_WIN32;164;1
#ifdef G_OS_WIN32;180;1
#ifdef G_OS_WIN32;205;1
#ifdef G_OS_UNIX;238;1
#ifdef G_OS_UNIX;260;1
#ifdef G_OS_WIN32;324;1
#ifdef G_OS_WIN32;374;1
#ifdef G_OS_WIN32;394;1
#ifdef G_OS_WIN32;402;1
#if USE_SSL;404;1
#if USE_SSL;432;1
#if USE_SSL;474;1
#if defined(G_OS_UNIX) && !defined(USE_THREADS);525;2
#ifdef G_OS_WIN32;538;1
#ifdef G_OS_UNIX;640;1
#if defined(G_OS_UNIX) && !defined(USE_THREADS);654;2
#if defined(G_OS_UNIX) && !defined(USE_THREADS);668;2
#if defined(G_OS_UNIX) && !defined(USE_THREADS);676;2
#ifdef G_OS_WIN32;684;1
#if !defined(INET6) || defined(G_OS_WIN32);705;2
#if HAVE_INET_ATON;708;1
#if HAVE_INET_ADDR;711;1
#ifndef INET6;725;1
#ifdef G_OS_WIN32;762;1
#ifndef INET6;923;1
#ifdef INET6;929;1
#ifdef G_OS_WIN32;937;1
#ifdef G_OS_UNIX;961;1
#ifdef INET6;1235;1
#ifdef INET6;1246;1
#if USE_THREADS;1327;1
#ifdef G_OS_WIN32;1429;1
#if USE_SSL;1446;1
#ifdef G_OS_WIN32;1454;1
#if USE_SSL;1462;1
#ifdef G_OS_WIN32;1485;1
#if USE_SSL;1495;1
#ifdef G_OS_WIN32;1503;1
#ifdef G_OS_WIN32;1508;1
#if USE_SSL;1523;1
#if USE_SSL;1543;1
#if USE_SSL;1562;1
#ifdef G_OS_WIN32;1579;1
#ifdef G_OS_WIN32;1584;1
#if USE_SSL;1618;1
#if USE_SSL;1642;1
#if USE_SSL;1669;1
#if USE_SSL;1696;1
#if USE_SSL;1709;1
#if USE_SSL;1738;1
#if USE_SSL;1750;1
#ifdef G_OS_WIN32;1770;1
#ifdef HAVE_CONFIG_H;3;1
#if HAVE_NETDB_H;7;1
#if USE_SSL;11;1
#if USE_SSL;39;1
#ifdef G_OS_UNIX;66;1
#if USE_THREADS;71;1
#ifdef G_OS_UNIX;76;1
#if USE_THREADS;80;1
#if USE_SSL;105;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;5;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;4;1
#ifdef G_OS_WIN32;41;1
#ifdef G_OS_WIN32;61;1
#ifdef HAVE_CONFIG_H;3;1
#if USE_SSL;6;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;4;1
#ifdef HAVE_CONFIG_H;3;1
#if USE_SSL;6;1
#ifdef G_ENABLE_DEBUG;2;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_UNIX;7;1
#if HAVE_LOCALE_H;10;1
#if USE_SSL;22;1
#ifndef PACKAGE;25;1
#ifdef G_OS_WIN32;164;1
#ifdef HAVE_LOCALE_H;175;1
#ifdef G_OS_WIN32;179;1
#ifdef ENABLE_NLS;184;1
#ifdef G_OS_UNIX;189;1
#ifdef ENABLE_NLS;196;1
#ifdef G_OS_WIN32;203;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef HAVE_CONFIG_H;1;1
#if HAVE_SYS_WAIT_H;17;1
#ifdef G_OS_WIN32;22;1
#ifndef WINVER;23;1
#ifdef __APPLE__;32;1
#if !GLIB_CHECK_VERSION(2, 7, 0) && !defined(G_OS_UNIX);39;1
#ifdef G_OS_WIN32;42;1
#ifdef G_OS_WIN32;78;1
#ifndef G_OS_UNIX;113;1
#ifdef G_OS_WIN32;116;1
#ifdef G_OS_WIN32;302;1
#ifdef G_OS_WIN32;309;1
#ifdef G_OS_WIN32;332;1
#ifdef G_OS_WIN32;1661;1
#elif defined(__APPLE__);1674;1
#ifdef G_OS_WIN32;1709;1
#ifdef G_OS_WIN32;1730;1
#ifdef G_OS_WIN32;1744;1
#elif defined(__APPLE__);1753;1
#ifdef G_OS_WIN32;1767;1
#elif defined(__APPLE__);1777;1
