guard;line;td
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;961;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;964;1
#ifdef HAVE_TLS;972;1
#ifdef HAVE_CYRUS_SASL;978;1
#ifdef SIGPIPE;1010;1
#ifdef HAVE_CYRUS_SASL;1153;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1201;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;1213;1
#ifdef HAVE_CYRUS_SASL;1246;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1316;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;1386;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1392;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;1397;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;1400;1
#ifdef LDAP_CONTROL_OBSOLETE_PROXY_AUTHZ;1437;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1475;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;1530;1
#ifdef LDAP_CONTROL_X_SESSION_TRACKING;1568;1
#ifdef LDAP_CONTROL_X_DEREF;1764;1
#ifdef LDAP_CONTROL_X_WHATFAILED;1837;1
#ifdef LDAP_CONTROL_PASSWORDPOLICYREQUEST;1863;1
#ifdef HAVE_CYRUS_SASL;39;1
#ifdef LDAP_CONTROL_X_CHAINING_BEHAVIOR;56;1
#ifdef HAVE_FCNTL_H;11;1
#ifdef HAVE_SYS_TYPES_H;14;1
#ifdef HAVE_IO_H;17;1
#ifdef LDAP_CONTROL_DONTUSECOPY;55;1
#ifdef LDAP_CONTROL_DONTUSECOPY;80;1
#ifdef LDAP_CONTROL_DONTUSECOPY;152;1
#ifdef LDAP_CONTROL_DONTUSECOPY;157;1
#ifdef HAVE_SYS_STAT_H;9;1
#ifdef HAVE_SYS_FILE_H;12;1
#ifdef HAVE_FCNTL_H;15;1
#ifdef LDAP_X_TXN;69;1
#ifdef LDAP_X_TXN;91;1
#ifdef LDAP_X_TXN;123;1
#ifdef LDAP_X_TXN;206;1
#ifdef LDAP_X_TXN;220;1
#ifdef LDAP_X_TXN;225;1
#ifdef LDAP_X_TXN;278;1
#ifdef LIBERAL_CHANGETYPE_MODOP;395;1
#ifdef LIBERAL_CHANGETYPE_MODOP;547;1
#ifdef LDAP_X_TXN;1017;1
#ifdef HAVE_FCNTL_H;11;1
#ifdef HAVE_SYS_TYPES_H;14;1
#ifdef HAVE_IO_H;17;1
#if !LDAP_DEPRECATED;27;1
#if defined(__CYGWIN__) || defined(__MINGW32__);45;2
#ifdef LDAP_CONTROL_X_DEREF;75;1
#ifdef LDAP_CONTROL_DONTUSECOPY;134;1
#ifdef LDAP_CONTROL_X_DEREF;158;1
#ifdef LDAP_CONTROL_DONTUSECOPY;329;1
#ifdef LDAP_CONTROL_X_DEREF;466;1
#ifdef LDAP_CONTROL_DONTUSECOPY;726;1
#ifdef LDAP_CONTROL_X_DEREF;729;1
#ifdef LDAP_CONTROL_DONTUSECOPY;740;1
#ifdef LDAP_CONTROL_X_DEREF;871;1
#ifdef LDAP_CONTROL_X_DEREF;977;1
#ifdef LDAP_OPT_DIAGNOSTIC_MESSAGE;26;1
#ifdef HAVE_TERMIOS_H;5;1
#ifdef HAVE_TERMIOS_H;38;1
#ifdef HAVE_TERMIOS_H;60;1
#ifdef TIME_WITH_SYS_TIME;3;1
#elif defined HAVE_SYS_TIME_H;6;1
# ifdef HAVE_SYS_TIMEB_H;8;1
#ifdef WITH_DEBUG;13;1
#if defined(OPEN_LDAP);10;1
