branch;line;nd
#ifdef MDEBUG;574;1
#ifdef MDEBUG;581;1
#else;585;1
#ifdef MDEBUG;591;1
#ifdef MDEBUG;598;1
#ifdef MDEBUG;603;1
#ifndef lint;1;2
#ifdef MDEBUG;68;1
#ifdef MDEBUG;84;1
#ifdef MDEBUG;93;1
#ifdef TRACE;185;1
#ifdef TRACE;198;1
#ifdef TRACE;203;1
#ifdef notdef;356;1
#ifdef notdef;388;1
#ifdef TRACE;435;1
#ifdef SIGTSTP;474;1
#ifdef LISPCODE;620;1
#ifdef MB;741;1
#ifndef lint;1;2
#ifdef MB;10;1
#else;21;1
#ifdef LISPCODE;72;1
#ifdef TRACE;135;1
#ifdef MB;567;1
#ifdef BIT8;576;2
#ifndef lint;1;2
#ifdef TRACE;142;1
#ifdef TRACE;148;1
#ifdef TRACE;157;1
#ifdef TRACE;167;1
#ifdef TRACE;171;1
#ifdef TRACE;176;1
#ifdef TRACE;191;1
#ifdef LISPCODE;344;1
#ifdef SIGWINCH;444;1
#ifdef SIGWINCH;449;1
#ifdef LISPCODE;465;1
#ifdef SIGWINCH;498;1
#ifdef BIT8;527;1
#ifdef BIT8;533;1
#else;535;1
#ifdef BIT8;545;1
#ifndef lint;1;2
#ifdef SIGWINCH;139;1
#ifdef SIGWINCH;183;1
#ifndef BIT8;200;1
#else;202;1
#ifdef TRACE;243;1
#ifdef LISPCODE;258;1
#ifdef SIGWINCH;310;1
#ifdef MB;327;1
#ifdef BIT8;521;1
#ifndef BIT8;541;1
#else;543;1
#ifdef MB;635;1
#ifndef lint;1;2
#ifdef LISPCODE;15;1
#ifdef LISPCODE;39;1
#else;41;1
#ifdef LISPCODE;100;1
#ifdef LISPCODE;160;1
#ifdef LISPCODE;360;1
#ifdef LISPCODE;387;1
#ifdef MB;428;1
#ifdef MB;491;1
#ifndef lint;1;2
#ifdef ADEBUG;12;1
#ifndef UCVISUAL;37;1
#else;39;1
#ifdef MB;189;1
#ifdef MB;304;1
#ifdef MB;339;1
#ifdef MB;357;1
#ifdef IDEBUG;388;1
#ifdef MB;399;1
#ifdef MB;663;1
#ifndef BIT8;710;1
#ifdef TRACE;713;1
#ifdef MB;719;1
#ifdef notdef;758;2
#ifdef notdef;810;1
#else;812;1
#ifdef MB;829;1
#ifdef IDEBUG;850;1
#ifdef TRACE;905;1
#ifdef TRACE;950;1
#ifndef lint;1;2
#ifdef ADEBUG;238;1
#ifdef ADEBUG;263;1
#ifdef ADEBUG;291;1
#ifdef __GNUC__;1;1
#else;3;1
#ifndef lint;6;2
#ifdef LANGMSG;28;1
#else;32;1
#ifdef BUFSIZ;35;1
#ifdef LINE_MAX;38;1
#else;40;3
#ifdef LARGEF;51;1
#else;53;1
#ifdef VMUNIX;56;2
#else;62;1
#ifdef notdef;65;1
#else;67;1
#ifndef VMUNIX;70;1
#else;72;2
#ifdef _POSIX_PATH_MAX;79;1
#else;81;1
#ifdef VMUNIX;84;1
#else;86;1
#ifdef LANGMSG;110;1
#ifdef notdef;144;1
#else;146;1
#ifdef DEBUG;230;1
#ifdef DEBUG;236;1
#ifdef DEBUG;242;1
#ifdef DEBUG;248;1
#ifdef O_NOFOLLOW;262;1
#ifdef notdef;299;1
#else;302;1
#ifdef notdef;319;1
#ifdef notdef;325;1
#ifdef lint;335;1
#ifdef __GNUC__;1;1
#else;3;1
#ifndef lint;6;2
#ifdef notdef;14;1
#else;19;1
#ifndef MAXNAMLEN;31;3
#ifdef LANGMSG;43;1
#ifdef notdef;55;1
#else;57;1
#ifdef VMUNIX;86;1
#ifdef LANGMSG;89;1
#ifdef DEBUG;117;1
#ifdef DEBUG;180;1
#ifdef DEBUG;185;1
