branch;line;nd
# ifndef ARBPTR_T;1966;1
# ifndef __P;1969;1
# if HESIOD && !defined(NAMED_BIND);1972;1
# if NAMED_BIND && !defined( __ksr__ ) && !defined( h_errno );1975;1
# if NEEDPUTENV;1978;1
#if !HASUNSETENV;1981;1
# ifdef LDAPMAP;1984;2
# if HASUNAME;1997;2
# else;2002;1
# if !defined(MAXHOSTNAMELEN) && !defined(_SCO_unix_) && !defined(NonStop_UX_BXX) && !defined(ALTOS_SYSTEM_V);2009;1
# if _FFR_LINUX_MHNL && defined(__linux__) && MAXHOSTNAMELEN < 255;2012;1
# if !defined(SIGCHLD) && defined(SIGCLD);2016;1
# ifndef STDIN_FILENO;2019;1
# ifndef STDOUT_FILENO;2022;1
# ifndef STDERR_FILENO;2025;1
# ifndef LOCK_SH;2028;1
# ifndef S_IXOTH;2034;1
# ifndef S_IXGRP;2037;1
# ifndef S_IXUSR;2040;1
#ifndef O_ACCMODE;2043;1
# ifndef SEEK_SET;2046;1
# ifndef SIG_ERR;2051;1
# ifndef WEXITSTATUS;2054;1
# ifndef WIFEXITED;2057;1
# ifndef WIFSTOPPED;2060;1
# ifndef WCOREDUMP;2063;1
# ifndef WTERMSIG;2066;1
# ifndef SIGFUNC_DEFINED;2069;1
# ifndef SIGFUNC_RETURN;2072;1
# ifndef SIGFUNC_DECL;2075;1
# ifndef SYSLOG_BUFSIZE;2078;1
#ifndef FD_SETSIZE;2081;1
# ifndef FORK;2085;1
# ifndef SM_SET_H_ERRNO;2088;1
# ifndef SM_CONF_GETOPT;2091;1
# if HASRANDOM;2094;1
# else;2096;2
# ifndef SCANF;2102;1
# ifndef SM_INT32;2105;1
# ifndef SM_UINT16;2108;1
# if USE_SIGLONGJMP;2111;2
# if !defined(NGROUPS_MAX) && defined(NGROUPS);2125;1
# if SNPRINTF_IS_BROKEN;2128;2
# if !LOG;2138;1
# ifndef SM_CONF_SYSLOG;2148;1
# if !SM_CONF_SYSLOG;2151;2
# ifndef SM_ALIGN_SIZE;2158;1
# ifndef SM_CONF_STDBOOL_H;4;2
# ifndef SM_CONF_SYS_CDEFS_H;11;1
# ifndef SM_CONF_STDDEF_H;14;1
# ifndef SM_CONF_STRL;17;1
# ifndef SM_CONF_SETITIMER;20;1
# ifndef SM_CONF_UID_GID;23;1
# ifndef SM_CONF_SSIZE_T;26;1
# ifndef SM_CONF_LONGLONG;29;3
# ifndef SM_CONF_QUAD_T;40;1
# ifndef SM_CONF_SHM;43;1
# ifndef SM_CONF_SIGSETJMP;46;1
# ifndef SM_CONF_SYSEXITS_H;49;1
# ifndef SM_CONF_MEMCHR;52;1
# ifndef SM_CONF_TEST_LLONG;55;1
# if LDAPMAP;58;3
# ifndef DO_NOT_USE_STRCPY;74;1
# ifndef SM_DEBUG_CHECK;30;1
# if SM_DEBUG_CHECK;33;1
# else;37;1
#if defined(__QNX__);3;1
#if NEEDINTERRNO;7;1
#ifndef E_PSEUDOBASE;10;1
# ifdef lint;6;1
# else;9;1
# if SM_CONF_STDDEF_H;13;1
# else;15;2
# if SM_CONF_STDBOOL_H;21;1
# else;23;2
# ifndef SM_HEAP_CHECK;7;1
# if SM_HEAP_CHECK;10;1
# else;21;1
#if 0;35;1
#ifdef __STDC__;102;1
#else;105;1
#ifndef lint;212;2
# ifndef LDAPMAP_MAX_ATTR;5;1
# ifndef LDAPMAP_MAX_FILTER;8;1
# ifndef LDAPMAP_MAX_PASSWD;11;1
# if LDAPMAP;14;2
# ifndef LLONG_MIN;6;1
# ifndef LLONG_MAX;9;1
# ifndef ULLONG_MAX;12;1
# ifndef PATH_MAX;15;2
#ifndef SM_CONF_SHM;2;1
#ifndef SM_CONF_SEM;5;1
#ifndef SM_CONF_MSG;8;1
#ifdef _AIX3;11;3
#if _AIX5 >= 50200;18;1
#ifndef SM_CONF_STRL;4;1
#ifndef SM_CONF_SHM;7;1
#ifndef SM_CONF_SEM;10;1
#ifndef SM_CONF_MSG;13;1
#if __FreeBSD__ >= 2;3;3
#ifndef SM_CONF_SHM;14;1
#ifndef SM_CONF_SEM;17;1
#ifndef SM_CONF_MSG;20;1
#ifndef SM_CONF_SHM;2;1
#ifndef SM_CONF_SEM;5;1
#ifndef SM_CONF_MSG;8;1
#ifndef SM_IO_MAX_BUF;11;1
#ifndef SM_IO_MIN_BUF;14;1
#ifndef IRIX;1;1
#if _MIPS_SIM > 0 && !defined(IRIX5);4;1
#if _MIPS_SIM > 1 && !defined(IRIX6) && !defined(IRIX64);7;1
#if defined(IRIX6) || defined(IRIX64);11;1
#if defined(IRIX64) || defined(IRIX5) || defined(IRIX6);14;1
#ifndef SM_CONF_TEST_LLONG;17;1
# if !defined(KERNEL_VERSION);3;1
#ifndef SM_CONF_SETITIMER;6;1
#ifndef SM_CONF_SHM;9;2
#ifndef SM_CONF_SEM;15;1
#ifndef SM_CONF_MSG;18;1
#ifndef SM_CONF_SHM;2;1
#ifndef SM_CONF_SEM;5;1
#ifndef SM_CONF_MSG;8;1
#ifndef SM_CONF_CANT_SETRGID;12;1
#ifndef SM_CONF_TEST_LLONG;7;1
#ifndef SM_CONF_SHM;3;1
#ifndef SM_CONF_SEM;6;1
#ifndef SM_CONF_MSG;9;1
#ifndef SM_CONF_SHM;5;1
#ifndef SM_CONF_SETITIMER;2;1
#ifdef SOLARIS;2;2
#else;13;2
#ifndef SM_CONF_LONGLONG;2;2
#ifndef SM_CONF_TEST_LLONG;9;1
#ifndef SM_CONF_SHM;13;1
#ifndef SM_CONF_BROKEN_SIZE_T;16;1
#ifndef LDA_USE_LOCKF;19;1
#if _FFR_PERF_RPOOL;38;1
# if SM_HEAP_CHECK;49;1
# else;66;1
#if DO_NOT_USE_STRCPY;76;1
#else;78;1
# if SM_CONF_SEM > 0;7;2
# else;32;1
# if SM_CONF_SIGSETJMP;5;1
# else;11;1
# if SM_CONF_SHM;3;2
#ifdef SYS5SIGNALS;18;1
#else;20;1
#if DO_NOT_USE_STRCPY;15;1
#else;22;1
#ifdef __STDC__;38;1
#else;40;1
# if !HASSTRERROR;46;1
# if SM_CONF_SYSEXITS_H;4;1
# else;6;1
# if defined(__STDC__) || defined(__cplusplus);4;1
# else;6;1
#ifndef timersub;5;1
#ifndef timeradd;8;1
#ifndef timercmp;11;1
# if !SM_CONF_UID_GID;5;1
# if !SM_CONF_SSIZE_T;9;1
# if SM_CONF_LONGLONG;12;1
# else;15;2
# if defined(__STDC__) || defined(__cplusplus);3;1
# else;7;1
# if defined(va_copy);12;1
# elif defined(__va_copy);14;1
# else;16;1
# if SM_DEBUG_CHECK;8;1
# else;10;1
#if _FFR_ADD_NULL;95;1
#else;97;1
#if _FFR_ADD_NULL;148;1
#if NETINET || NETINET6;4;1
#if CI_LAST < CI_DATA;45;1
#if CI_LAST < CI_EOM;48;1
#if CI_LAST < CI_EOH;51;1
#if CI_LAST < CI_ENVRCPT;54;1
#if CI_LAST < CI_ENVFROM;57;1
#if CI_LAST < CI_HELO;60;1
#if CI_LAST < CI_CONNECT;63;1
#if CI_LAST >= MAX_MACROS_ENTRIES;66;1
#if _FFR_WORKERS_POOL;89;1
#if _FFR_WORKERS_POOL;194;1
#else;201;1
#if _FFR_WORKERS_POOL;219;1
