guard;line;td
#ifdef HAVE_SMEM;1215;1
#if defined (__WIN__) || (_WIN64);1704;2
#ifdef HAVE_SMEM;30;1
#ifdef DBUG_OFF;73;1
#ifdef __WIN__;129;1
#if MYSQL_PORT_DEFAULT == 0;138;1
#ifdef HAVE_SMEM;153;1
#ifndef DONT_ALLOW_USER_CHANGE;173;1
#ifdef __WIN__;289;1
#ifdef HAVE_OPENSSL;768;1
#ifdef HAVE_SMEM;783;1
#ifdef HAVE_SMEM;883;1
#ifdef HAVE_SMEM;95;1
#ifdef DBUG_OFF;195;1
#ifdef __WIN__;358;1
#ifdef HAVE_SMEM;398;1
#ifndef DONT_ALLOW_USER_CHANGE;441;1
#ifdef __WIN__;649;1
#if !defined(DBUG_OFF);737;1
#ifdef HAVE_OPENSSL;1151;1
#ifdef HAVE_SMEM;1168;1
#if MYSQL_VERSION_ID >= 32300;1227;1
#ifdef FORCE_PRIMARY_KEY;2065;1
#ifdef NOT_REALLY_USED_YET;4000;1
#ifdef HAVE_SMEM;4257;1
#ifdef HAVE_LIBPTHREAD;5;1
#ifdef HAVE_LIBPTHREAD;10;1
#ifdef HAVE_SMEM;35;1
#ifdef __WIN__;113;1
#if MYSQL_PORT_DEFAULT == 0;122;1
#ifdef HAVE_SMEM;136;1
#ifndef DONT_ALLOW_USER_CHANGE;152;1
#ifdef __WIN__;199;1
#ifdef HAVE_SNPRINTF;268;1
#ifdef HAVE_OPENSSL;366;1
#ifdef HAVE_SMEM;383;1
#ifdef HAVE_LIBPTHREAD;474;1
#ifdef HAVE_LIBPTHREAD;520;1
#ifdef HAVE_SMEM;586;1
#ifdef HAVE_SMEM;21;1
#ifdef HAVE_OPENSSL;92;1
#ifdef HAVE_SMEM;109;1
#ifdef HAVE_SMEM;147;1
#if MYSQL_PORT_DEFAULT == 0;202;1
#ifdef __WIN__;209;1
#ifdef HAVE_SMEM;219;1
#ifndef DONT_ALLOW_USER_CHANGE;232;1
#ifdef __WIN__;285;1
#ifndef __WIN__;19;1
#ifdef __WIN__;24;1
#ifdef HAVE_SMEM;29;1
#ifdef __WIN__;177;1
#ifdef HAVE_OPENSSL;219;1
#ifdef HAVE_SMEM;232;1
#ifdef HAVE_SMEM;299;1
#ifdef DBUG_OFF;426;1
#ifdef __WIN__;484;1
#ifdef HAVE_SMEM;519;1
#ifndef DONT_ALLOW_USER_CHANGE;532;1
#ifdef __WIN__;584;1
#ifndef __WIN__;15;1
#if defined(__WIN__);39;1
#ifdef TO_BE_REMOVED;269;1
#if !defined(lint) && !defined(SCCSID);2;2
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef WIDECHAR;7;1
#ifdef WIDECHAR;204;1
#ifdef WIDECHAR;246;1
#ifdef WIDECHAR;3;1
#if !defined(__NetBSD__) && !defined(__sun) && !(defined(__APPLE__) && defined(__MACH__)) && !defined(__FreeBSD__) && !defined(_AIX);4;6
#ifndef __STDC_ISO_10646__;5;1
#if WCHAR_MAX < INT32_MAX;9;2
#ifndef HAVE_WCSDUP;12;1
#ifdef WIDECHAR;93;1
#ifndef NARROWCHAR;117;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef DEBUG_EDIT;64;1
#ifdef KSHVI;74;1
#ifdef KSHVI;81;1
#ifdef VI_MOVE;121;1
#ifdef DEBUG_EDIT;400;1
#ifdef SDEBUG;422;1
#ifdef SDEBUG;436;1
#ifdef SDEBUG;462;1
#ifdef SDEBUG;474;1
#ifndef NARROW_WRAPPER;3;1
#ifndef CTRL;32;1
#if !defined(__sun) && !defined(__hpux) && !defined(_AIX) && !defined(__QNXNTO__) && !defined(__USLC__);34;5
#ifndef CTRL;37;1
#ifndef UNCTRL;41;1
#ifdef __cplusplus;49;1
#ifdef __cplusplus;158;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef WIDECHAR;36;1
#ifdef WIDECHAR;74;1
#if defined(HAVE_GETUID) && defined(HAVE_GETEUID) && defined(HAVE_GETGID) && defined(HAVE_GETEGID);373;4
#if (defined(HAVE_ISSETUGID) || defined(HAVE_IDENTITY_FUNCS));376;2
#ifdef HAVE_ISSETUGID;379;1
#elif defined(HAVE_IDENTITY_FUNCS);382;1
#ifdef WIDECHAR;85;1
#ifdef DEBUG;93;1
#if !defined(lint) && !defined(SCCSID);2;2
#if !defined(lint) && !defined(SCCSID);2;2
#if defined (_AIX) && !defined (__GNUC__);1;2
#ifdef __GNUC__;5;1
# ifdef HAVE_ALLOCA_H;9;1
# ifndef _AIX;12;1
#if !defined(lint) && !defined(SCCSID);17;2
#ifdef HAVE_VIS_H;31;1
#ifdef HAVE_ALLOCA_H;36;1
#if defined(HAVE_GETPW_R_POSIX) || defined(HAVE_GETPW_R_DRAFT);48;2
#ifdef HAVE_GETPW_R_POSIX;71;1
#elif HAVE_GETPW_R_DRAFT;75;1
#ifdef HAVE_GETPW_R_POSIX;81;1
#elif HAVE_GETPW_R_DRAFT;84;1
#if HAVE_STRUCT_DIRENT_D_NAMLEN;175;1
#if HAVE_STRUCT_DIRENT_D_NAMLEN;185;1
#if defined(__SSP__) || defined(__SSP_ALL__);323;2
#if defined(__SSP__) || defined(__SSP_ALL__);396;2
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef KSHVI;45;1
#ifdef KSHVI;73;1
#ifdef WIDECHAR;118;1
#ifdef WIDECHAR;15;1
#ifdef WIDECHAR;33;1
#if defined(__sun) || defined(__sun__);5;2
#ifdef __cplusplus;12;1
#ifdef __cplusplus;144;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef HAVE_VIS_H;11;1
#ifdef WIDECHAR;510;1
#ifdef WIDECHAR;560;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef WIDECHAR;94;1
#ifdef DEBUG_EDIT;345;1
#ifdef DEBUG_KEY;392;1
#if !defined(lint) && !defined(SCCSID);2;2
#ifdef KSHVI;274;1
#ifdef MAP_DEBUG;827;1
#ifdef VIDEFAULT;855;1
#ifdef MAP_DEBUG;1048;1
#ifdef notyet;1121;1
#ifdef HAVE_NBTOOL_CONFIG_H;1;1
#if !HAVE_FGETLN;6;1
#ifndef HAVE_NBTOOL_CONFIG_H;8;1
#ifdef TEST;51;1
#if !defined(_KERNEL) && !defined(_STANDALONE);1;2
#if HAVE_NBTOOL_CONFIG_H;2;1
#if defined(LIBC_SCCS) && !defined(lint);7;2
#ifdef _LIBC;9;1
#ifdef _LIBC;15;1
# ifdef __weak_alias;16;1
#if !HAVE_STRLCAT;23;1
#if !defined(_KERNEL) && !defined(_STANDALONE);1;2
#if HAVE_NBTOOL_CONFIG_H;2;1
#if defined(LIBC_SCCS) && !defined(lint);7;2
#ifdef _LIBC;9;1
#ifdef _LIBC;15;1
# ifdef __weak_alias;16;1
#if !HAVE_STRLCPY;23;1
#if defined(LIBC_SCCS) && !defined(lint);2;2
#ifdef _LIBC;8;1
#if defined(__sun) || defined(__sun__);14;2
#ifdef __weak_alias;22;1
#if !HAVE_VIS;25;1
#ifndef isoctal;41;1
#if defined(LIBC_SCCS) && !defined(lint);2;2
#ifdef _LIBC;4;1
#ifdef __weak_alias;12;1
#if !HAVE_VIS || !HAVE_SVIS;15;2
#ifndef isoctal;23;1
#if !HAVE_VIS;299;1
#ifndef __RENAME;24;1
#ifndef __LIBC12_SOURCE__;44;1
#if defined(LIBC_SCCS) && !defined(lint);3;2
#if !defined(lint) && !defined(SCCSID);2;2
#if !defined(lint) && !defined(SCCSID);2;2
#if !defined(lint) && !defined(SCCSID);2;2
#ifndef MIN;38;1
#ifdef DEBUG_EDIT;41;1
#ifdef EWOULDBLOCK;62;1
#ifndef TRY_AGAIN;64;1
#if defined(POSIX) && defined(EAGAIN);68;2
#if defined(EWOULDBLOCK) && EWOULDBLOCK != EAGAIN;69;2
#ifndef TRY_AGAIN;71;1
#ifdef TRY_AGAIN;77;1
#if defined(F_SETFL) && defined(O_NDELAY);78;2
#ifdef FIONBIO;86;1
#ifndef WIDECHAR;109;1
#ifdef FIONREAD;110;1
#ifdef KANJI;149;1
#ifdef WIDECHAR;160;1
#ifdef notyet;175;1
#ifdef WIDECHAR;199;1
#ifdef WIDECHAR;222;1
#ifdef DEBUG_READ;284;1
#ifdef DEBUG_READ;289;1
#ifdef WIDECHAR;293;1
#ifdef DEBUG_READ;297;1
#ifdef FIONREAD;335;1
#ifdef FIONREAD;364;1
#ifdef DEBUG_EDIT;408;1
#ifdef DEBUG_READ;412;1
#ifdef DEBUG_EDIT;425;1
#ifdef DEBUG_READ;431;1
#ifdef DEBUG_READ;458;1
#ifdef DEBUG_READ;494;1
