guard;line;td
#if ZEND_GCC_VERSION >= 4003 || __has_attribute(alloc_size);100;2
#if ZEND_GCC_VERSION >= 2007;107;1
#if ZEND_GCC_VERSION >= 3001 && !defined(__INTEL_COMPILER);112;2
#if ZEND_GCC_VERSION >= 3001;117;1
#elif defined(ZEND_WIN32) && defined(_MSC_VER) && _MSC_VER >= 1300;119;2
#if defined(__GNUC__) && ZEND_GCC_VERSION >= 3004 && defined(__i386__);124;3
#elif defined(_MSC_VER) && defined(_M_IX86);126;2
#if defined(__GNUC__) && ZEND_GCC_VERSION >= 3004;131;2
#if (HAVE_ALLOCA || (defined (__GNUC__) && __GNUC__ >= 2)) && !(defined(ZTS) && defined(NETWARE)) && !(defined(ZTS) && defined(HPUX)) && !defined(DARWIN);136;6
#if ZEND_DEBUG;149;1
#ifdef ZTS;178;1
#ifdef HAVE_LIMITS_H;187;1
#ifndef LONG_MAX;190;1
#ifndef LONG_MIN;193;1
#if SIZEOF_LONG == 4;196;1
#elif SIZEOF_LONG == 8;199;1
#if defined(__GNUC__) && __GNUC__ >= 3 && !defined(__INTEL_COMPILER) && !defined(DARWIN) && !defined(__hpux) && !defined(_AIX) && !defined(__osf__);215;6
#if ZEND_DEBUG;277;1
#if defined(__GNUC__);281;1
#if __GNUC__ >= 3;282;1
#elif defined(_MSC_VER);289;1
#if (defined (__GNUC__) && __GNUC__ > 2 ) && !defined(DARWIN) && !defined(__hpux) && !defined(_AIX);297;4
#ifdef HAVE_SIGSETJMP;471;1
#if ZEND_DEBUG;502;1
#ifndef ZTS;512;1
#ifndef ZEND_SIGNALS;544;1
#ifdef HAVE_STDARG_H;8;1
#if ZTS;885;1
#if ZTS;927;1
#ifdef ZTS;1331;1
#ifdef ZTS;1885;1
#if HAVE_LIBDL;1899;1
#if !(defined(NETWARE) && defined(APACHE_1_BUILD));1900;2
#ifdef ZEND_WIN32;2084;1
#ifdef ZEND_WIN32;2095;1
#ifdef ZTS;90;1
#ifdef ZTS;107;1
#ifndef ZEND_WIN32;202;1
#if ZEND_DEBUG;304;1
#ifdef HAVE_SIGNAL_H;5;1
#ifdef HAVE_UNISTD_H;8;1
