guard;line;td
#if DEBUG;262;1
#if DEBUG;275;1
#if defined(MAGICKCORE_DJVU_DELEGATE);293;1
#if RGB;316;1
#if RGB;326;1
#if RGB;340;1
#if DEBUG;371;1
#if DEBUG;426;1
#if DEBUG;442;1
#if defined(DJVU_LIBDJVU_VER_STRING);598;1
#if defined(MAGICKCORE_DJVU_DELEGATE);603;1
#if defined(MAGICKCORE_GVC_DELEGATE);24;1
#if defined(MAGICKCORE_GVC_DELEGATE);30;1
#if !defined(WITH_CGRAPH);62;1
#if defined(MAGICKCORE_GVC_DELEGATE);90;1
#if defined(MAGICKCORE_GVC_DELEGATE);98;1
#if defined(MAGICKCORE_GVC_DELEGATE);105;1
#if defined(MAGICKCORE_GVC_DELEGATE);114;1
#if defined(MAGICKCORE_DPS_DELEGATE);22;1
#if defined(MAGICKCORE_DPS_DELEGATE);26;1
#if defined(MAGICKCORE_DPS_DELEGATE);381;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);2;1
# if !defined(_MSC_VER);3;1
# if defined(__CYGWIN__);4;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);49;1
# if !defined(_MSC_VER);50;1
# if defined(MAGICKCORE_HAVE__WFOPEN);51;1
#if defined(MAGICKCORE_HAVE__WFOPEN);184;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);569;1
#if defined(MAGICKCORE_WINGDI32_DELEGATE);579;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);20;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);33;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);146;1
#if defined(MAGICKCORE_OPENEXR_DELEGATE);162;1
#if defined(B44Compression);211;1
#if defined(B44ACompression);215;1
#if defined(MAGICKCORE_FPX_DELEGATE);29;1
#if !defined(vms) && !defined(macintosh) && !defined(MAGICKCORE_WINDOWS_SUPPORT);30;3
#if defined(MAGICKCORE_FPX_DELEGATE);36;1
#if defined(MAGICKCORE_FPX_DELEGATE);40;1
#if defined(macintosh);118;1
#if defined(MAGICKCORE_FPX_DELEGATE);341;1
#if defined(MAGICKCORE_FPX_DELEGATE);357;1
#if defined(macintosh);604;1
#if !defined(MAGICKCORE_WINDOWS_SUPPORT) || defined(__MINGW32__) || defined(__MINGW64__);28;3
#if defined(MAGICKCORE_JBIG_DELEGATE);29;1
#if defined(MAGICKCORE_JBIG_DELEGATE);32;1
#if defined(MAGICKCORE_JBIG_DELEGATE);36;1
#if defined(JBG_VERSION);169;1
#if defined(MAGICKCORE_JBIG_DELEGATE);173;1
#if defined(MAGICKCORE_JBIG_DELEGATE);184;1
#if defined(MAGICKCORE_JBIG_DELEGATE);194;1
#if defined(MAGICKCORE_JBIG_DELEGATE);211;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);31;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);34;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);58;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);330;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);343;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);358;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);373;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);388;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);403;1
#if defined(MAGICKCORE_LIBOPENJP2_DELEGATE);417;1
#if defined(MAGICKCORE_JPEG_DELEGATE);42;1
#if defined(__MINGW32__) || defined(__MINGW64__);44;2
#if defined(MAGICKCORE_JPEG_DELEGATE);56;1
#if defined(MAGICKCORE_JPEG_DELEGATE);102;1
#if defined(MAGICKCORE_JPEG_DELEGATE);114;1
#if defined(D_PROGRESSIVE_SUPPORTED);548;1
#if (JPEG_LIB_VERSION >= 61) && defined(D_PROGRESSIVE_SUPPORTED);863;2
#if defined(D_LOSSLESS_SUPPORTED);864;1
#if defined(JPEG_LIB_VERSION);1167;1
#if defined(MAGICKCORE_JPEG_DELEGATE);1172;1
#if defined(MAGICKCORE_JPEG_DELEGATE);1186;1
#if defined(MAGICKCORE_JPEG_DELEGATE);1199;1
