branch;line;nd
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;27;1
#if USE_SSL;55;1
#ifndef G_OS_UNIX;109;1
#ifdef G_OS_UNIX;128;1
#elif USE_THREADS;137;1
#else;151;1
#ifdef G_OS_UNIX;159;1
#else;161;1
#if USE_SSL;200;1
#ifdef G_OS_WIN32;218;1
#ifdef G_OS_WIN32;296;1
#ifdef G_OS_UNIX;362;1
#ifdef G_OS_WIN32;374;1
#if USE_SSL;392;1
#if GLIB_CHECK_VERSION(2, 12, 0);444;1
#ifdef G_OS_WIN32;467;1
#ifdef G_OS_WIN32;472;1
#else;476;1
#if GLIB_CHECK_VERSION(2, 12, 0);505;1
#if GLIB_CHECK_VERSION(2, 12, 0);544;1
#ifdef G_OS_WIN32;1026;1
#ifdef HAVE_CONFIG_H;3;1
#ifndef USE_SSL;40;1
#if USE_SSL;159;1
#ifdef HAVE_CONFIG_H;1;1
#if USE_SSL;40;1
#if 0;301;1
#if USE_SSL;384;1
#else;386;1
#if USE_SSL;400;1
#if USE_SSL;414;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_CONFIG_H;1;1
#ifdef G_OS_WIN32;7;1
#else;10;2
#if HAVE_SYS_SELECT_H;30;1
#if USE_SSL;34;1
#ifdef G_OS_WIN32;39;1
#else;42;1
#ifdef G_OS_UNIX;57;1
#if USE_THREADS;64;1
#ifndef INET6;111;1
#else;114;2
#ifdef G_OS_UNIX;130;1
#ifdef G_OS_WIN32;151;1
#ifdef G_OS_WIN32;164;1
#ifdef G_OS_WIN32;180;1
#else;183;1
#ifdef G_OS_WIN32;205;1
#else;208;1
#ifdef G_OS_UNIX;238;1
#else;254;1
#ifdef G_OS_UNIX;260;1
#else;289;1
#ifdef G_OS_WIN32;324;1
#else;344;1
#ifdef G_OS_WIN32;374;1
#else;381;1
#ifdef G_OS_WIN32;394;1
#else;396;1
#ifdef G_OS_WIN32;402;2
#else;417;1
#if USE_SSL;432;1
#if USE_SSL;474;1
#if defined(G_OS_UNIX) && !defined(USE_THREADS);525;1
#ifdef G_OS_WIN32;538;1
#else;589;1
#ifdef G_OS_UNIX;640;1
#if defined(G_OS_UNIX) && !defined(USE_THREADS);654;1
#if defined(G_OS_UNIX) && !defined(USE_THREADS);668;1
#if defined(G_OS_UNIX) && !defined(USE_THREADS);676;1
#ifdef G_OS_WIN32;684;1
#if !defined(INET6) || defined(G_OS_WIN32);705;3
#ifndef INET6;725;1
#else;761;3
#ifndef INET6;923;1
#ifdef INET6;929;1
#else;934;2
#ifdef G_OS_UNIX;961;2
#if USE_THREADS;1327;1
#ifdef G_OS_WIN32;1429;1
#if USE_SSL;1446;1
#ifdef G_OS_WIN32;1454;1
#else;1456;1
#if USE_SSL;1462;2
#if USE_SSL;1495;1
#ifdef G_OS_WIN32;1503;1
#ifdef G_OS_WIN32;1508;1
#else;1519;1
#if USE_SSL;1523;1
#if USE_SSL;1543;1
#if USE_SSL;1562;1
#ifdef G_OS_WIN32;1579;1
#ifdef G_OS_WIN32;1584;1
#else;1595;1
#if USE_SSL;1618;1
#if USE_SSL;1642;1
#if USE_SSL;1669;1
#if USE_SSL;1696;1
#if USE_SSL;1709;1
#if USE_SSL;1738;1
#if USE_SSL;1750;1
#ifdef G_OS_WIN32;1770;1
#else;1772;1
#ifdef HAVE_CONFIG_H;3;1
#if HAVE_NETDB_H;7;1
#if USE_SSL;11;1
#if USE_SSL;39;1
#else;41;1
#ifdef G_OS_UNIX;66;1
#if USE_THREADS;71;1
#ifdef G_OS_UNIX;76;1
#if USE_THREADS;80;1
#if USE_SSL;105;1
