branch;line;nd
#ifndef WIN32;323;1
#else;327;1
#ifndef WIN32;343;1
#else;346;1
#ifndef WIN32;357;1
#else;359;1
#ifndef WIN32;373;1
#ifndef WIN32;408;1
#ifndef WIN32;437;1
#ifndef WIN32;67;1
#else;69;1
#ifdef WIN32;99;1
#ifdef WIN32;9;1
#ifdef WIN32;22;1
#ifdef WIN32;38;1
#ifdef WIN32;43;1
#ifdef WIN32;55;1
#ifdef WIN32;60;1
#ifdef WIN32;65;1
#ifndef WIN32;85;1
#ifndef WIN32;112;1
#else;114;1
#ifdef WIN32;124;1
#ifdef WIN32;184;1
#ifndef WIN32;195;1
#else;197;1
#ifndef WIN32;202;1
#else;204;1
#ifndef WIN32;4;1
#else;6;1
#ifdef PAGE_CONVERSION;22;1
#ifdef PAGE_CONVERSION;43;1
#ifndef WIN32;75;1
#ifdef WIN32;149;1
#ifdef WIN32;8;1
#ifndef WIN32;160;1
#else;162;1
#ifndef WIN32;186;1
#else;188;1
#ifdef HAVE_UNIX_SOCKETS;229;1
#else;271;1
#ifdef PAGE_CONVERSION;4;1
#ifdef WIN32;7;1
#ifdef WIN32;11;1
#ifndef WIN32;39;1
#else;41;1
#ifdef WIN32;52;1
#ifndef WIN32;70;1
#else;76;1
#ifdef WIN32;96;1
#ifndef WIN32;110;1
#else;112;1
#ifdef WIN32;120;1
#ifndef WIN32;138;1
#else;148;1
#ifdef WIN32;170;1
#ifndef WIN32;182;1
#else;185;1
#ifndef WIN32;191;1
#else;197;1
#ifdef HAVE_LANGINFO_H;3;1
#ifdef WIN32;18;1
#ifndef WIN32;203;1
#else;205;1
#ifndef WIN32;21;1
#else;24;1
#ifndef WIN32;28;1
#else;38;1
#ifdef PAGE_CONVERSION;204;1
#else;225;1
#ifdef PAGE_CONVERSION;66;1
#ifdef HAVE_UNIX_SOCKETS;109;1
#ifndef WIN32;107;1
#else;110;1
#ifdef WIN32;127;1
#ifndef WIN32;142;1
#else;147;1
#ifndef WIN32;153;1
#else;155;1
#ifdef PG_MODULE_MAGIC;8;1
#ifdef HAVE_INT64_TIMESTAMP;10;1
#else;13;1
#ifdef HAVE_INT64_TIMESTAMP;29;1
#else;31;1
#ifdef WIN32;1;1
#ifndef WIN32;11;1
#ifdef HAVE_SYS_SELECT_H;15;1
#ifdef HAVE_SYS_RESOURCE_H;18;1
#ifndef INT64_MAX;21;1
#ifdef WIN32;24;1
#elif defined(ENABLE_THREAD_SAFETY);29;1
#else;31;1
#ifdef FD_SETSIZE;44;1
#else;46;1
#ifdef DEBUG;580;1
#ifndef WIN32;703;1
#else;707;1
#ifdef NOT_USED;861;1
#ifdef DEBUG;893;1
#ifdef HAVE_GETRLIMIT;1589;1
#ifdef WIN32;1610;1
