branch;line;nd
#ifdef _WIN32;575;1
#else;577;1
#ifdef __WIN__;133;1
#ifdef __WIN__;182;1
#else;196;1
#if __WIN__;342;1
#if __WIN__;360;1
#ifdef __WIN__;581;1
#else;583;1
#ifdef __WIN__;772;1
#else;788;1
#ifdef HAVE_SYS_WAIT_H;7;1
#ifndef WEXITSTATUS;10;2
#ifndef DBUG_OFF;29;1
#ifdef DBUG_OFF;49;1
#else;52;1
#ifdef __WIN__;78;1
#if MYSQL_PORT_DEFAULT == 0;87;1
#ifdef HAVE_SMEM;95;1
#ifdef __WIN__;308;1
#if __WIN__;663;1
#ifdef HAVE_SMEM;32;1
#ifndef DBUG_OFF;95;1
#ifdef __WIN__;128;1
#if MYSQL_PORT_DEFAULT == 0;134;1
#ifdef HAVE_SMEM;149;1
#ifndef DONT_ALLOW_USER_CHANGE;163;1
#ifdef __WIN__;226;1
#if MYSQL_VERSION_ID > 32300;252;1
#ifdef HAVE_OPENSSL;315;1
#ifdef HAVE_SMEM;328;1
#ifdef HAVE_SMEM;409;1
#ifdef __WIN__;815;1
#if MYSQL_VERSION_ID >= 32200;985;1
#ifndef DBUG_OFF;38;1
#ifdef HAVE_SMEM;78;1
#ifndef DBUG_OFF;853;1
#if MYSQL_PORT_DEFAULT == 0;897;1
#ifdef HAVE_SMEM;941;1
#ifndef DBUG_OFF;1120;1
#ifdef HAVE_SMEM;1215;1
#if defined (__WIN__) || (_WIN64);1704;1
#ifdef HAVE_SMEM;30;1
#ifdef DBUG_OFF;73;1
#else;76;1
#ifdef __WIN__;129;1
#if MYSQL_PORT_DEFAULT == 0;138;1
#ifdef HAVE_SMEM;153;1
#ifndef DONT_ALLOW_USER_CHANGE;173;1
#ifdef __WIN__;289;1
#ifdef HAVE_OPENSSL;768;1
#ifdef HAVE_SMEM;783;1
#ifdef HAVE_SMEM;883;1
#ifdef HAVE_SMEM;95;1
#ifdef DBUG_OFF;195;1
#else;198;1
#ifdef __WIN__;358;1
#ifdef HAVE_SMEM;398;1
#ifndef DONT_ALLOW_USER_CHANGE;441;1
#ifdef __WIN__;649;1
#if !defined(DBUG_OFF);737;1
#ifdef HAVE_OPENSSL;1151;1
#ifdef HAVE_SMEM;1168;1
#if MYSQL_VERSION_ID >= 32300;1227;1
#ifdef FORCE_PRIMARY_KEY;2065;1
#ifdef NOT_REALLY_USED_YET;4000;1
#ifdef HAVE_SMEM;4257;1
#ifdef HAVE_LIBPTHREAD;5;1
#ifdef HAVE_LIBPTHREAD;10;1
#ifdef HAVE_SMEM;35;1
#ifdef __WIN__;113;1
#if MYSQL_PORT_DEFAULT == 0;122;1
#ifdef HAVE_SMEM;136;1
#ifndef DONT_ALLOW_USER_CHANGE;152;1
#ifdef __WIN__;199;1
#ifdef HAVE_SNPRINTF;268;1
#else;270;1
#ifdef HAVE_OPENSSL;366;1
#ifdef HAVE_SMEM;383;1
#ifdef HAVE_LIBPTHREAD;474;1
#ifdef HAVE_LIBPTHREAD;520;1
#ifdef HAVE_SMEM;586;1
#ifdef HAVE_SMEM;21;1
#ifdef HAVE_OPENSSL;92;1
#ifdef HAVE_SMEM;109;1
#ifdef HAVE_SMEM;147;1
#if MYSQL_PORT_DEFAULT == 0;202;1
#ifdef __WIN__;209;1
#ifdef HAVE_SMEM;219;1
#ifndef DONT_ALLOW_USER_CHANGE;232;1
#ifdef __WIN__;285;1
#ifndef __WIN__;19;1
#ifdef __WIN__;24;1
#ifdef HAVE_SMEM;29;1
#ifdef __WIN__;177;1
#ifdef HAVE_OPENSSL;219;1
#ifdef HAVE_SMEM;232;1
#ifdef HAVE_SMEM;299;1
#ifdef DBUG_OFF;426;1
#else;429;1
#ifdef __WIN__;484;1
#ifdef HAVE_SMEM;519;1
#ifndef DONT_ALLOW_USER_CHANGE;532;1
#ifdef __WIN__;584;1
#ifndef __WIN__;15;1
#if defined(__WIN__);39;1
#else;42;1
#ifdef TO_BE_REMOVED;269;1
#if !defined(lint) && !defined(SCCSID);2;2
