feature;sd
OBJECT_CREATION_MODE;1
FORCE_TEXT;1
HAVE_SYS_IOCTL_H;1
_POSIX_C_SOURCE;1
__i386__;9
__MirBSD__;1
GETTEXT_POISON;2
NO_SYS_SELECT_H;2
_WIN32_WINNT;3
GLIB_MAJOR_VERSION;1
__QNX__;1
SSL_CTRL_SET_TLSEXT_HOSTNAME;1
NBPC;1
NO_D_TYPE_IN_DIRENT;1
OPENSSL_VERSION_NUMBER;1
__MAC_OS_X_VERSION_MIN_REQUIRED;1
HAVE_STRCHRNUL;1
BIG_ENDIAN;1
_M_UNIX;1
GNOME_KEYRING_DEFAULT;1
__restrict;1
NO_MMAP;2
EXPAT_NEEDS_XMLPARSE_H;1
__GNUC_MINOR__;6
HAVE_ALLOCA_H;1
_;1
__GNUG__;1
MREMAP;1
NS_IN6ADDRSZ;2
_LITTLE_ENDIAN;2
LACKS_SYS_PARAM_H;1
malloc_getpagesize;1
THREADCACHEMAXCACHES;1
NO_NED_NAMESPACE;2
MALLOCATTR;1
NO_D_INO_IN_DIRENT;1
__USE_BSD;1
linux;3
NO_SYS_POLL_H;1
__BIG_ENDIAN;1
USE_LOCKS;11
__powerpc__;1
FLEX_ARRAY;2
NO_STRLCPY;1
WIN32_NATIVE;2
DARWIN;1
_M_IX86;3
_GNU_OBSTACK_INTERFACE_VERSION;1
MORECORE_CANNOT_TRIM;2
RE_TOKEN_INIT_BUG;1
lstat;1
__OpenBSD__;1
__USE_XOPEN2K;1
__APPLE__;3
GLIBC_2_0;3
HAVE_ALLOCA;4
hpux;2
BitScanForward;1
MAP_FAILED;1
CE_EXTENDED_FLAGS;1
__BYTE_ORDER;1
__sun__;2
__arm__;1
EWOULDBLOCK;1
FORCEINLINE;3
__ppc__;1
vsnprintf;1
ABORT_ON_ASSERT_FAILURE;2
_CRAY;1
HAVE_LANGINFO_CODESET;2
HAVE_LANGINFO_H;1
__FreeBSD__;3
NO_FAST_WORKING_DIRECTORY;1
UNRELIABLE_FSTAT;1
GIT_BITMAP_DEBUG;1
_SC_OPEN_MAX;2
_NO_OLDNAMES;4
__HP_cc;1
MUNMAP;1
snprintf;1
COMMIT_SLAB_SIZE;1
NO_SETENV;1
HAVE_VARIADIC_MACROS;3
RE_TRANSLATE_TYPE;1
fopen;1
DEFAULT_GRANULARITY;2
REALLOC_ZERO_BYTES_FREES;2
__NetBSD__;1
_DARWIN;1
XML_STATUS_OK;1
LACKS_ERRNO_H;1
NO_NSEC;1
NO_PREAD;1
ELIDE_CODE;1
_LIBC;70
offset_1st_component;1
HAVE_LOCALE_H;1
MB_CUR_MAX;1
CLSIZE;1
GIT_WINDOWS_NATIVE;14
open_html;1
LACKS_SYS_TYPES_H;1
__SVR4;2
__GLIBC_PREREQ;1
FREAD_READS_DIRECTORIES;1
__hpux;2
__sun;2
POSTACTION;1
NO_INET_NTOP;1
gettext;1
PAGESIZE;1
PREACTION;1
DEBUG_85;2
RUNTIME_PREFIX;2
__DragonFly__;1
restrict;1
PRECOMPOSE_UNICODE_C;1
HAVE_INTTYPES_H;1
_REGEX_H;1
MAP_ANON;1
DLMALLOC_VERSION;1
HAVE_USR_INCLUDE_MALLOC_H;1
HAVE_CLOCK_GETTIME;1
