feature;sd
RECORD_ON_REPLAY;5
Inaccurate_Divide;1
HAVE_SYS_ERRLIST;7
__RX_32BIT_DOUBLES__;1
L_ITM_deregisterTMCloneTable;1
HOST_BITS_PER_WIDEST_INT;3
HAVE_CRT_EXTERNS_H;1
__INT32_MAX__;3
ARM_DEFAULT_ABI;1
DISABLE_PARALLEL_REDUCERS;2
AccessibleJTable__;1
L_negate_sf;3
GC_DLL;8
PB_DS_DATA_FALSE_INDICATOR;14
L_fpcmp_parts_df;1
HAVE_ON_EXIT;1
__mvs__;2
HAVE_AS_NAN;1
SUPPORTS_ONE_ONLY;2
STRSIZE;1
HAVE_AS_IX86_REP_LOCK_PREFIX;1
HAVE_ARGZ_NEXT;1
NO_SIGNALS;2
__WCHAR_TYPE__;8
LOCAL_ALIGNMENT;1
STD_MINGW;1
HAVE_NL_LANGINFO;1
ASAN_AVOID_EXPENSIVE_TESTS;1
ASM_STABS_OP;1
__ARM_ARCH_6ZK__;2
UNITS_PER_WORD;1
SP_REGNO;1
AccessibleJTabbedPane__;1
_GLIBCXX_HAVE_SYS_SEM_H;1
X;2
WeakEntrySet__;2
__java_lang_VMProcess__;1
FROM_MODE_NAME_S;1
INHIBIT_STRING_HEADER;2
_UNDEF__STDC_FORMAT_MACROS;1
ASM_WEAKEN_LABEL;8
HAVE_AS_GNU_ATTRIBUTE;7
ElementEdit__;1
FIXED_UDIV;1
CharUnit__;1
IMPORT_1C;2
OPTION_MASK_LITTLE_ENDIAN;1
_GLIBCXX_LLP64;3
USING_MMAP;10
DeleteNextCharAction__;1
__ELF_WORD_SIZE;1
__INCLUDE_LEVEL;1
__PRAGMA_REDEFINE_EXTNAME;1
UndoRemove__;1
ATTRIBUTE_SENTINEL;1
ELF_ASCII_ESCAPES;1
INTPTR_MAX;3
HANDLE_END_METHOD;1
__ADSPBF533__;2
TARGET_OPTF;1
AtomicReferenceFieldUpdaterImpl__;1
Adapter__;1
UnmodifiableSet__;1
__javax_print_DocFlavor;7
__javax_imageio_ImageIO;12
_GLIBCXX_STDBOOL_H;1
HAVE_AS_NO_MUL_BUG_ABORT_OPTION;1
FLT_EVAL_METHOD;17
DEBUG_STR_SECTION;1
t20000628_1_h;1
fwrite_unlocked;1
SynchronizedPrintServiceAttributeSet__;1
__ARM_NEON__;2
__WINDOWS__;8
L_td_to_df;3
HAVE_TR1_UNORDERED_MAP;1
__CR16C__;4
__overload__;1
__SVR4_STRUCT_RETURN;1
DateEditor__;1
ActionChangeListener__;1
CONST_DOUBLE_OK_FOR_LETTER_P;2
FP_INHIBIT_RESULTS;1
HAVE_init_vectorized_lexer;1
atarist;1
PB_DS_HT_MAP_RESIZE_TRACE_;4
_VA_LIST;3
FBUF_DEBUG;1
GPLUSPLUS_INCLUDE_DIR;1
HAVE_FP_RND;1
HAVE_FMODL;2
AccessibleAWTCanvas__;1
HAVE_GFC_LOGICAL_1;5
PRIuLEAST16;1
InsertTabAction__;1
PRIo64;1
TCIFLUSH;1
GC_TEST_AND_SET_DEFINED;3
FIXED_WIDTH;2
EXTENDED_COFF;2
va_copy;6
Method__;1
__386__;3
PreviewBorder__;1
FROM_UDI;2
ECONNREFUSED;2
__DISABLE_XSAVE__;1
__CYGWIN32__;10
HAS_X86_THREAD_STATE32___EAX;1
__javax_swing_JFormattedTextField;2
JPOOL_UTF_LENGTH;1
UHA_MODE;1
__fr30__;3
AttributeContext__;1
ARRAY_SIZE;1
__gnu_java_awt_peer_gtk_GtkPanelPeer__;1
PRIiFAST32;1
__gnu_javax_crypto_jce_cipher_PBES2;132
DEBUG_SYMS_TEXT;1
VEOL2;1
PRIxLEAST64;1
__alpha__;24
__java_awt_Scrollbar;1
CONST_OK_FOR_LETTER_P;2
IN_COMMENT;1
HAVE_DECL_FREAD_UNLOCKED;3
PRIdPTR;1
fma;1
GUNZIP;8
FP_TRAPPING_EXCEPTIONS;1
__java_awt_font_TextLayout;2
__gnu_javax_net_ssl_provider_Extension;2
CREAD;1
__BMI2__;1
HPUX11_EXTERN_SENDPATH_CHECK;1
GCC_GMP_VERSION;1
ASAN_INTERCEPT_MLOCKX;1
GC_OSF1_THREADS;10
__AVX512ER__;1
__java_io_ObjectStreamField;1
__XTENSA_EB__;1
USItype;1
SKIP;2
TARGET_SOM;1
Animator__;1
TableFileRenderer__;1
CTOR_LIST_BEGIN;1
__32BIT__;1
AVOID_BOOL_DEFINE_CHECK;1
__gnu_java_nio_charset_UTF_8;2
ScrollBarChangeListener__;1
_GLIBCXX_HAVE_INT64_T_LONG_LONG;2
L_udivdi3;11
__need___va_list;1
CTZ_DEFINED_VALUE_AT_ZERO;1
L_ashlhelper;1
TARG_MAX_OCT;1
umul_ppmm;3
EBADR;1
__INTPTR_TYPE__;6
HAVE_AS_EXPLICIT_RELOCS;1
__DISABLE_AVX2__;1
HAVE_STRTOUL;1
HAVE_INOTIFY_INIT;1
ACCUMULATE_OUTGOING_ARGS;1
__LP64__;57
__tile__;1
DGUX;14
RETURN_ADDR_IN_PREVIOUS_FRAME;1
HAVE_LOG1PL;1
__USE_GNU;1
_SC_PHYS_PAGES;1
ATTRIBUTE_HOT;1
sharedPortServer__;1
LIBGCC2_MAX_UNITS_PER_WORD;1
AccessibleJTextField__;1
