guard;line;td
# if SOLARIS >= 21000 || (SOLARIS < 10000 && SOLARIS >= 210);330;2
# if SOLARIS >= 21100 || (SOLARIS < 10000 && SOLARIS >= 211);333;2
# ifndef HASGETUSERSHELL;339;1
# ifndef HASFLOCK;345;1
# ifdef __GNUC__;352;1
# ifdef SUNOS403;361;1
# ifndef LA_TYPE;378;1
# ifdef DGUX_5_4_2;382;1
# ifdef DGUX;385;1
# ifndef IDENTPROTO;394;1
# ifdef DGUX_5_4_2;403;1
# ifdef ultrix;408;1
# ifndef HASFLOCK;415;1
# ifndef BROKEN_RES_SEARCH;419;1
# if !defined(NEEDLOCAL_HOSTNAME_LENGTH) && NAMED_BIND && __RES >= 19931104 && __RES < 19950621;422;3
# ifdef vax;425;1
# ifndef IDENTPROTO;432;1
# ifdef __ksr__;438;1
# ifndef TZ_TYPE;440;1
# ifdef __PARAGON__;444;1
# ifndef TZ_TYPE;446;1
# ifdef __osf__;452;1
# ifndef HASFLOCK;464;1
# if _XOPEN_SOURCE+0 >= 400;466;1
# ifndef _PATH_VENDOR_CF;474;1
# ifndef _PATH_SENDMAILPID;477;1
# if _FFR_DIGUNIX_SAFECHOWN;480;1
# ifdef NeXT;484;1
# ifndef HASFLOCK;487;1
# ifndef NOT_SENDMAIL;494;1
# ifndef LA_TYPE;497;1
# ifdef _POSIX_SOURCE;501;1
# ifndef _PATH_VENDOR_CF;512;1
# ifndef _PATH_SENDMAILPID;515;1
# ifdef TCPWRAPPERS;519;1
# ifndef HASUNSETENV;520;1
# ifndef __APPLE__;525;1
# ifndef S_IRUSR;527;1
# ifndef S_IWUSR;530;1
# ifndef isascii;535;1
# if defined(DARWIN);539;1
# if DARWIN >= 70000;565;1
# if DARWIN >= 80000;568;1
# ifndef NOT_SENDMAIL;580;1
# if defined(BSD4_4) && !defined(__bsdi__) && !defined(__GNU__) && !defined(DARWIN);585;4
# ifndef LA_TYPE;598;1
# ifdef __bsdi__;604;1
# ifndef LA_TYPE;620;1
# if defined(_BSDI_VERSION) && _BSDI_VERSION >= 199312;625;1
# if defined(_BSDI_VERSION) && _BSDI_VERSION >= 199701;631;1
# if defined(_BSDI_VERSION) && _BSDI_VERSION <= 199701;634;1
# if defined(_BSDI_VERSION) && _BSDI_VERSION >= 199910;637;1
# if defined(__QNX__);641;1
# if defined(__QNXNTO__);642;1
# if defined(__DragonFly__) || defined(__FreeBSD__) || defined(__NetBSD__) || defined(__OpenBSD__);684;4
# ifndef LA_TYPE;703;1
# if defined(__NetBSD__) && defined(__NetBSD_Version__) &&     ((__NetBSD_Version__ >= 200040000 && __NetBSD_Version__ < 200090000) ||     (__NetBSD_Version__ >= 299000900));706;2
# if defined(__NetBSD__) && (NetBSD > 199307 || NetBSD0_9 > 1);712;3
# if defined(__NetBSD__) && ((__NetBSD_Version__ > 102070000) || (NetBSD1_2 > 8) || defined(NetBSD1_4) || defined(NetBSD1_3));716;5
# if defined(__NetBSD__) && defined(__NetBSD_Version__) && __NetBSD_Version__ >= 104170000;719;2
# if defined(__NetBSD__) && defined(__NetBSD_Version__) &&     ((__NetBSD_Version__ >= 200060000 && __NetBSD_Version__ < 200090000) ||     (__NetBSD_Version__ >= 299000900));722;2
# if defined(__NetBSD__);725;1
# if defined(__DragonFly__);730;1
# ifndef SMRSH_CMDDIR;738;1
# ifndef SMRSH_PATH;741;1
# if defined(__FreeBSD__);747;1
# if __FreeBSD_version >= 227001;749;1
# if __FreeBSD__ >= 2;754;1
# if __FreeBSD_version >= 199512;756;1
# if __FreeBSD_version >= 222000;760;1
# if __FreeBSD_version >= 300000;763;1
# if __FreeBSD_version >= 330000;766;1
# ifndef SMRSH_CMDDIR;767;1
# ifndef SMRSH_PATH;770;1
# if __FreeBSD_version >= 430000;774;1
# ifndef SPT_TYPE;781;1
# if defined(__OpenBSD__);786;1
# if OpenBSD < 200305;790;1
# if OpenBSD >= 200006;795;1
# if OpenBSD >= 200012;798;1
# if OpenBSD >= 200405;801;1
# if OpenBSD >= 200505;804;1
# if OpenBSD >= 200800;807;1
# if defined(MACH) && defined(i386) && !defined(__GNU__);812;3
# ifndef HASFLOCK;816;1
# ifndef LA_TYPE;822;1
# ifndef _PATH_VENDOR_CF;829;1
# ifndef _PATH_SENDMAILPID;832;1
# if defined(__GNU__) && !defined(NeXT);836;2
# if (__GLIBC__ == 2 && __GLIBC_MINOR__ > 1) || __GLIBC__ > 2;847;2
# if defined(oldBSD43) || defined(MORE_BSD) || defined(umipsbsd);861;3
# ifndef LA_TYPE;866;1
# ifndef _PATH_VENDOR_CF;869;1
# ifndef IDENTPROTO;872;1
# if _SCO_DS >= 1;879;1
# ifndef LA_TYPE;890;1
# ifndef _SCO_unix_4_2;894;1
# ifdef _SCO_unix_4_2;901;1
# ifdef _SCO_unix_;905;1
# ifndef USE_SIGLONGJMP;910;1
# ifndef _PATH_VENDOR_CF;922;1
# ifndef _PATH_SENDMAILPID;925;1
# ifndef _SCO_unix_4_2;928;1
# ifndef _SCO_DS;931;1
# ifdef ISC_UNIX;938;1
# ifndef _PATH_VENDOR_CF;953;1
# ifndef _PATH_SENDMAILPID;956;1
# ifdef ALTOS_SYSTEM_V;960;1
# ifdef _CONVEX_SOURCE;991;1
# ifndef _PATH_VENDOR_CF;1006;1
# ifndef S_IREAD;1009;1
# ifndef TZ_TYPE;1017;1
# ifndef IDENTPROTO;1020;1
# ifndef SHARE_V1;1023;1
# if !defined(__GNUC__ );1026;1
# if SECUREWARE;1030;1
# ifdef RISCOS;1036;1
# ifndef HASFLOCK;1038;1
# ifdef RISCOS_4_0;1058;1
# ifndef ARBPTR_T;1059;1
# ifdef __linux__;1067;1
# if !defined(KERNEL_VERSION);1069;1
# ifndef REQUIRES_DIR_FSYNC;1074;1
# ifndef USESETEUID;1077;1
# ifndef HASGETUSERSHELL;1085;1
# ifndef IP_SRCROUTE;1088;1
# ifndef HAS_IN_H;1091;1
# ifndef USE_SIGLONGJMP;1094;1
