feature;sd
MPD_UINT_MAX;2
SSL_R_COMPRESSION_LIBRARY_ERROR;1
DONT_HAVE_FSTAT;1
SO_RCVLOWAT;1
PEM_R_BAD_VERSION_NUMBER;1
_LARGEFILE_SOURCE;1
PATH_MAX;3
SSL_R_NO_CIPHERS_PASSED;1
SSL_R_UNSUPPORTED_COMPRESSION_ALGORITHM;1
HAVE_GETPAGESIZE;2
__GNUC__;50
IPV6_NEXTHOP;1
CBAUD;1
SSL_R_BAD_HANDSHAKE_LENGTH;1
FORCE_STATIC;1
HAVE_SYS_WAIT_H;4
S_ISBLK;1
FOOTERS;11
GZIP;6
FFI_MMAP_EXEC_SELINUX;2
Z_PREFIX_SET;3
WSAGETASYNCBUFLE;1
NL0;1
WSAENOTEMPTY;2
DONT_USE_SEH;5
HAVE_STRFTIME;2
_SC_SIGQUEUE_MAX;1
doubletime;1
_CS_LFS_LDFLAGS;1
SYSPROTO_CONTROL;4
NSWTCH;1
WITH_BLT;1
_CS_LFS64_CFLAGS;1
IPV6_RECVPKTINFO;1
POWERPC_AIX;9
WSASYSNOTREADY;1
CHAR_MAX;1
HAVE_POSIX_FALLOCATE;2
HAVE_POLL_H;3
_SC_STACK_PROT;1
PY_RELEASE_LEVEL;4
PY_INT32_T;2
_WCONIO_DEFINED;5
_SC_JOB_CONTROL;1
SSL_R_SSL_SESSION_ID_CALLBACK_FAILED;1
AF_DECnet;1
ACS_NEQUAL;1
Py_GENOBJECT_H;1
HAVE_RL_COMPLETION_DISPLAY_MATCHES_HOOK;3
_PC_NO_TRUNC;1
PEM_R_NOT_ENCRYPTED;1
PY_PBKDF2_HMAC;1
_SC_KERN_SIM;1
EMULATE_JISX0213_2000_DECODE_INVALID;1
SSL_R_NULL_SSL_CTX;1
_PC_NAME_MAX;1
SOL_CAN_RAW;1
SSL_R_NO_SHARED_CIPHER;1
THREAD_SET_STACKSIZE;1
DEFAULT_MMAP_THRESHOLD;1
__NT__;1
SCHED_BATCH;1
X509_R_INVALID_TRUST;1
HAVE_CONFSTR;5
MSG_DONTWAIT;1
HAVE_TTYNAME;1
EPROTOTYPE;1
HAVE_GETSPNAM;3
__unix__;1
EILSEQ;1
__SCO_VERSION__;1
A_HORIZONTAL;1
NTDDI_LONGHORN;2
SSL_R_NO_PRIVATEKEY;1
SIGSTOP;1
SIOCGIFNAME;1
IPPROTO_MOBILE;1
SSL_R_WRONG_MESSAGE_TYPE;1
MPD_SIZE_MAX;4
