guard;line;td
#if !defined(SIZEOF_PID_T) || SIZEOF_PID_T == SIZEOF_INT;26;2
#elif SIZEOF_PID_T == SIZEOF_LONG;30;2
#elif defined(SIZEOF_LONG_LONG) && SIZEOF_PID_T == SIZEOF_LONG_LONG;34;2
#if SIZEOF_VOID_P == SIZEOF_INT;41;2
#elif SIZEOF_VOID_P == SIZEOF_LONG;44;2
#elif defined(SIZEOF_LONG_LONG) && SIZEOF_VOID_P == SIZEOF_LONG_LONG;47;2
#ifndef Py_LIMITED_API;53;1
#ifndef Py_LIMITED_API;56;1
#ifdef HAVE_LONG_LONG;62;1
#ifndef Py_LIMITED_API;71;1
#ifndef Py_LIMITED_API;76;1
#ifdef __cplusplus;102;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;10;1
#ifdef __cplusplus;18;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;6;1
#ifndef Py_LIMITED_API;11;1
#ifndef Py_LIMITED_API;18;1
#ifndef Py_LIMITED_API;24;1
#ifdef __cplusplus;51;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;12;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;15;1
#ifndef Py_LIMITED_API;38;1
#ifndef Py_LIMITED_API;47;1
#ifdef __cplusplus;51;1
#ifdef __cplusplus;3;1
#ifdef PY_SSIZE_T_CLEAN;7;1
#if !defined(PY_SSIZE_T_CLEAN) || !defined(Py_LIMITED_API) || Py_LIMITED_API+0 >= 0x03030000;18;2
#ifndef Py_LIMITED_API;28;1
#ifdef Py_TRACE_REFS;46;1
#ifdef Py_LIMITED_API;51;1
#ifndef Py_LIMITED_API;56;1
#ifdef __cplusplus;59;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;20;1
#ifdef __cplusplus;44;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;8;1
#ifdef __cplusplus;3;1
#ifndef Py_LIMITED_API;18;1
#ifdef __cplusplus;29;1
#ifdef __cplusplus;3;1
#if defined(Py_DEBUG) && !defined(Py_TRACE_REFS);6;2
#if defined(Py_TRACE_REFS) && !defined(Py_REF_DEBUG);9;2
#if defined(Py_LIMITED_API) && defined(Py_REF_DEBUG);12;2
#ifdef Py_TRACE_REFS;15;1
#ifndef Py_LIMITED_API;57;1
#ifndef Py_LIMITED_API;98;1
#ifndef Py_LIMITED_API;159;1
#ifdef Py_LIMITED_API;176;1
#ifdef COUNT_ALLOCS;227;1
#if !defined(Py_LIMITED_API) || Py_LIMITED_API+0 >= 0x03030000;248;1
#if !defined(Py_LIMITED_API) || Py_LIMITED_API+0 >= 0x03040000;251;1
#ifndef Py_LIMITED_API;254;1
#ifndef Py_LIMITED_API;278;1
#ifndef Py_LIMITED_API;286;1
#ifndef Py_LIMITED_API;291;1
#ifndef Py_LIMITED_API;312;1
#ifndef Py_LIMITED_API;316;1
#ifndef Py_LIMITED_API;329;1
#ifndef Py_LIMITED_API;338;1
#ifdef STACKLESS;352;1
#ifdef Py_LIMITED_API;370;1
#ifdef Py_REF_DEBUG;376;1
#ifdef COUNT_ALLOCS;392;1
#ifdef Py_TRACE_REFS;405;1
#ifdef Py_LIMITED_API;415;1
#ifndef Py_LIMITED_API;452;1
#ifdef __cplusplus;459;1
#ifdef __cplusplus;4;1
#ifdef WITH_PYMALLOC;11;1
#ifndef Py_LIMITED_API;12;1
#if ((SIZEOF_VOID_P - 1) & SIZEOF_VOID_P) != 0;31;1
#ifndef Py_LIMITED_API;37;1
#ifndef Py_LIMITED_API;47;1
#ifndef Py_LIMITED_API;54;1
#ifdef __cplusplus;95;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;112;1
#ifdef __cplusplus;3;1
#if !defined(__QNX__);6;1
#if defined(MS_WINDOWS) || defined(__BORLANDC__) || defined(__WATCOMC__) || defined(__DJGPP__);7;4
#ifndef SEP;14;1
#ifdef __hpux;17;1
#ifndef PATH_MAX;20;1
#ifndef MAXPATHLEN;24;1
#if defined(PATH_MAX) && PATH_MAX > 1024;25;1
#ifndef DELIM;31;1
#ifdef __cplusplus;34;1
#ifndef Py_PARSETOK_H;2;1
#ifdef __cplusplus;4;1
#ifndef PGEN;9;1
#ifdef __cplusplus;89;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;9;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;32;1
#ifdef __APPLE__;3;1
#ifdef _BSD_WCHAR_T_DEFINED_;4;1
#ifdef __FreeBSD__;9;1
#ifdef _XOPEN_SOURCE_EXTENDED;10;1
#ifndef __FreeBSD_version;11;1
#if __FreeBSD_version >= 500000;14;1
#ifndef __wchar_t;15;1
#ifndef __wint_t;18;1
#ifndef _WCHAR_T;22;1
#ifndef _WINT_T;25;1
#ifdef HAVE_NCURSES_H;31;1
#ifdef HAVE_TERM_H;35;1
#ifdef HAVE_NCURSES_H;39;1
#ifndef WINDOW_HAS_FLAGS;40;1
#ifndef MVWDELCH_IS_EXPRESSION;43;1
#ifdef __cplusplus;47;1
#ifdef CURSES_MODULE;58;1
#ifdef __cplusplus;75;1
#ifndef Py_PYARENA_H;2;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;12;1
#ifndef Py_ATOMIC_H;2;1
#ifdef __cplusplus;5;1
#if defined(__GNUC__) && (defined(__i386__) || defined(__amd64));21;3
#ifdef __cplusplus;71;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;25;1
#ifndef PYCTYPE_H;2;1
#ifndef Py_PYDEBUG_H;2;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;24;1
#ifdef __cplusplus;3;1
