guard;line;td
#if !NO_MALLINFO;244;1
#if MSPACES;254;1
#if !NO_MALLINFO;271;1
#ifdef __cplusplus;279;1
#ifdef WIN32;282;1
#ifndef __GNUC__;283;1
#ifndef LACKS_ERRNO_H;288;1
#if FOOTERS;291;1
#ifndef LACKS_STDLIB_H;294;1
#ifdef DEBUG;297;1
#if ABORT_ON_ASSERT_FAILURE;298;1
#ifndef assert;304;1
#ifndef LACKS_STRING_H;309;1
#if USE_BUILTIN_FFS;312;1
#ifndef LACKS_STRINGS_H;313;1
#if HAVE_MMAP;317;1
#ifndef LACKS_SYS_MMAN_H;318;1
#ifndef LACKS_FCNTL_H;321;1
#ifndef LACKS_UNISTD_H;325;1
#if !defined(__FreeBSD__) && !defined(__OpenBSD__) && !defined(__NetBSD__);328;3
#if USE_LOCKS;332;1
#ifndef WIN32;333;1
#if defined (__SVR4) && defined (__sun);335;2
#ifndef _M_AMD64;339;1
#ifdef __cplusplus;340;1
#ifndef __MINGW32__;343;1
#ifdef __cplusplus;347;1
#ifndef __MINGW32__;351;1
#if (__GNUC__ * 10000 + __GNUC_MINOR__ * 100 + __GNUC_PATCHLEVEL__) > 40100;355;3
#if defined(_MSC_VER) && _MSC_VER>=1300;380;1
#ifndef BitScanForward;381;1
#ifdef __cplusplus;382;1
#ifdef __cplusplus;387;1
#ifndef WIN32;396;1
#ifndef malloc_getpagesize;397;1
# ifdef _SC_PAGESIZE;398;1
# ifndef _SC_PAGE_SIZE;399;1
# ifdef _SC_PAGE_SIZE;403;1
# if defined(BSD) || defined(DGUX) || defined(HAVE_GETPAGESIZE);406;3
# ifdef WIN32;410;1
# ifndef LACKS_SYS_PARAM_H;413;1
# ifdef EXEC_PAGESIZE;416;1
# ifdef NBPG;419;1
# ifndef CLSIZE;420;1
# ifdef NBPC;426;1
# ifdef PAGESIZE;429;1
#if HAVE_MMAP;457;1
#ifndef WIN32;458;1
#if !defined(MAP_ANONYMOUS) && defined(MAP_ANON);461;2
#ifdef MAP_ANONYMOUS;464;1
#if HAVE_MREMAP;504;1
#ifndef WIN32;505;1
#if HAVE_MORECORE;509;1
#ifdef MORECORE;510;1
#if HAVE_MMAP;518;1
#ifdef MMAP;521;1
#ifdef MUNMAP;526;1
#ifdef DIRECT_MMAP;531;1
#if HAVE_MMAP && HAVE_MREMAP;546;2
#ifdef MREMAP;547;1
#if USE_LOCKS == 1;557;1
#if USE_SPIN_LOCKS;558;1
#ifndef WIN32;559;1
#if defined (__SVR4) && defined (__sun);598;2
#if defined(__linux__) || defined(__FreeBSD__) || defined(__APPLE__);601;3
#ifdef _MSC_VER;666;1
#if defined(_M_IX86);667;1
#elif defined(_M_X64);671;1
#ifndef WIN32;729;1
#ifdef linux;737;1
#ifndef PTHREAD_MUTEX_RECURSIVE;738;1
#if USE_LOCKS > 1;780;1
#if USE_LOCKS;782;1
#if USE_LOCKS;788;1
#if FOOTERS;808;1
#if MMAP_CLEARS;845;1
#if USE_LOCKS;897;1
#if !ONLY_MSPACES;915;1
#ifdef WIN32;932;1
#ifndef MORECORE_CANNOT_TRIM;959;1
#if USE_LOCKS;965;1
#ifndef PREACTION;969;1
#ifndef POSTACTION;972;1
#if PROCEED_ON_ERROR;976;1
#ifndef CORRUPTION_ERROR_ACTION;982;1
#ifndef USAGE_ERROR_ACTION;985;1
#if ! DEBUG;989;1
#if defined(__GNUC__) && (defined(__i386__) || defined(__x86_64__));1022;3
#elif defined (__INTEL_COMPILER);1024;1
#elif defined(_MSC_VER) && _MSC_VER>=1300;1026;1
