branch;line;nd
#if defined(UMICH_LDAP) || (defined(OPEN_LDAP) && !defined(LDAP_API_VERSION));744;1
#else;837;1
#ifdef LDAP_DEBUG;910;1
#ifdef UMICH_LDAP;1015;1
#if LDAPTCL_PROTOCOL_VERSION_DEFAULT;1041;1
#ifdef LDAP_OPT_PROTOCOL_VERSION;1047;2
#else;1064;1
#ifdef LDAP_OPT_PROTOCOL_VERSION;1081;1
#ifdef UMICH_LDAP;1097;1
#ifdef TCL_TEST;4;1
#ifdef USE_TCLX;12;1
#else;14;1
#ifdef USE_ITCL;26;1
#ifdef TCL_TEST;32;1
#ifdef USE_TCLX;39;1
#ifdef __cplusplus;5;1
#else;9;1
#ifdef USE_TCLX;16;1
#else;18;1
#ifdef __cplusplus;23;1
#else;26;1
#ifdef USE_TCLX;35;1
#ifdef USE_TCLX;45;1
#ifdef SLAP_DYNACL;5;1
#if !SLAP_OVER_VERSION_REQUIRE(2,3,0);7;1
#ifdef SLAPD_OVER_ALLOWED;2;2
#ifndef SLAPD_MEMBEROF_ATTR;7;1
#ifdef SLAPD_OVER_CLOAK;2;2
#ifndef _authorityKeyIdentifier_h_;2;2
#ifndef _certificate_h_;2;2
#ifndef SLAPD_COMP_MATCH;14;1
#ifdef SLAPD_COMP_MATCH;17;1
#ifndef _crl_h_;2;2
#ifndef SLAPD_COMP_MATCH;13;1
#if 0;153;1
#if 0;164;1
#if 0;336;1
#if 0;376;1
#if 0;452;1
#if SLAPD_COMP_MATCH == SLAPD_MOD_DYNAMIC;613;1
#ifdef SLAPD_OVER_DENYOP;2;2
#ifdef SLAPD_OVER_DUPENT;2;2
#ifndef SLAPD_MOD_KINIT;2;1
#ifdef SLAPD_MOD_KINIT;5;2
#ifdef SLAPD_OVER_LASTBIND;2;2
#ifdef SLAPD_OVER_LASTMOD;2;2
#ifdef SLAPD_OVER_NOOPSRCH;2;2
#ifdef SLAPD_OVER_NOPS;2;2
#ifndef STRICT_GROUPS;60;1
#if GCC_VERSION(3,0);4;1
#else;6;1
#if GCC_VERSION(3,0);9;1
#else;11;1
#if GCC_VERSION(3,0);14;1
#else;16;1
#if GCC_VERSION(3,0);19;1
#else;21;1
#if GCC_VERSION(3,4);24;1
#else;26;1
#if GCC_VERSION(2,5);29;1
#else;31;1
#ifndef __STRING;34;2
#ifdef DEBUG_PROT;4;1
#else;8;1
#ifdef DEBUG_PROT_DUMP;11;2
#else;23;1
#ifdef HAVE_STDINT_H;2;1
#ifndef ETIME;17;1
#ifdef DEBUG_TIO_STATS;34;1
#ifdef DEBUG_TIO_STATS;92;1
#ifdef SSIZE_MAX;196;1
#ifdef DEBUG_TIO_STATS;209;1
#ifdef SSIZE_MAX;227;1
#ifdef MSG_NOSIGNAL;254;1
#else;256;1
#ifdef DEBUG_TIO_STATS;275;1
#ifdef DEBUG_TIO_STATS;362;1
#ifndef SLAPD_OVER_NSSOV;2;1
#if SLAPD_OVER_NSSOV == SLAPD_MOD_DYNAMIC;813;1
#ifndef NSLCD_PATH;3;1
#ifndef NSLCD_SOCKET;6;1
#if 0;43;1
#ifndef UF_DONT_EXPIRE_PASSWD;66;1
#ifdef HAVE_KRB5;6;1
#elif defined(HAVE_KRB4);8;1
#ifdef HAVE_KRB5;39;2
#elif defined(HAVE_KRB4);97;1
#if !defined(BYTE_ORDER) || (BYTE_ORDER != LITTLE_ENDIAN && BYTE_ORDER != BIG_ENDIAN);4;1
#ifdef SHA2_USE_INTTYPES_H;7;1
#else;11;1
#if BYTE_ORDER == LITTLE_ENDIAN;19;1
#if !defined(SHA2_USE_MEMSET_MEMCPY) && !defined(SHA2_USE_BZERO_BCOPY);24;1
#if defined(SHA2_USE_MEMSET_MEMCPY) && defined(SHA2_USE_BZERO_BCOPY);27;1
#ifdef SHA2_USE_MEMSET_MEMCPY;30;1
#ifdef SHA2_USE_BZERO_BCOPY;34;1
#ifdef SHA2_UNROLL_TRANSFORM;153;2
#else;204;2
#if BYTE_ORDER == LITTLE_ENDIAN;306;1
#if BYTE_ORDER == LITTLE_ENDIAN;326;1
#else;334;1
#ifdef SHA2_UNROLL_TRANSFORM;373;2
#else;423;2
#if BYTE_ORDER == LITTLE_ENDIAN;521;1
#if BYTE_ORDER == LITTLE_ENDIAN;549;1
#else;557;1
#if BYTE_ORDER == LITTLE_ENDIAN;603;1
#else;611;1
#ifdef HAVE_INTTYPES_H;4;1
#ifndef LITTLE_ENDIAN;7;1
#ifndef BIG_ENDIAN;10;1
#ifndef BYTE_ORDER;13;2
#ifdef __cplusplus;20;1
#ifdef SHA2_USE_INTTYPES_H;24;1
#if 0;36;1
#ifdef SHA2_USE_INTTYPES_H;41;1
#else;52;1
#ifndef NOPROTO;65;2
#else;99;1
#ifdef __cplusplus;116;1
#ifdef SLAPD_SHA2_DEBUG;6;1
#ifdef SLAPD_SHA2_DEBUG;130;1
#ifdef SLAPD_SHA2_DEBUG;220;1
#ifdef SLAPD_SHA2_DEBUG;284;1
#ifdef SLAPD_SHA2_DEBUG;348;1
#ifdef SLAPD_OVER_PGUID;2;2
#ifdef SLAPD_OVER_RDNVAL;2;2
#ifdef SLAPD_OVER_VERNUM;2;2
#ifndef SLAPD_OVER_SMBK5PWD;2;1
#ifdef SLAPD_OVER_SMBK5PWD;5;3
#ifdef SLAPD_OVER_TRACE;2;2
#ifdef __GNUC__;4;1
#else;6;4
#ifdef LDAP_DEBUG;4;3
#else;18;1
#if !defined( AC_INT4_TYPE );3;2
#if !defined( AC_INT2_TYPE );17;2
#if defined( AC_INT2_TYPE );28;1
#ifndef BYTE_ORDER;33;2
#ifdef HAVE_CRYPT_H;4;1
#else;6;1
#ifdef C_UPPER_LOWER;6;1
#else;9;1
#ifdef HAVE_DIRENT_H;3;1
#elif defined(_MSC_VER);6;2
#else;23;2
#if defined( HAVE_ERRNO_H );3;1
#elif defined( HAVE_SYS_ERRNO_H );5;1
#ifndef HAVE_SYS_ERRLIST;8;1
#elif defined( DECL_SYS_ERRLIST );11;1
#ifdef HAVE_SYS_ERRLIST;17;1
#elif defined( HAVE_STRERROR );19;1
#else;21;1
#if !defined( OPENLDAP_FD_SETSIZE ) && !defined( FD_SETSIZE );3;1
#ifdef OPENLDAP_FD_SETSIZE;6;2
#ifdef LDAP_LOCALIZE;3;1
#else;12;1
#ifdef HAVE_SYS_PARAM_H;3;1
#ifndef MAXPATHLEN;7;2
#ifdef HAVE_SYS_TYPES_H;3;1
#ifndef HAVE_REGEX_H;6;1
#elif HAVE_GNUREGEX_H;8;1
#else;10;1
#ifdef LDAP_PROCTITLE;3;2
#if defined( HAVE_SIGACTION );5;1
#elif defined( HAVE_SIGSET );10;1
#else;13;1
#if !defined( LDAP_SIGUSR1 ) || !defined( LDAP_SIGUSR2 );17;3
#ifndef LDAP_SIGCHLD;41;2
#ifdef HAVE_SYS_TYPES_H;3;1
#ifdef HAVE_POLL_H;6;1
#elif defined(HAVE_SYS_POLL_H);8;1
#ifdef HAVE_SYS_SOCKET_H;11;2
#ifdef HAVE_WINSOCK2;34;1
#elif HAVE_WINSOCK;37;1
#ifdef HAVE_PCNFS;40;1
#ifndef INADDR_LOOPBACK;43;1
#ifndef MAXHOSTNAMELEN;46;1
#ifdef HAVE_WINSOCK;54;2
#elif MACOS;75;1
#elif DOS;79;2
#elif defined(HAVE_CLOSESOCKET);90;2
#else;96;2
#ifndef ioctl_t;108;1
#ifndef AC_SOCKET_INVALID;111;1
#ifndef AC_SOCKET_ERROR;114;1
#if !defined( HAVE_INET_ATON ) && !defined( inet_aton );117;1
#if defined(__WIN32) && defined(_ALPHA);122;1
#else;125;1
#ifdef LDAP_PF_LOCAL;131;2
#ifndef INET_ADDRSTRLEN;139;1
#ifndef INET6_ADDRSTRLEN;142;1
#if defined( HAVE_GETADDRINFO ) || defined( HAVE_GETNAMEINFO );145;2
#if defined(LDAP_PF_LOCAL) &&  !defined(HAVE_GETPEEREID) &&  !defined(HAVE_GETPEERUCRED) &&  !defined(SO_PEERCRED) && !defined(LOCAL_PEERCRED) &&  defined(HAVE_SENDMSG) && (defined(HAVE_STRUCT_MSGHDR_MSG_ACCRIGHTSLEN) ||  defined(HAVE_STRUCT_MSGHDR_MSG_CONTROL));153;1
#ifdef HAVE_GETPEEREID;156;1
#elif defined(LDAP_PF_LOCAL_SENDMSG);158;1
#else;162;1
#ifndef NI_MAXHOST;166;1
#ifdef HAVE_POLL;169;2
#ifndef HAVE_STDARG;4;1
#if defined( HAVE_CSRIMALLOC );3;1
#if defined(HAVE_MALLOC_H) && !defined(STDC_HEADERS);9;1
#ifndef EXIT_SUCCESS;12;1
#ifdef HAVE_LIMITS_H;16;1
#if defined(LINE_MAX);19;1
#else;21;1
#ifdef STDC_HEADERS;3;1
#else;5;2
#ifndef HAVE_STRDUP;30;1
#elif !defined(_WIN32);33;1
#ifndef _WIN32;36;1
#ifndef SAFEMEMCPY;40;2
#ifdef NEED_MEMCMP_REPLACEMENT;51;1
#if defined(HAVE_MEMRCHR) && defined(_GNU_SOURCE);56;1
#if defined( HAVE_NONPOSIX_STRERROR_R );60;1
