feature;sd
PERL_MAGIC_isaelem;1
__COM_ERR_H;2
NEED_sv_2pv_nolen;1
HAVE_CRTDEFS_H;1
PTRSIZE;3
NEED_my_strlcat;2
TCP_KEEPIDLE;5
SvPV_const;1
HAVE_RL_FILENAME_COMPLETION_FUNCTION;1
ILIST_DEBUG;2
SvREFCNT_inc_simple_NN;1
IS_NUMBER_GREATER_THAN_UV_MAX;1
YYENABLE_NLS;8
PX_OWN_ALLOC;1
size_t;8
HAVE_WCTYPE_H;3
HAVE_MBSTOWCS_L;1
UNDERBAR;1
dAX;1
HAVE_IEEEFP_H;1
WARN_INTERNAL;1
__INTEL_COMPILER;7
YYTYPE_INT16;8
pv_display;2
gould;1
NEED_warner_GLOBAL;1
SV_CONST_RETURN;1
SvPVX_mutable;2
ultrix;1
FREE;1
PG_MODULE_MAGIC;3
_GNU_SOURCE;8
NEED_pv_pretty_GLOBAL;1
YYLTYPE_IS_TRIVIAL;9
HAVE_STRINGS_H;1
__CYGWIN__;70
mXPUSHn;1
SPI_EXECUTOR_STATS;2
ENABLE_THREAD_SAFETY;78
SvPV_force_mutable;1
_MSC_VER;146
LARGE_TABLES;5
mPUSHu;1
SHRT_MAX;1
TAS;1
SvUVXx;1
HAVE_HISTORY_TRUNCATE_FILE;1
vload_module;2
CopSTASHPV_set;2
INVALID_FILE_ATTRIBUTES;1
hv_fetchs;1
USE_SYSV_SEMAPHORES;1
LBDEBUG;3
HAVE_STDINT_H;1
PERL_GCC_BRACE_GROUPS_FORBIDDEN;2
HAVE_UNION_SEMUN;1
SvPV_renew;1
StrNCpy;1
GvSVn;1
VAL_CC;1
sv_2pvbyte;1
YYLTYPE_IS_DECLARED;6
ENABLE_LIST_COMPAT;1
PY_VERSION_HEX;3
PERL_MAGIC_nkeys;1
_AIX;13
call_argv;1
SV_MUTABLE_RETURN;1
SvPV_force_nomg;1
short;8
ENOTCONN;1
HAVE_GETPEERUCRED;1
getnameinfo;1
EAI_FAMILY;1
HAVE_SYS_SOCKIO_H;1
MAX_CHUNK_SIZE;1
PERL_MAGIC_isa;1
__linux__;6
NVTYPE;1
dNOOP;1
PG_SYSLOG_LIMIT;1
sv_2pvbyte_nolen;1
YY_LOCATION_PRINT;8
isPUNCT;2
PERL_UINT_MAX;1
CASHDEBUG;5
S_LOCK;1
SvREFCNT_inc;1
PERL_MAGIC_env;1
HAVE_TM_ZONE;4
CONST84;1
USE_LONG_LONG;1
STR_WITH_LEN;1
PY_MAJOR_VERSION;20
PGDLLEXPORT;1
malloc;17
PERL_MAGIC_regdatum;1
ERRSV;1
O_FSYNC;1
SHM_SHARE_MMU;1
YYFREE;16
PERL_MAGIC_shared;1
NEED_sv_pvn_force_flags_GLOBAL;1
PERL_SHORT_MAX;1
WARN_UNOPENED;1
WARN_CLOSED;1
_WIN64;5
__ns32k__;1
__FAST_MATH__;4
__SOLARIS__;1
HAVE_FPCLASS;1
SIGABRT;1
NEED_my_strlcat_GLOBAL;1
NEED_sv_2pvbyte;2
HAVE_CBRT;2
SIGCONT;1
AI_NUMERICHOST;1
BGW_DEBUG;7
O_SYNC;1
HAVE_STRUCT_SOCKADDR_SA_LEN;2
LONGSIZE;5
VAL_CFLAGS_SL;1
ACLDEBUG;7
WARN_EXEC;1
F_SETFD;1
G_WARN_ON;1
HASATTRIBUTE;1
HAVE_IPV6;33
SIGALRM;1
PERL_VERSION;1
HAVE_EDITLINE_READLINE_H;1
PRINT_TABS;2
__vax__;2
PERL_INT_MAX;1
SV_SMAGIC;1
SIGHUP;2
SVfARG;1
SvPV_force_flags_nolen;1
