branch;line;nd
#ifdef LIBXML_OUTPUT_ENABLED;236;1
#ifdef LIBXML_OUTPUT_ENABLED;366;2
#ifdef LIBXML_OUTPUT_ENABLED;546;1
#ifdef DEBUG_ENCODING;809;1
#ifdef LIBXML_ICONV_ENABLED;910;1
#ifdef LIBXML_ICU_ENABLED;914;1
#ifdef DEBUG_ENCODING;919;1
#ifdef LIBXML_OUTPUT_ENABLED;943;2
#else;955;1
#if !defined(LIBXML_ICONV_ENABLED) && !defined(LIBXML_ICU_ENABLED);965;2
#ifdef DEBUG_ENCODING;1112;1
#ifdef LIBXML_ICONV_ENABLED;1123;1
#ifdef LIBXML_ICU_ENABLED;1127;1
#ifdef DEBUG_ENCODING;1148;1
#ifdef LIBXML_ICONV_ENABLED;1156;2
#ifdef LIBXML_ICU_ENABLED;1189;2
#ifdef DEBUG_ENCODING;1218;1
#ifdef LIBXML_ICONV_ENABLED;1232;2
#ifdef LIBXML_ICU_ENABLED;1272;1
#ifdef LIBXML_ICONV_ENABLED;1332;1
#ifdef LIBXML_ICU_ENABLED;1342;1
#ifdef DEBUG_ENCODING;1352;1
#ifdef LIBXML_ICONV_ENABLED;1424;1
#ifdef LIBXML_ICU_ENABLED;1434;1
#ifdef DEBUG_ENCODING;1446;1
#ifdef DEBUG_ENCODING;1453;1
#ifdef DEBUG_ENCODING;1460;1
#ifdef LIBXML_ICONV_ENABLED;1521;1
#ifdef LIBXML_ICU_ENABLED;1531;1
#ifdef DEBUG_ENCODING;1543;1
#ifdef DEBUG_ENCODING;1550;1
#ifdef DEBUG_ENCODING;1557;1
#ifdef LIBXML_ICONV_ENABLED;1607;1
#ifdef LIBXML_ICU_ENABLED;1618;1
#ifdef DEBUG_ENCODING;1631;1
#ifdef DEBUG_ENCODING;1638;1
#ifdef DEBUG_ENCODING;1645;1
#ifdef LIBXML_ICONV_ENABLED;1696;1
#ifdef LIBXML_ICU_ENABLED;1703;1
#ifdef DEBUG_ENCODING;1710;1
#ifdef LIBXML_ICONV_ENABLED;1738;1
#ifdef LIBXML_ICU_ENABLED;1754;1
#ifdef DEBUG_ENCODING;1778;1
#ifdef DEBUG_ENCODING;1785;1
#ifdef DEBUG_ENCODING;1791;1
#ifdef DEBUG_ENCODING;1810;1
#ifdef LIBXML_ICONV_ENABLED;1865;1
#ifdef LIBXML_ICU_ENABLED;1873;1
#ifdef DEBUG_ENCODING;1882;1
#ifdef LIBXML_ICONV_ENABLED;1905;1
#ifdef LIBXML_ICU_ENABLED;1922;1
#ifdef DEBUG_ENCODING;1948;1
#ifdef DEBUG_ENCODING;1955;1
#ifdef DEBUG_ENCODING;1961;1
#ifdef DEBUG_ENCODING;1980;1
#ifdef LIBXML_ICONV_ENABLED;2016;1
#ifdef LIBXML_ICU_ENABLED;2031;1
#ifdef DEBUG_ENCODING;2050;1
#ifdef LIBXML_ICONV_ENABLED;2084;1
#ifdef LIBXML_ICU_ENABLED;2101;1
#if !defined(LIBXML_ICONV_ENABLED) && !defined(LIBXML_ICU_ENABLED);2128;2
#ifdef HAVE_STDLIB_H;4;1
#ifdef LIBXML_TREE_ENABLED;581;1
#ifdef LIBXML_OUTPUT_ENABLED;612;1
#ifdef LIBXML_XINCLUDE_ENABLED;352;1
#ifdef LIBXML_SAX1_ENABLED;117;1
#else;120;1
#ifdef LIBXML_OUTPUT_ENABLED;162;1
#ifdef HAVE_STDLIB_H;3;1
#ifdef LIBXML_THREAD_ENABLED;10;1
#else;12;1
#if defined(DEBUG_MEMORY_LOCATION) || defined(DEBUG_MEMORY);34;1
#else;40;1
#ifdef LIBXML_SAX1_ENABLED;126;1
#ifdef LIBXML_HTML_ENABLED;164;1
#ifdef LIBXML_DOCB_ENABLED;196;1
#ifdef DEBUG_GLOBALS;231;1
#if defined(LIBXML_DOCB_ENABLED) && defined(LIBXML_LEGACY_ENABLED) && defined(LIBXML_SAX1_ENABLED);238;1
#if defined(LIBXML_HTML_ENABLED) && defined(LIBXML_LEGACY_ENABLED) && defined(LIBXML_SAX1_ENABLED);241;1
#if defined(LIBXML_SAX1_ENABLED) && defined(LIBXML_LEGACY_ENABLED);247;1
#if defined(DEBUG_MEMORY_LOCATION) | defined(DEBUG_MEMORY);256;1
#else;262;1
#ifdef LIBXML_OUTPUT_ENABLED;366;1
#ifdef LIBXML_DOCB_ENABLED;375;1
#ifdef LIBXML_HTML_ENABLED;385;1
#if defined(LIBXML_THREAD_ALLOC_ENABLED) && defined(LIBXML_THREAD_ENABLED);403;1
#ifdef LIBXML_SAX1_ENABLED;484;1
#ifdef HAVE_STDLIB_H;4;1
#ifdef HAVE_TIME_H;7;1
#if defined(HAVE_RAND) && defined(HAVE_SRAND) && defined(HAVE_TIME);10;1
#ifdef HASH_RANDOMIZATION;34;1
#ifdef HASH_RANDOMIZATION;43;1
#ifdef HASH_RANDOMIZATION;73;1
#ifdef HASH_RANDOMIZATION;130;1
#ifdef DEBUG_GROW;155;1
#ifdef DEBUG_GROW;197;1
#ifdef DEBUG_GROW;204;1
#ifdef LIBXML_DOCB_ENABLED;4;3
#ifdef LIBXML_HTML_ENABLED;5;2
#ifdef LIBXML_HTML_ENABLED;7;2
#ifdef LIBXML_LEGACY_ENABLED;8;3
#ifdef __cplusplus;8;1
#if defined(LIBXML_SAX1_ENABLED) || defined(LIBXML_HTML_ENABLED) || defined(LIBXML_WRITER_ENABLED) || defined(LIBXML_DOCB_ENABLED);83;1
#ifdef LIBXML_SAX1_ENABLED;129;1
#ifdef LIBXML_HTML_ENABLED;139;1
#ifdef LIBXML_DOCB_ENABLED;145;1
#ifdef __cplusplus;153;1
#ifdef LIBXML_C14N_ENABLED;3;3
#ifdef LIBXML_CATALOG_ENABLED;7;2
#ifdef __cplusplus;5;1
#ifdef __cplusplus;67;1
#ifdef LIBXML_DEBUG_ENABLED;6;3
#ifdef __cplusplus;6;1
#ifdef __cplusplus;44;1
#ifdef LIBXML_ICONV_ENABLED;4;1
#ifdef LIBXML_ICU_ENABLED;7;1
#ifdef __cplusplus;10;1
#ifdef LIBXML_ICU_ENABLED;43;1
#ifdef LIBXML_ICONV_ENABLED;56;1
#ifdef LIBXML_ICU_ENABLED;60;1
#ifdef __cplusplus;65;1
#ifdef __cplusplus;69;1
#ifdef LIBXML_OUTPUT_ENABLED;116;1
#ifdef __cplusplus;128;1
#ifdef __cplusplus;5;1
#ifdef LIBXML_LEGACY_ENABLED;39;1
#ifdef LIBXML_LEGACY_ENABLED;75;1
#ifdef LIBXML_TREE_ENABLED;88;1
#ifdef LIBXML_OUTPUT_ENABLED;94;1
