guard;line;td
#ifdef vax;87;1
#ifndef ultrix;88;1
#ifdef luna;93;1
#ifdef Mips;97;1
#ifdef USL;101;1
#ifdef SYSV;102;1
#ifdef SYSV386;107;1
#ifdef SYSV;108;1
#ifdef MOTOROLA;113;1
#ifdef SYSV;114;1
#ifndef _XFUNCS_H_;119;1
#ifdef X_USEBFUNCS;121;1
#if (__STDC__ && !defined(X_NOT_STDC_ENV) && !defined(sun) && !defined(macII)) || defined(SVR4) || defined(hpux) || defined(_IBMR2);126;7
#ifdef sgi;132;1
#ifdef SYSV;135;1
#if defined(_XBCOPYFUNC) && !defined(macII);137;2
#ifdef X_NOT_STDC_ENV;154;1
#ifdef SYSV;155;1
#ifndef strchr;159;1
#ifndef strrchr;162;1
#if defined(SYSV) && defined(SYSV386);167;2
#if defined(__STDC__);168;1
#ifdef ISC;169;1
#ifdef SCO;172;1
#ifdef SCO324;173;1
#ifdef X_NOT_STDC_ENV;185;1
#if defined(ultrix) || defined(sun) && !defined(sparc) || defined(titan) ||  (defined(ibm032) && !defined(_AIX));186;6
#ifdef HAVE_NO_DIRENT;194;1
#ifndef X_NOT_POSIX;199;1
#ifdef _POSIX_SOURCE;200;1
#if !defined(sun) || defined(sparc) || (defined(SVR4) && defined(i386));203;4
#ifndef PATH_MAX;210;1
#ifdef MAXPATHLEN;212;1
#ifdef USE_INLINE;230;1
#ifdef NOSTRSTR;235;1
#if defined(SYSV) || defined(SVR4);238;2
#elif defined(BSD);245;1
#elif (defined(linux) && !defined(glibc) && !defined(__GLIBC__));249;3
#elif !defined(__osf__) && !defined(__CYGWIN__) && !defined(linux) && !defined(__FreeBSD__) && !defined(__GLIBC__);252;5
#ifndef frandom;255;1
#ifdef I18N;258;1
#ifdef XAW3D;7;1
#ifdef XAW3D1_5E;22;1
#ifdef USE_TAB;44;1
#ifdef I18N;47;1
#ifdef I18N;280;1
#ifdef I18N_USE_PREEDIT;303;1
#ifdef I18N;422;1
#ifdef I18N;530;1
#ifdef I18N;662;1
#ifdef I18N;710;1
#ifdef I18N;862;1
#ifdef WHEN_SAVE_YOURSELF_IS_FIXED;874;1
#ifdef SIGBUS;978;1
#ifndef USE_TAB;1012;1
#if sgi;1061;1
#ifdef I18N;1121;1
#ifdef USE_XPM_ICON;1334;1
#ifdef USE_XPM_ICON;1364;1
#ifdef USE_XPM;72;1
#ifdef USE_XPM;115;1
#ifdef USE_XPM;177;1
#ifdef USE_JPEG;37;1
#ifdef USE_XPM;45;1
#ifdef USE_XPM;52;1
#ifdef USE_XPM;58;1
#ifdef I18N;179;1
#ifdef I18N_USE_PREEDIT;190;1
#ifdef SIGBUS;25;1
#ifdef SIGBUS;63;1
#ifdef WHEN_SAVE_YOURSELF_IS_FIXED;81;1
#ifdef USE_XPM;190;1
#ifdef I18N;76;1
#ifdef I18N;86;1
#ifdef I18N;176;1
#ifdef I18N;270;1
#ifdef I18N;278;1
#ifdef I18N;300;1
#ifdef I18N;310;1
#ifdef I18N;335;1
#if (defined(SYSV) || defined(SVR4)) && !defined(BSDLPR);458;3
#if (defined(SYSV) || defined(SVR4)) && !defined(BSDLPR);472;3
#ifndef SYSV;34;1
#ifdef SEL_TEXT;53;1
#ifndef NO_COMPKEYDB;57;1
#ifndef NO_COMPKEYDB;66;1
#ifdef SEL_TEXT;71;1
#ifndef NO_COMPKEYDB;148;1
#ifdef NO_COMPKEYDB;174;1
#if defined(SMOOTHMOTION);183;1
#ifdef REPORT_XY_ALWAYS;200;1
#ifdef SEL_TEXT;224;1
#ifdef SEL_TEXT;233;1
#ifdef NO_COMPKEYDB;359;1
#ifdef NO_COMPKEYDB;381;1
#ifdef I18N;392;1
#ifdef SEL_TEXT;458;1
#ifdef I18N;504;1
#ifdef I18N;522;1
#ifndef NO_COMPKEYDB;560;1
#ifdef COMP_LED;649;1
#ifndef XAW3D1_5E;45;1
#ifdef I18N;48;1
#ifdef XAW3D1_5E;89;1
#ifdef DIGITIZE;117;1
#ifdef FIXED_JAPANESE_PDF;167;1
#ifndef XAW3D1_5E;240;1
#ifndef XAW3D1_5E;272;1
#ifndef XAW3D1_5E;294;1
#ifndef XAW3D1_5E;343;1
#ifndef XAW3D1_5E;372;1
#ifdef I18N;459;1
#ifdef I18N_USE_PREEDIT;460;1
#ifdef I18N;701;1
#ifndef XAW3D1_5E;1020;1
#ifdef XAW3D1_5E;1291;1
#ifdef XAW3D1_5E;1302;1
#ifdef HAVE_NO_DIRENT;18;1
#ifdef I18N;85;1
#ifdef I18N;104;1
#ifdef I18N;169;1
#ifdef I18N;227;1
#ifdef I18N;239;1
#ifdef I18N;261;1
#ifdef I18N;340;1
#ifdef CLIP_LINE;1250;1
#ifdef CLIP_LINE;1257;1
#ifndef MAXNUMPTS;57;1
#ifdef I18N;202;1
#ifdef I18N;26;1
#ifdef SETLOCALE;639;1
#ifdef USE_XPM_ICON;2860;1
#ifdef USE_XPM;3194;1
#ifdef USE_XPM;142;1
#ifndef XAW3D1_5E;55;1
#ifdef NEWARROWTYPES;189;1
#ifdef NEWARROWTYPES;223;1
