feature;sd
SQLT_INTERVAL_DS;2
DBVERSION_71;1
X509_PURPOSE_ANY;1
STR_TRANSLATION;3
BUS_OBJERR;1
accept;2
HAVE_LDAP_SASL_SASL_H;1
ONIG_DEBUG_STATISTICS;5
dv_unit;1
HAVE_SOLID_30;19
__sparc;3
MODULE_MAGIC_NUMBER;36
MSG_DONTWAIT;2
HAVE_INT8_T;2
EPROTOTYPE;1
HAVE_USLEEP;3
HAVE_IMAP2000;9
HAVE_MEM_WIN32;2
HAVE_CLI0EXT1_H;1
LDAP_X_OPT_CONNECT_TIMEOUT;3
PHP_ICONV_IMPL;1
HAVE_POSIX;2
UINT32_MAX;1
SIGSTOP;1
SIOCGIFNAME;1
ER_UNKNOWN_COM_ERROR;1
HAVE_READLINE_HISTORY_H;1
HAVE_SOCKETS;1
HAVE_SOCKLEN_T;3
FD_CLOEXEC;2
MSG_CMSG_CLOEXEC;1
EXIT_SUCCESS;6
HAVE_ARPA_INET_H;11
HAVE_UINT8_T_LIBZIP;1
DNS_T_SOA;1
ILL_COPROC;1
HAVE_FLUSHIO;3
errno;1
HAVE_CODBC;1
ZEND_JMP_SET_VAR;2
SHUT_RDWR;1
__sparcv9;1
USE_UNICODE_CASE_FOLD_TURKISH_AZERI;12
ENOPROTOOPT;1
ONIG_ENCODING_ISO_8859_5;1
IS_UNUSED;32
HAVE_GETPROTOBYNAME;3
PACKAGE;1
VAX;11
F_SETFL;1
_SC_PAGE_SIZE;3
ZEND_YIELD;3
IO_REPARSE_TAG_DEDUP;1
IT_WAS_USED;2
MYSQLND_DBG_ENABLED;4
HAVE_LIBVPX;2
EEXIST;1
ELIBBAD;1
ZEND_BROKEN_SPRINTF;1
VIRTUAL_DIR;6
HAVE_SYS_IPC_H;1
MYSQLND_DEBUG_MEMORY;2
RLIMIT_DATA;1
HAVE_GETRLIMIT;4
HAVE_GD_XPM;10
int16_t;1
protected;2
HAVE_STATVFS;5
GC_BENCH;6
timersub;1
__s390x__;2
VER_NT_WORKSTATION;1
UNICODE_TABLE_CP936_DEF;1
_REENTRANT;5
ER_SP_DUP_PARAM;1
_INTRINSICS;1
ER_SIGNAL_WARN;1
USE_NEWLINE_AT_END_OF_STRING_HAS_EMPTY_LINE;6
int64_t;2
TRUE;12
HAVE_PREAD;1
ECONNABORTED;1
HAVE_GETPWUID_R;5
SIZEOF_SHORT;3
HAVE_FLOCK_LINUX;1
MAP_ANONYMOUS;3
HAVE_ICONV;7
LOG_PERROR;1
ENFILE;2
ABDAY_1;2
CHARSET_EBCDIC;10
MSG_PEEK;1
COMPILE_DL_SOAP;1
CONTINUITY_CDPEXT;1
SIZEOF_INTMAX_T;11
PAGE_SIZE;2
HAVE_STD_SYSLOG;1
ETXTBSY;1
ENOSPC;1
HAVE_SYSVSHM;2
safe_erealloc;1
sighandler_t;1
HAVE_SOLID;21
__DEBUG;4
ZEND_MM_ALIGNMENT;2
RTLD_WORLD;1
HAVE_PHTTPD;1
COMPILE_DL_EREG;1
FIELD_TYPE_GEOMETRY;2
ZEND_DEBUG_INTERNED_STRINGS;9
ETIME;1
LC_NUMERIC;2
HAVE_LIBXML;40
SM_SERVERR2;1
HAVE_NANOSLEEP;4
HAVE_DEV_URANDOM;2
SERIALIZE_HEADERS;3
ONIG_ENCODING_ISO_8859_13;1
ER_WRONG_COLUMN_NAME;1
PHP5PI3WEB_EXPORTS;1
EREMCHG;1
ENABLE_NLS;2
LC_MESSAGES;2
ER_SP_DUP_COND;1
SQLSMALLINT;1
Pack_32;19
LOG_NEWS;2
ER_WRONG_FIELD_TERMINATORS;1
YYERROR_VERBOSE;16
_FCNTL_H;1
STANDARD_MODULE_HEADER;2
HAVE_FMTCHECK;1
EFAULT;2
HAVE_STDDEF_H;24
HAVE_GETTIMEOFDAY;15
BF_SCALE;1
DNS_T_A6;1
SCM_RIGHTS;4
SQLUSMALLINT;1
RIGHT_SHIFT_IS_UNSIGNED;1
COMPILE_DL_XSL;1
SPL_EXPORTS;1
_DEBUG;1
HAVE_GETPRIORITY;6
TSRM_EXPORTS;2
SMART_STR_USE_REALLOC;2
COMPILE_DL_SOCKETS;1
__FreeBSD_kernel__;1
EAFNOSUPPORT;1
__SIZE_TYPE__;2
ER_SP_CURSOR_MISMATCH;1
PDO_MYSQL_UNIX_ADDR;1
COMPILE_DL_SYSVSHM;1
U_ICU_VERSION_MINOR_NUM;33
SQLT_BFILEE;1
SEGV_MAPERR;1
HAVE_3ARG_SETREBINDPROC;5
HAVE_LIBINTL;3
HAVE_GETLOADAVG;4
ER_CON_COUNT_ERROR;1
__svr4__;1
HAVE_UTIMES;3
LOG_AUTHPRIV;2
False_;1
IS_CONST;6
RLIMIT_NPROC;1
__ARMCC_VERSION;1
SIOCGIFINDEX;3
HAVE_IF_NAMETOINDEX;4
HAVE_GCRYPT_H;1
SIGIO;1
LOG_LOCAL5;1
AUTO_INCREMENT_FLAG;1
ER_DATA_OUT_OF_RANGE;1
HAVE_FTELLO;1
PHP_STD_DES_CRYPT;2
IPPROTO_ICMP;1
USE_NAMED_GROUP;23
HAVE_CALENDAR;2
__va_copy;2
PDO_DBG_ENABLED;6
HAVE_SIMPLEXML;3
PHP_FE_END;2
LDAP_CONTROL_PAGEDRESULTS;3
ER_SIGNAL_NOT_FOUND;1
IS_DIRECTORY_CURRENT;1
MSG_NOSIGNAL;1
YYPRINT;4
M_SQRT3;1
ONIG_DONT_OPTIMIZE;1
eurealloc;1
INT16_C;1
ZEND_JMP_SET;2
OPENSSL_NO_TLS1;1
HAVE_GETLINE;1
POLL_IN;1
AF_INET;1
WNOHANG;2
syslog;1
PS_USE_WIN32;4
COMPILE_DL_ZIP;1
HAVE_DMALLOC;1
LIBZEND_EXPORTS;1
SQLITE_OMIT_DEPRECATED;5
ER_WRONG_FIELD_SPEC;1
ENOENT;2
TM_IN_SYS_TIME;2
COMPILE_DL_SNMP;1
TEST_SPLIT;1
ICONV_CSNMAXLEN;2
HAVE_SYS_PSTAT_H;2
ZEROFILL_FLAG;1
YYTYPE_UINT16;2
HAVE_UODBC;6
RLIMIT_MEMLOCK;1
YESEXPR;2
RFC3678_API;5
HAVE_MKNOD;4
HAVE_FPU_INLINE_ASM_X86;1
ARCH_ELFSIZE;1
ER_NO_SUCH_INDEX;1
SIGXCPU;1
MULDIGITS;1
PS_USE_PS_STRINGS;1
ER_UNKNOWN_TABLE;1
HAVE_IMAP2001;9
HAVE_EMPRESS;3
__x86_64;2
ER_PASSWORD_NOT_ALLOWED;1
PLATFORM_UNALIGNED_WORD_ACCESS;9
WIFSTOPPED;1
PHP_OCI8_INT_H;1
COMPILE_DL_GMP;1
COMPILE_DL_COM_DOTNET;1
DEBUG_PARSER;4
HAVE_SHM_MMAP_POSIX;3
SIGNED_COMPARE_SLOW;3
ER_BAD_TABLE_ERROR;1
USE_PIPE_OPEN;7
PHP_CURL_NEED_GNUTLS_TSL;2
ER_SP_NORETURNEND;1
ER_SP_WRONG_NAME;1
MAJOR_IN_SYSMACROS;1
ONIG_ENCODING_ISO_8859_9;1
ER_TOO_MANY_USER_CONNECTIONS;1
HAVE_INT64_T_LIBZIP;1
MBFL_DLL_EXPORT;1
HAVE_SQL_EXTENDED_FETCH;19
HAVE_SOCKETPAIR;8
PHPAPI;3
COMPILER;1
ENOSYS;1
MYSQLND_DONT_SKIP_OUT_PARAMS_RESULTSET;1
HAVE_UNLOCKPT;1
YYENABLE_NLS;2
HAVE_SYS_UTSNAME_H;2
ER_NON_UNIQ_ERROR;1
SESSION_DEBUG;1
MULTIPLE_KEY_FLAG;1
size_t;2
HAVE_WCTYPE_H;1
HAVE_LIBRECODE;2
DEBUG_CFG_PARSER;3
GLOB_ONLYDIR;3
ER_ROW_IS_REFERENCED;1
InvalidOid;1
PUBL;3
HAVE_IEEEFP_H;1
MSG_EOR;1
HAVE_INT32_T;3
HAVE_SYS_TYPES_H;13
UIDNA_INFO_INITIALIZER;1
HAVE_DEV_ARANDOM;1
ER_WRONG_GROUP_FIELD;1
__INTEL_COMPILER;4
HAVE_INITGROUPS;4
ICU_LOCALE_BUG;2
YYTYPE_INT16;2
LDAP_OPT_HOST_NAME;3
OPENSSL_NO_SSL3;1
HAVE_PG_LO_TRUNCATE;4
STACK_DIRECTION;4
ER_SP_UNDECLARED_VAR;1
HAVE_HYPOT;1
LONG_LONG_LIBZIP;5
DEBUG_OBJECT_HANDLERS;4
MYSQLND_LLU_SPEC;1
HAVE_DBA;2
ER_CHECK_NO_SUCH_TABLE;1
ER_TOO_MANY_KEY_PARTS;1
MYSQLI_USE_FULL_TYPED_ARGINFO_0;1
FNM_CASEFOLD;1
_X86_;3
FREETYPE_MAJOR;3
SQLHANDLE;1
ultrix;1
OCI_SHARED;1
ILL_ILLADR;1
SQLITE_INT64_TYPE;1
_GNU_SOURCE;7
HAVE_INT64_T;2
getcwd;1
PCRE_UCHAR16;1
MSG_EOF;2
PHP_SIGCHLD;1
GMP_LIMB_BITS;1
YYLTYPE_IS_TRIVIAL;1
__LITTLE_ENDIAN__;6
__MACH__;2
PG_DIAG_INTERNAL_QUERY;2
HAVE_STRINGS_H;8
SHUT_RD;2
__CYGWIN__;9
HAVE_ENCHANT_BROKER_SET_PARAM;2
bit_uint5korr;1
HAVE_GETPGID;4
HAVE_EVP_PKEY_EC;4
HAVE_SYBASE_CT;2
HAVE_IMAP;1
EINTR;2
MSG_WAITALL;1
_MSC_VER;85
ERA;2
APR_STRTOI64_OVERFLOW_IS_BAD_CHAR;1
MYSQLI_NO_CHANGE_USER_ON_PCONNECT;1
DNS_T_CNAME;1
FPE_INTDIV;1
HAVE_OPENLINK;2
PHP_VERSION_ID;38
