branch;line;nd
#ifndef NO_IPV6;12;1
#ifndef NO_IPV6;49;1
#ifndef NO_IPV6;131;1
#ifndef EWOULDBLOCK;25;1
#ifndef ELOOP;28;1
#ifndef EAFNOSUPPORT;41;1
#ifndef ECONNABORTED;44;1
#ifndef NO_OPENSSL;98;1
#if defined(USE_WIN32_MMAP) || defined(_MSC_VER);186;1
#ifdef stat;205;1
#ifdef fstat;212;1
#ifdef lstat;216;1
#ifndef _stati64;220;1
#elif defined (_USE_32BIT_TIME_T);222;1
#else;224;1
#ifndef DLMALLOC_VERSION;1;1
#if defined(linux);4;1
#ifndef WIN32;7;2
#ifdef WIN32;16;2
#if defined(DARWIN) || defined(_DARWIN);40;3
#ifndef LACKS_SYS_TYPES_H;49;1
#ifndef ONLY_MSPACES;53;1
#else;55;1
#ifndef MSPACES;58;2
#ifndef MALLOC_ALIGNMENT;65;1
#ifndef FOOTERS;68;1
#ifndef ABORT;71;1
#ifndef ABORT_ON_ASSERT_FAILURE;74;1
#ifndef PROCEED_ON_ERROR;77;1
#ifndef USE_LOCKS;80;1
#ifndef USE_SPIN_LOCKS;83;2
#ifndef INSECURE;90;1
#ifndef HAVE_MMAP;93;1
#ifndef MMAP_CLEARS;96;1
#ifndef HAVE_MREMAP;99;2
#ifndef MALLOC_FAILURE_ACTION;106;1
#ifndef HAVE_MORECORE;109;2
#if !HAVE_MORECORE;116;1
#else;118;2
#ifndef DEFAULT_GRANULARITY;124;2
#ifndef DEFAULT_TRIM_THRESHOLD;131;2
#ifndef DEFAULT_MMAP_THRESHOLD;138;2
#ifndef MAX_RELEASE_CHECK_RATE;145;2
#ifndef USE_BUILTIN_FFS;152;1
#ifndef USE_DEV_RANDOM;155;1
#ifndef NO_MALLINFO;158;1
#ifndef MALLINFO_FIELD_TYPE;161;1
#ifndef NO_SEGMENT_TRAVERSAL;164;1
#if !NO_MALLINFO;170;3
#ifndef FORCEINLINE;191;2
#ifndef NOINLINE;198;2
#ifdef __cplusplus;207;2
#ifndef FORCEINLINE;213;1
#if !ONLY_MSPACES;216;2
#if MSPACES;254;2
#ifdef __cplusplus;279;1
#ifdef WIN32;282;2
#ifndef LACKS_ERRNO_H;288;1
#if FOOTERS;291;1
#ifndef LACKS_STDLIB_H;294;1
#ifdef DEBUG;297;2
#else;303;2
#ifndef LACKS_STRING_H;309;1
#if USE_BUILTIN_FFS;312;2
#if HAVE_MMAP;317;2
