feature;sd
xmlXPathEvalExpression;1
HAVE_FLOAT_H;2
xmlAutomataNewState;1
USE_STRTOF;1
xmlTextWriterWriteDTD;1
xmlOutputBufferCreateFilenameDefault;1
xmlSAX2StartElementNs;1
xmlCopyNode;1
xmlXPathCastBooleanToNumber;1
xmlMemDisplay;1
xmlCheckFilename;1
xmlParserInputBufferRead;1
HAVE_POLL_H;8
xmlGetExternalEntityLoader;1
xmlIOHTTPOpen;1
CLZ;1
xmlXPathRegisterAllFunctions;1
xmlGetDtdEntity;1
xmlSaveFileEnc;1
xmlSchemaValPredefTypeNodeNoNorm;1
xmlTextReaderIsDefault;1
xmlXPathIntersection;1
xmlDebugDumpOneNode;1
xmlXPathConvertString;1
xmlCtxtReadMemory;1
xmlParseMisc;1
xmlListRemoveAll;1
xmlXPathEvaluatePredicateResult;1
xmlUCSIsCatCs;1
xmlTextReaderNodeType;1
xmlXPathConvertNumber;1
SIZE_T_MAX;1
xmlMemStrdup;1
xmlNanoHTTPFetch;1
xmlValidCtxtNormalizeAttributeValue;1
xmlIOFTPRead;1
xmlUCSIsCatM;1
xmlNanoHTTPInit;1
xmlUCSIsMathematicalAlphanumericSymbols;1
xmlUCSIsCatPo;1
xmlParseDoc;1
xmlXPathPositionFunction;1
xmlParseComment;1
xmlNanoFTPConnect;1
__unix__;1
EILSEQ;1
xmlXPathNodeTrailing;1
xmlUTF8Strndup;1
TRIO_COMPILER_SUPPORTS_UNIX98;1
xmlSAXParseDTD;1
xmlRelaxNGDumpTree;1
xmlBufEnd;1
xmlSwitchInputEncoding;1
xmlSAX2GetEntity;1
LIBXML_VALID_ENABLED;129
HAVE_ARPA_INET_H;2
F_NDELAY;1
xmlMemRealloc;1
xmlRemoveID;1
xmlUCSIsSupplementaryPrivateUseAreaB;1
bottom_threads;15
LIBXML_STATIC;15
XML_XML_DEFAULT_CATALOG;2
xmlRelaxNGSetParserErrors;1
xmlXPathNextFollowingSibling;1
xmlParseElementChildrenContentDecl;1
xmlChildrenNode;1
xmlListSort;1
xmlCopyProp;1
xmlUCSIsArabicPresentationFormsA;1
USE_LONGLONG;2
TRIO_COMPILER_DECC;5
XML_SCHEMA_READER_ENABLED;2
LIBXML_PUSH_ENABLED;33
xmlAutomataNewTransition;1
EEXIST;1
xmlUCSIsGeometricShapes;1
xmlSAXParseMemory;1
xmlTextWriterWriteRawLen;1
xmlRelaxNGGetParserErrors;1
xmlInitParser;1
