branch;line;nd
#ifdef I18N;86;1
#ifdef I18N;176;1
#else;182;1
#ifdef I18N;270;1
#else;274;1
#ifdef I18N;278;1
#ifdef I18N;300;1
#else;304;1
#ifdef I18N;310;1
#ifdef I18N;335;1
#else;341;1
#if (defined(SYSV) || defined(SVR4)) && !defined(BSDLPR);458;1
#else;462;1
#if (defined(SYSV) || defined(SVR4)) && !defined(BSDLPR);472;1
#else;477;1
#ifndef SYSV;34;1
#ifdef SEL_TEXT;53;1
#ifndef NO_COMPKEYDB;57;1
#ifndef NO_COMPKEYDB;66;1
#ifdef SEL_TEXT;71;1
#ifndef NO_COMPKEYDB;148;1
#ifdef NO_COMPKEYDB;174;1
#else;177;1
#if defined(SMOOTHMOTION);183;1
#else;191;2
#ifdef SEL_TEXT;224;1
#ifdef SEL_TEXT;233;1
#ifdef NO_COMPKEYDB;359;1
#else;363;1
#ifdef NO_COMPKEYDB;381;1
#else;389;2
#ifdef SEL_TEXT;458;1
#ifdef I18N;504;1
#ifdef I18N;522;1
#ifndef NO_COMPKEYDB;560;1
#ifdef COMP_LED;649;1
#ifndef XAW3D1_5E;45;1
#ifdef I18N;48;1
#ifdef XAW3D1_5E;89;1
#else;90;1
#ifdef DIGITIZE;117;1
#ifdef FIXED_JAPANESE_PDF;167;1
#else;170;1
#ifndef XAW3D1_5E;240;1
#ifndef XAW3D1_5E;272;1
#ifndef XAW3D1_5E;294;1
#else;297;1
#ifndef XAW3D1_5E;343;1
#else;347;1
#ifndef XAW3D1_5E;372;1
#ifdef I18N;459;2
#ifdef I18N;701;1
#ifndef XAW3D1_5E;1020;1
#ifdef XAW3D1_5E;1291;1
#ifdef XAW3D1_5E;1302;1
#ifdef HAVE_NO_DIRENT;18;1
#else;20;1
#ifdef I18N;85;1
#ifdef I18N;104;1
#ifdef I18N;169;1
#ifdef I18N;227;1
#ifdef I18N;239;1
#ifdef I18N;261;1
#ifdef I18N;340;1
#ifdef CLIP_LINE;1250;1
#ifdef CLIP_LINE;1257;1
#else;1261;1
#ifndef MAXNUMPTS;57;1
#ifdef I18N;202;1
#ifdef I18N;26;1
#ifdef SETLOCALE;639;1
#ifdef USE_XPM_ICON;2860;1
#ifdef USE_XPM;3194;1
#ifdef USE_XPM;142;1
#ifndef XAW3D1_5E;55;1
#ifdef NEWARROWTYPES;189;1
#ifdef NEWARROWTYPES;223;1
#ifndef XAW3D1_5E;436;1
#ifndef XAW3D1_5E;449;1
#ifndef XAW3D1_5E;474;1
#ifndef XAW3D1_5E;487;1
#ifndef XAW3D1_5E;500;1
#ifndef XAW3D1_5E;570;1
#ifndef XAW3D1_5E;754;1
#ifdef XAW3D1_5E;832;1
#ifdef XAW3D1_5E;837;1
#ifndef XAW3D1_5E;895;1
#ifndef __FreeBSD__;3;1
#if defined(__CYGWIN__);20;1
#if defined(__FreeBSD__) && !defined(REG_NOERROR);23;1
#if 1;102;1
#else;104;1
#if 0;187;1
#ifndef XAW3D1_5E;43;1
#ifndef XAW3D1_5E;107;1
#ifndef XAW3D1_5E;122;1
#ifndef XAW3D1_5E;137;1
#ifndef XAW3D1_5E;171;1
#ifndef XAW3D1_5E;206;1
#ifndef XAW3D1_5E;239;1
#ifdef XAW3D1_5E;264;1
#ifdef XAW3D1_5E;559;1
#else;593;1
#ifndef XAW3D1_5E;33;1
#ifdef HAVE_NO_DIRENT;36;1
#else;38;1
#ifndef XAW3D1_5E;62;1
#if 0;173;1
#ifndef XAW3D1_5E;202;1
#ifndef XAW3D1_5E;734;1
#else;736;1
#ifndef XAW3D1_5E;743;1
#ifndef XAW3D1_5E;750;1
#else;756;1
#ifndef XAW3D1_5E;761;1
#else;766;1
#ifndef XAW3D1_5E;771;1
#ifndef XAW3D1_5E;777;1
#else;780;1
#ifdef XAW3D1_5E;787;1
#ifndef XAW3D1_5E;792;1
#else;795;1
#ifdef XAW3D;6;1
#else;8;1
#ifdef XAW3D;3;1
#else;5;1
#ifdef XAW3D;3;1
#else;5;1
#ifdef XAW3D;4;1
#else;6;1
#ifdef XAW3D;63;1
#if (XtVersion >= 11006);82;1
#ifdef XAW3D;86;1
#else;88;1
#if (XtVersion >= 11006);92;1
#else;100;1
#if (XtVersion >= 11006);121;1
#else;132;1
#if (XtVersion >= 11006);140;1
#else;151;1
#if (XtVersion >= 11006);161;1
#else;169;1
#ifdef XAW3D;4;1
#else;6;1
#ifdef XAW3D;3;1
#else;5;1
#ifdef XAW3D;16;1
#ifdef XAW3D;31;1
#ifndef XAW3D1_5E;96;1
#ifndef XAW3D1_5E;335;1
#ifdef XAW3D1_5E;344;1
#ifdef XAW3D1_5E;377;1
#else;392;1
#ifndef XAW3D1_5E;474;1
#ifndef XAW3D1_5E;32;1
#ifdef XAW3D1_5E;57;1
#else;59;1
#ifdef XAW3D1_5E;78;1
#else;88;1
#ifdef I18N;5;1
#ifndef CACHE_SIZE_LIMIT;10;1
#ifndef CACHE_XIMAGES;14;2
#ifdef I18N;189;1
#ifndef X11R3;237;1
#ifdef CACHE_XIMAGES;297;1
#ifdef I18N;346;1
#ifdef CACHE_FID;394;1
#else;400;1
#ifdef CACHE_FID;422;1
#ifdef CACHE_XIMAGES;462;1
#ifdef I18N;531;1
#ifdef I18N;558;1
#ifdef I18N;578;1
