branch;line;nd
#if (!defined(WIN32) && !defined(NETWARE)) || defined(DOXYGEN);53;1
#if AP_ENABLE_EXCEPTION_HOOK;102;1
#ifdef __cplusplus;119;1
#ifdef __cplusplus;3;1
#ifdef HAVE_SYS_TIMES_H;6;1
#ifndef DEFAULT_SCOREBOARD;16;1
#if APR_HAS_THREADS;38;1
#ifdef HAVE_TIMES;54;1
#ifdef __cplusplus;117;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;22;1
#ifdef __cplusplus;3;1
#if APR_CHARSET_EBCDIC;7;1
#ifdef __cplusplus;12;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;36;1
#ifdef __cplusplus;3;1
#if APR_CHARSET_EBCDIC;9;1
#else;14;1
#ifdef __cplusplus;19;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;92;1
#if APR_HAVE_STDARG_H;6;1
#ifdef __cplusplus;9;1
#ifdef __cplusplus;131;1
#if APR_MAJOR_VERSION < 2;9;1
#else;12;1
#if APR_HAS_SHARED_MEMORY;15;1
#if APR_HAS_LDAP;19;2
#ifdef __cplusplus;3;1
#ifdef __cplusplus;11;1
#if APR_HAS_FLOCK_SERIALIZE;6;1
#else;8;1
#if APR_HAS_FCNTL_SERIALIZE;11;1
#else;13;1
#if APR_HAS_SYSVSEM_SERIALIZE;16;1
#else;18;1
#if APR_HAS_POSIXSEM_SERIALIZE;21;1
#else;23;1
#if APR_HAS_PROC_PTHREAD_SERIALIZE;26;1
#else;28;1
#if APR_HAS_FLOCK_SERIALIZE || APR_HAS_FCNTL_SERIALIZE;31;1
#else;33;1
#if APR_HAS_SYSVSEM_SERIALIZE || APR_HAS_POSIXSEM_SERIALIZE;36;1
#else;38;1
#ifdef __cplusplus;43;1
#ifdef __cplusplus;74;1
#ifdef __cplusplus;5;1
#ifndef APACHE_ARG_MAX;8;2
#ifdef __cplusplus;47;1
#ifdef __cplusplus;6;1
#ifdef __cplusplus;21;1
#ifdef __cplusplus;6;1
#ifdef __cplusplus;38;1
#ifdef __cplusplus;5;1
#ifdef __cplusplus;9;1
#if APR_HAVE_NETINET_IN_H;15;1
#if APR_HAVE_UNISTD_H;24;1
#if APR_HAS_RANDOM;132;1
#else;134;1
#if APR_HAS_SHARED_MEMORY;152;1
#if APR_HAS_SHARED_MEMORY;236;1
#if !APR_HAS_SHARED_MEMORY;369;1
#if AP_MODULE_MAGIC_AT_LEAST(20080403,1);899;1
#else;902;1
#if APR_HAVE_NETINET_IN_H;15;1
#if APU_MAJOR_VERSION > 1 || (APU_MAJOR_VERSION == 1 && APU_MINOR_VERSION >= 3);116;1
#if APU_MAJOR_VERSION > 1 || (APU_MAJOR_VERSION == 1 && APU_MINOR_VERSION >= 3);202;1
#ifndef NETSCAPE_DBM_COMPAT;59;1
#else;61;1
#ifndef NON200_RESPONSE_BUF_LEN;38;1
#if AP_MODULE_MAGIC_AT_LEAST(20130702,2);129;1
#if AP_MODULE_MAGIC_AT_LEAST(20130702,2);166;1
#if !APR_HAS_LDAP;17;1
#if APR_HAS_THREADS;23;1
#if APR_HAS_MICROSOFT_LDAPSDK;173;1
#else;203;1
#if APR_HAS_THREADS;229;1
#ifdef LDAP_SECURITY_ERROR;398;1
#else;400;2
#ifdef LDAP_CONSTRAINT_VIOLATION;410;1
#if APR_HAS_THREADS;582;1
#if APR_HAS_THREADS;589;1
#if APR_HAS_THREADS;595;1
#if APR_HAS_THREADS;602;1
#if APR_HAVE_NETINET_IN_H;17;1
#ifdef AUTHZ_EXTRA_CONFIGS;500;1
#if !defined(WIN32);4;1
#elif defined(AUTHZ_DBD_DECLARE_STATIC);8;1
#elif defined(AUTHZ_DBD_DECLARE_EXPORT);12;1
#else;16;1
#ifndef NETSCAPE_DBM_COMPAT;23;1
#else;25;1
#if APR_HAVE_NETINET_IN_H;17;1
#if APR_HAVE_IPV6;22;1
#if APR_HAVE_IPV6;142;1
#if APR_HAVE_IPV6;186;1
#if !APR_HAS_USER;25;1
#else;31;1
#if !APR_HAS_USER;81;1
#else;83;1
#ifdef USE_WINSOCK;2;1
#ifdef USE_WINSOCK;30;1
#else;33;1
#ifdef USE_WINSOCK;39;1
#else;41;1
#ifdef NETWARE;17;1
#ifndef SO_TLS_UNCLEAN_SHUTDOWN;16;1
#ifdef BIG_SECURITY_HOLE;378;1
#ifdef BIG_SECURITY_HOLE;427;1
#ifdef HAVE_PWD_H;14;1
#ifdef HAVE_SYS_RESOURCE_H;17;1
#ifdef HAVE_UNISTD_H;21;1
#ifdef HAVE_GRP_H;24;1
#ifdef HAVE_STRINGS_H;27;1
#ifdef HAVE_SYS_SEM_H;30;1
#ifdef HAVE_SYS_PRCTL_H;33;1
#ifndef DEFAULT_USER;36;1
#ifndef DEFAULT_GROUP;39;1
#if 0;42;1
#else;49;1
#if !defined(OS2);70;1
#ifdef _OSD_POSIX;121;1
#if defined(HAVE_PRCTL) && defined(PR_SET_DUMPABLE);131;1
#if !defined (BIG_SECURITY_HOLE) && !defined (OS2);154;1
#ifdef _OSD_POSIX;270;1
#if defined(HAVE_PRCTL) && defined(PR_SET_DUMPABLE);279;1
#ifdef __cplusplus;4;1
#ifdef __cplusplus;8;1
#ifdef WIN32;663;1
#ifdef __cplusplus;3;1
#ifndef ERROR_INSUFFICIENT_BUFFER;118;1
#ifndef ERROR_INVALID_INDEX;121;1
#ifndef ERROR_INVALID_PARAMETER;124;1
#ifndef ERROR_READ_FAULT;127;1
#ifndef ERROR_WRITE_FAULT;130;1
#ifndef ERROR_SUCCESS;133;1
#ifdef __cplusplus;142;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;17;1
#ifdef __cplusplus;3;1
#ifdef HAVE_NETDB_H;30;1
#ifdef HAVE_SYS_SOCKET_H;33;1
#ifdef HAVE_NETINET_IN_H;36;1
#ifdef HAVE_ARPA_INET_H;39;1
#ifndef MAX;43;1
#ifndef MIN;46;1
#ifdef __cplusplus;175;1
#if !defined(WIN32);8;1
#elif defined(CACHE_DECLARE_STATIC);12;1
#elif defined(CACHE_DECLARE_EXPORT);16;1
#else;20;1
#ifdef APR_SENDFILE_ENABLED;255;1
#ifdef APR_SENDFILE_ENABLED;352;1
#if APR_CHARSET_EBCDIC;536;1
#if !(APR_HAS_SENDFILE || APR_HAS_MMAP);2;1
#if APR_HAVE_SYS_TYPES_H;11;1
#if APR_HAS_SENDFILE;22;1
#if APR_HAS_MMAP;28;1
#if APR_HAS_MMAP;84;1
#if APR_HAS_SENDFILE;98;1
#if APR_HAS_SENDFILE;112;1
#else;114;1
#if APR_HAS_MMAP;122;1
#else;124;1
#if APR_HAS_MMAP;157;1
#if APR_HAS_SENDFILE;175;1
#if APR_HAVE_UNISTD_H;13;1
#if AP_NEED_SET_MUTEX_PERMS;17;1
#if !defined(DBM_FILE_SUFFIX_DIR) && !defined(DBM_FILE_SUFFIX_PAG);28;2
#if AP_NEED_SET_MUTEX_PERMS;59;1
#if AP_NEED_SET_MUTEX_PERMS;105;1
#ifdef PAIRMAX;139;1
#else;146;1
#if !defined(DISTCACHE_CLIENT_API) || (DISTCACHE_CLIENT_API < 0x0001);10;1
#if 0;31;1
#else;33;1
#if APU_MAJOR_VERSION > 1 ||     (APU_MAJOR_VERSION == 1 && APU_MINOR_VERSION > 2);5;1
#ifdef HAVE_APU_MEMCACHE;8;2
#ifdef HAVE_APU_MEMCACHE;222;1
#ifndef HEARTBEAT_INTERVAL;8;1
#ifndef HM_UPDATE_SEC;14;1
#if defined(debug);8;1
#if defined(MOD_MACRO_DEBUG);11;1
#else;13;1
#ifndef NO_DLOPEN;23;1
#else;204;1
#ifndef NO_DLOPEN;221;1
#ifdef __cplusplus;19;1
#if !defined(AP_WD_DECLARE);30;2
#ifdef __cplusplus;75;1
#if APR_HAS_THREADS;29;1
#else;33;1
#if APR_HAS_THREADS;60;1
#if APR_HAS_THREADS;81;1
#ifdef NETWARE;122;1
#else;124;1
#if APR_HAS_THREADS;141;1
#if APR_HAS_THREADS;215;1
#if APR_HAS_THREADS;275;1
#if APR_HAS_THREADS;366;1
#if APR_HAS_THREADS;453;1
#if APR_HAS_THREADS;491;1
#if APR_HAS_THREADS;518;1
#if APR_HAS_THREADS;551;1
#if APR_HAS_THREADS;580;1
#if APR_HAS_THREADS;593;1
#else;609;1
#if APR_HAS_THREADS;624;1
#else;682;1
#if !defined(WIN32);3;1
#elif defined(DBD_DECLARE_STATIC);7;1
#elif defined(DBD_DECLARE_EXPORT);11;1
#else;15;1
#if APR_HAS_THREADS;29;1
#if DAV_DEBUG;200;1
#if DAV_DEBUG;614;1
#if APR_HAVE_UNISTD_H;5;1
#ifndef WIN32;57;1
#else;60;1
#if DAV_DEBUG;358;1
#if 0;436;1
#else;438;1
#if DEBUG_GET_HANDLER;694;1
#if DAV_DEBUG;847;1
#if DAV_DEBUG;870;1
#if DAV_DEBUG;1133;1
#if DEBUG_GET_HANDLER;1209;1
#else;1212;1
#ifdef DAV_FS_HAS_EXECUTABLE;1293;1
#ifdef DAV_FS_HAS_EXECUTABLE;1424;1
#ifdef DAV_FS_HAS_EXECUTABLE;1453;1
#if DAV_DEBUG;222;1
#if DAV_DEBUG;464;1
#if 0;56;1
#ifdef __cplusplus;12;1
#if 1;26;1
#else;33;1
#if !defined(WIN32);38;1
#elif defined(DAV_DECLARE_STATIC);42;1
#elif defined(DAV_DECLARE_EXPORT);46;1
#else;50;1
#ifdef __cplusplus;828;1
#if DAV_DISABLE_WRITABLE_PROPS;91;1
#if DAV_DEBUG;251;1
#if 0;273;1
#if DAV_DEBUG;411;2
#ifdef APACHE_PORT_HANDLING_IS_BUSTED;144;1
#ifdef APACHE_PORT_HANDLING_IS_BUSTED;165;1
#if DAV_DEBUG;819;1
#if 0;989;1
#if DAV_DEBUG;29;1
#if APR_CHARSET_EBCDIC;24;1
#if APR_CHARSET_EBCDIC;38;1
#else;46;1
#ifdef HAVE_UNIX_SUEXEC;10;1
#if 0;33;1
#ifndef EXAMPLE_LOG_EACH;47;1
#if EXAMPLE_LOG_EACH;50;1
#if EXAMPLE_LOG_EACH;68;1
#if EXAMPLE_LOG_EACH;90;1
#if EXAMPLE_LOG_EACH;117;1
#ifdef EXAMPLE_LOG_EACH;140;1
#ifdef HAVE_UNIX_SUEXEC;433;1
#ifdef HAVE_UNIX_SUEXEC;499;1
#if APR_HAVE_SYS_TYPES_H;10;1
#if APR_HAVE_UNISTD_H;13;1
#ifdef __cplusplus;3;1
#ifdef __cplusplus;120;1
#if APR_CHARSET_EBCDIC;521;1
#if APR_FILES_AS_SOCKETS;45;1
#if defined(RLIMIT_CPU) || defined(RLIMIT_NPROC) ||     defined(RLIMIT_DATA) || defined(RLIMIT_VMEM) || defined (RLIMIT_AS);281;2
#if APR_FILES_AS_SOCKETS;379;1
#if APR_FILES_AS_SOCKETS;545;1
#else;557;1
#ifndef NO_PROTOCOL;101;1
#ifndef NO_PROTOCOL;151;1
#ifndef NO_PROTOCOL;204;1
#ifndef NO_PROTOCOL;216;1
#ifndef NO_PROTOCOL;246;1
#ifndef NO_PROTOCOL;507;1
#ifndef NO_PROTOCOL;524;1
#ifndef NO_PROTOCOL;604;1
#if APR_CHARSET_EBCDIC;25;1
#else;28;1
#ifdef DEBUG_INCLUDE;56;1
#ifdef DEBUG_INCLUDE;67;1
#ifdef DEBUG_INCLUDE;152;1
#ifdef DEBUG_INCLUDE;159;1
#else;241;1
#ifdef XBITHACK;263;1
#else;265;1
#ifdef DEBUG_INCLUDE;822;1
#if defined(OS2) || defined(WIN32) || defined(NETWARE);2885;1
#else;2889;1
#ifdef GO_FASTER;1;1
