Class,Methods,Over-exposed methods
JavaParserDebug in net::sourceforge::cobertura::javancss::parser::debug (Class),667,113
JavaParserDebugTokenManager in net::sourceforge::cobertura::javancss::parser::debug (Class),43,3
FileFlooder in net::sourceforge::cobertura::util (Class),3,0
Token in net::sourceforge::cobertura::javancss::parser::debug (Class),7,1
JavaCharStream in net::sourceforge::cobertura::javancss::parser::java15 (Class),40,10
SourceFileData in net::sourceforge::cobertura::coveragedata (Class),15,0
Main in net::sourceforge::cobertura::reporting (Class),8,1
ModifierSet in net::sourceforge::cobertura::javancss::parser::java15::debug::JavaParser15Debug (Class),13,0
LookaheadSuccess in net::sourceforge::cobertura::javancss::parser::java15::JavaParser15 (Class),1,0
JavaParser15 in net::sourceforge::cobertura::javancss::parser::java15 (Class),488,99
SwitchDataTest in net::sourceforge::cobertura::coveragedata (Class),10,0
JavaParser15Debug in net::sourceforge::cobertura::javancss::parser::java15::debug (Class),492,99
JumpHolder in net::sourceforge::cobertura::instrument (Class),3,2
JavaParser15Constants in net::sourceforge::cobertura::javancss::parser::java15 (Class),1,0
SwitchData in net::sourceforge::cobertura::coveragedata (Class),18,5
Util in net::sourceforge::cobertura::ant (Class),2,0
JUnitXMLParserErrorHandler in net::sourceforge::cobertura::reporting (Class),5,1
CoverageDataFileHandler in net::sourceforge::cobertura::coveragedata (Class),6,0
anonymous(ThreadGroup) in net::sourceforge::cobertura::coveragedata::LineDataTest.runGetSwitchDataTestWithTwoThreads() (Class),1,0
State in net::sourceforge::cobertura::reporting::html::JavaToHtml (Class),1,0
ReportTask in net::sourceforge::cobertura::ant (Class),8,0
Main in net::sourceforge::cobertura::merge (Class),2,0
anonymous(Thread) in net::sourceforge::cobertura::coveragedata::LineDataTest.runGetSwitchDataTestWithTwoThreads() (Class),1,0
ConditionTestInfo in net::sourceforge::cobertura::ant::FunctionalConditionCoverageTest (Class),1,0
JavaToHtml in net::sourceforge::cobertura::reporting::html (Class),6,1
JavaCharStream in net::sourceforge::cobertura::javancss::parser::java15::debug (Class),40,10
Test in test::condition (Class),2,0
JavaParser15DebugTokenManager in net::sourceforge::cobertura::javancss::parser::java15::debug (Class),42,3
TokenMgrError in net::sourceforge::cobertura::javancss::parser::debug (Class),7,0
CoverageRate in net::sourceforge::cobertura::check (Class),3,2
SwitchTouchData in net::sourceforge::cobertura::coveragedata::TouchCollector (Class),3,0
StringUtilTest in net::sourceforge::cobertura::util (Class),4,2
Token in net::sourceforge::cobertura::javancss::parser (Class),7,1
Test in test::first (Class),2,0
ProjectData in net::sourceforge::cobertura::coveragedata (Class),15,2
JJCalls in net::sourceforge::cobertura::javancss::parser::debug::JavaParserDebug (Class),1,0
JavaToHtmlTest in net::sourceforge::cobertura::reporting::html (Class),1,0
ClassPattern in net::sourceforge::cobertura::instrument (Class),7,1
IOUtil in net::sourceforge::cobertura::util (Class),6,0
MergeMainTest in net::sourceforge::cobertura::merge (Class),6,0
CommandLineBuilderTest in net::sourceforge::cobertura::util (Class),9,0
Source in net::sourceforge::cobertura::util (Class),5,0
JumpDataTest in net::sourceforge::cobertura::coveragedata (Class),6,0
JJCalls in net::sourceforge::cobertura::javancss::parser::JavaParser (Class),1,0
A in test::second (Class),4,1
