Class,Methods,Over-exposed methods
anonymous(ArtifactFilter) in org::apache::maven::artifact::resolver::filter::AndArtifactFilterTest.newSubFilter() (Class),1,0
GraphLogger in org::apache::maven::plugin::internal::DefaultPluginDependenciesResolver (Class),4,0
DefaultPluginPrefixRequest in org::apache::maven::plugin::prefix (Class),13,0
InterimResult in org::apache::maven::project::DefaultProjectBuilder (Class),2,0
LocalRepositoryNotAccessibleException in org::apache::maven::repository (Class),2,0
ModelWriter in org::apache::maven::model::io (Class),4,0
ModelProblemCollector in org::apache::maven::model::building (Class),2,0
DependencyManagementInjector in org::apache::maven::model::management (Class),2,0
ThreadOutputMuxer in org::apache::maven::lifecycle::internal (Class),9,1
UnresolvableModelException in org::apache::maven::model::resolution (Class),5,0
DefaultSettingsDecryptionResult in org::apache::maven::settings::crypto (Class),7,0
ModelNormalizer in org::apache::maven::model::normalization (Class),4,0
LifecycleDebugLogger in org::apache::maven::lifecycle::internal (Class),9,0
ArtifactMetadataAdapter in org::apache::maven::artifact::repository::LegacyLocalRepositoryManager (Class),16,1
anonymous(AbstractValueSource) in org::apache::maven::model::profile::activation::FileProfileActivator.isActive() (Class),1,0
MavenReportException in org::apache::maven::reporting (Class),2,0
CacheKey in org::apache::maven::project::ReactorModelPool (Class),4,0
PluginVersionNotFoundException in org::apache::maven::plugin::version (Class),3,0
DefaultPluginRealmCache in org::apache::maven::plugin (Class),8,0
anonymous(Executor) in org::apache::maven::artifact::resolver::DefaultArtifactResolver.DefaultArtifactResolver() (Class),1,0
ModelBuildingException in org::apache::maven::model::building (Class),8,0
SettingsUtilsTest in org::apache::maven::settings (Class),1,0
EventMonitor in org::apache::maven::monitor::event (Class),3,0
anonymous(FilterRepositorySystemSession) in org::apache::maven::artifact::repository::LegacyLocalRepositoryManager.overlay() (Class),1,0
ModelUtils in org::apache::maven::project (Class),9,0
ProjectIndex in org::apache::maven::lifecycle::internal (Class),3,2
DefaultPluginDependenciesResolver in org::apache::maven::plugin::internal (Class),4,0
ArtifactDeploymentException in org::apache::maven::artifact::deployer (Class),3,0
ArtifactFactory in org::apache::maven::artifact::factory (Class),13,0
OverConstrainedVersionException in org::apache::maven::artifact::versioning (Class),2,0
DefaultBeanConfiguratorTest in org::apache::maven::configuration (Class),6,0
BuildListCalculator in org::apache::maven::lifecycle::internal (Class),2,1
MavenArtifact in org::apache::maven::repository::legacy (Class),7,3
ObjectWithMapField in org::apache::maven::model::interpolation::StringSearchModelInterpolatorTest (Class),1,0
SimpleArtifactMetadataSource in org::apache::maven::artifact::deployer (Class),4,0
ProfileActivationException in org::apache::maven::profiles::activation (Class),3,0
SettingsDecryptionResult in org::apache::maven::settings::crypto (Class),9,0
VersionNotFoundException in org::apache::maven::repository (Class),6,0
AbstractMavenTransferListener in org::apache::maven::cli (Class),7,0
DefaultGraphConflictResolutionPolicy in org::apache::maven::repository::metadata (Class),2,0
DefaultPluginManager in org::apache::maven::plugin::internal (Class),8,0
UpdateCheckManager in org::apache::maven::repository::legacy (Class),5,0
anonymous(Comparator) in org::apache::maven::repository::metadata::DefaultClasspathTransformation::ClasspathGraphVisitor.visit() (Class),1,0
LifecycleTask in org::apache::maven::lifecycle::internal (Class),3,1
DefaultMavenMetadataCache in org::apache::maven::project::artifact (Class),14,0
ToolchainManagerPrivate in org::apache::maven::toolchain (Class),2,0
DefaultLog in org::apache::maven::monitor::logging (Class),19,0
DefaultSettingsValidator in org::apache::maven::settings::validation (Class),9,0
anonymous(Comparator) in org::apache::maven::lifecycle::internal::DefaultLifecyclePluginAnalyzer.getOrderedLifecycles() (Class),1,0
GraphConflictResolutionPolicy in org::apache::maven::repository::metadata (Class),2,0
MirrorSelector in org::apache::maven::repository (Class),2,0
ActivationPropertyTest in org::apache::maven::model (Class),4,0
TestFileManager in org::apache::maven::artifact::testutils (Class),14,1
ResolutionGroup in org::apache::maven::artifact::metadata (Class),2,0
SimpleProblemCollector in org::apache::maven::model::building (Class),6,0
DefaultConflictResolver in org::apache::maven::repository::legacy::resolver::conflict (Class),0,0
Outputter in org::apache::maven::lifecycle::internal::ThreadOutputMuxerTest (Class),2,0
CyclicDependencyException in org::apache::maven::artifact::resolver (Class),2,0
SettingsBuildingException in org::apache::maven::settings::building (Class),3,0
QuietMavenTransferListener in org::apache::maven::cli (Class),1,1
ReactorContext in org::apache::maven::lifecycle::internal (Class),5,3
ArtifactRepositoryFactory in org::apache::maven::artifact::repository (Class),8,0
MissingRepositoryElementException in org::apache::maven::project (Class),2,0
anonymous(AbstractValueSource) in org::apache::maven::project::interpolation::AbstractStringBasedModelInterpolator.createValueSources() (Class),1,0
App in org::codehaus::m2eclipse (Class),1,0
ExpressionDocumenter in org::apache::maven::usability::plugin (Class),4,0
anonymous(PluginPrefixResult) in org::apache::maven::lifecycle::internal::stub::PluginPrefixResolverStub.resolve() (Class),3,0
RepositoryMetadataReadException in org::apache::maven::artifact::repository::metadata (Class),3,0
ExcludesArtifactFilter in org::apache::maven::artifact::resolver::filter (Class),2,0
InterpolateObjectAction in org::apache::maven::project::interpolation::StringSearchModelInterpolator (Class),7,0
ArtifactWithDependencies in org::apache::maven::project::artifact (Class),4,0
DefaultModelValidator in org::apache::maven::model::validation (Class),30,0
ProjectInheritanceTest in org::apache::maven::project::inheritance::t03 (Class),1,0
Requirement in org::apache::maven::plugin::descriptor (Class),5,0
Provider in org::apache::maven::cli::PrintStreamLogger (Class),1,0
InterpolateObjectAction in org::apache::maven::model::interpolation::StringSearchModelInterpolator (Class),12,0
BuildListCalculatorTest in org::apache::maven::lifecycle::internal (Class),2,0
PluginContainerException in org::apache::maven::plugin (Class),7,0
DefaultArtifactCollectorTest in org::apache::maven::repository::legacy::resolver (Class),52,0
PluginVersionResolverStub in org::apache::maven::lifecycle::internal::stub (Class),2,0
FlatRepositoryLayout in org::apache::maven::artifact::repository::layout (Class),7,1
PluginPrefixResolver in org::apache::maven::plugin::prefix (Class),1,0
DefaultGraphConflictResolver in org::apache::maven::repository::metadata (Class),4,0
ClassRealmRequest in org::apache::maven::classrealm (Class),6,0
DependencyManagementImporter in org::apache::maven::model::composition (Class),2,0
DefaultModelInheritanceAssembler in org::apache::maven::project::inheritance (Class),18,0
RepositoryMetadataManager in org::apache::maven::artifact::repository::metadata (Class),5,0
VersionInfo in org::apache::maven::repository::internal::DefaultVersionResolver (Class),3,0
MavenArtifactRepositorySubclass in org::apache::maven::artifact::repository::MavenArtifactRepositoryTest (Class),2,0
DefaultGraphConflictResolverTest in org::apache::maven::repository::metadata (Class),4,0
MavenExecutionRequestPopulationException in org::apache::maven::execution (Class),3,0
PrerequisitesTest in org::apache::maven::model (Class),4,0
LegacyArtifactCollector in org::apache::maven::repository::legacy::resolver (Class),3,0
AbstractArtifactMetadata in org::apache::maven::repository::legacy::metadata (Class),5,2
