Class,Methods,Over-exposed methods
CoreTestSuite in org::apache::log4j (Class),1,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogFactor5InputDialog.LogFactor5InputDialog() (Class),1,0
ErrorHandlerTestCase in org::apache::log4j::varia (Class),7,1
LogBrokerMonitor in org::apache::log4j::lf5::viewer (Class),105,56
EnhancedThrowableRenderer in org::apache::log4j (Class),4,1
NamePatternConverter in org::apache::log4j::pattern (Class),2,0
LF5Appender in org::apache::log4j::lf5 (Class),15,7
CategoryAbstractCellEditor in org::apache::log4j::lf5::viewer::categoryexplorer (Class),15,2
DerivedPatternLayout in org::apache::log4j::EnhancedPatternLayoutTest (Class),3,0
JMSQueueAppender in <Default Package> (Class),15,2
SimpleLayout in org::apache::log4j (Class),5,1
LastOnlyAppender in org::apache::log4j::net::SocketAppenderTest (Class),4,1
SerializationTestHelper in org::apache::log4j::util (Class),5,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createToolBar() (Class),1,0
LiteralPatternConverter in org::apache::log4j::helpers::PatternParser (Class),3,0
SyslogAppenderTest in org::apache::log4j::net (Class),32,0
DateLayoutTest in org::apache::log4j::helpers (Class),23,0
PropertiesPatternConverter in org::apache::log4j::pattern (Class),3,0
UserDirPatternConverter in org::apache::log4j::MyPatternParser (Class),2,0
MyPatternParser in org::apache::log4j (Class),3,0
NumberCruncherClient in examples (Class),3,0
CustomLevel in org::apache::log4j::LevelTest (Class),2,1
XLevel in org::apache::log4j::xml (Class),5,0
Resource in org::apache::log4j::lf5::util (Class),7,1
XMLTimestampFilter in org::apache::log4j::util (Class),3,0
anonymous(Runnable) in org::apache::log4j::lf5::viewer::categoryexplorer::CategoryExplorerModel.refresh() (Class),1,0
BadMessage in org::apache::log4j::spi::LoggingEventTest (Class),2,1
RootLogger in org::apache::log4j::spi (Class),3,0
anonymous(ActionListener) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.makeLogTableListenToCategoryExplorer() (Class),1,0
FileAppenderTest in org::apache::log4j (Class),4,0
ZeroConfSupport in org::apache::log4j::net (Class),11,2
PropertySetterException in org::apache::log4j::config (Class),4,0
ConsoleAppender in org::apache::log4j (Class),11,0
FormattingInfo in org::apache::log4j::pattern (Class),7,4
TextPaneAppender in org::apache::log4j::gui (Class),37,1
SocketAppenderTest in org::apache::log4j::net (Class),4,0
CategoryElement in org::apache::log4j::lf5::viewer::categoryexplorer (Class),4,1
BridgePatternParser in org::apache::log4j::pattern (Class),2,0
LogTableModel in org::apache::log4j::lf5::viewer (Class),3,0
DefaultRenderer in org::apache::log4j::or (Class),2,0
Appender in org::apache::log4j (Class),12,4
anonymous(ActionListener) in org::apache::log4j::chainsaw::ControlPanel.ControlPanel() (Class),1,0
NDC in org::apache::log4j (Class),14,2
DiscardSummary in org::apache::log4j::AsyncAppender (Class),3,0
anonymous(LogRecordFilter) in org::apache::log4j::lf5::viewer::LogBrokerMonitor.createNDCLogRecordFilter() (Class),1,0
anonymous(DocumentListener) in org::apache::log4j::chainsaw::ControlPanel.ControlPanel() (Class),3,0
LogTextPanelExampleGenThread in org::apache::log4j::gui::examples (Class),2,0
SequenceNumberPatternConverter in org::apache::log4j::pattern (Class),4,0
LocationInfoTest in org::apache::log4j::spi (Class),2,0
