Class,Methods,Over-exposed methods
UnionPropertiesAudited2Test in org::hibernate::envers::test::integration::interfaces::hbm::propertiesAudited2::union (Class),1,0
RefreshTest in org::hibernate::test::cascade (Class),3,0
ColumnSourceImpl in org::hibernate::metamodel::source::annotations::attribute (Class),6,1
Thing in org::hibernate::test::join (Class),9,2
AbstractVisitor in org::hibernate::event::internal (Class),12,1
PartnerA in org::hibernate::test::resulttransformer (Class),5,2
anonymous(HqlExecutor) in org::hibernate::test::querycache::AbstractQueryCacheResultTransformerTest.testEntityWithJoinedLazyOneToManySingleElementListHql() (Class),1,0
CarModel in org::hibernate::test::annotations::xml::ejb3 (Class),3,1
anonymous(MethodRule) in org::hibernate::metamodel::source::annotations::entity::BaseAnnotationBindingTestCase.<Initializer>() (Class),1,0
ResultSetWrapperProxy in org::hibernate::engine::jdbc (Class),10,1
anonymous(CriteriaExecutor) in org::hibernate::test::querycache::AbstractQueryCacheResultTransformerTest.testEntityWithUnaliasedJoinFetchedLazyOneToManySingleElementList() (Class),1,0
anonymous(CascadeStyle) in org::hibernate::engine::spi::CascadeStyle.<Initializer>() (Class),2,0
CriteriaTools in org::hibernate::envers::query::criteria (Class),3,0
OptionalJoinTest in org::hibernate::test::join (Class),10,0
AbstractFieldInterceptor in org::hibernate::bytecode::instrumentation::spi (Class),12,4
Stay in org::hibernate::test::jpa::fetch (Class),20,3
BatchingTest in org::hibernate::test::jdbc::proxies (Class),6,0
CacheBindingTest in org::hibernate::metamodel::source::annotations::entity (Class),1,0
User in org::hibernate::test::joinfetch (Class),7,1
HibernateUtil in org::hibernate::cache::ehcache::internal::util (Class),7,0
MapsIdTest in org::hibernate::metamodel::source::annotations::entity (Class),1,0
anonymous(StatementPreparationTemplate) in org::hibernate::engine::jdbc::internal::StatementPreparerImpl.prepareStatement() (Class),1,0
Range in org::hibernate::test::annotations::beanvalidation (Class),2,0
anonymous(TemplatedViolatedConstraintNameExtracter) in org::hibernate::dialect::HSQLDialect.<Initializer>() (Class),1,0
SimpleSelect in org::hibernate::sql (Class),20,1
NotOwnedBidirectional in org::hibernate::envers::test::integration::inheritance::tableperclass::notownedrelation (Class),5,0
EntityHierarchyImpl in org::hibernate::metamodel::source::annotations (Class),3,0
Customer in org::hibernate::test::propertyref::inheritence::union (Class),3,1
BatchFailedException in org::hibernate::jdbc (Class),2,0
PropertyNotFoundException in org::hibernate (Class),1,0
AbstractIdMapper in org::hibernate::envers::entities::mapper::id (Class),6,0
Language in org::hibernate::test::annotations::manytoonewithformula (Class),6,2
BeforeTransactionCompletionProcess in org::hibernate::action::spi (Class),1,0
BlobType in org::hibernate::type (Class),5,1
anonymous(TestCode) in org::hibernate::test::fetchprofiles::join::JoinFetchProfileTest.testLoadManyToOneFetchProfile() (Class),1,0
SybaseTimestampVersioningTest in org::hibernate::test::version::sybase (Class),4,0
EmployeeInfo in org::hibernate::test::orphan::one2one::fk::reversed::unidirectional (Class),3,1
B in org::hibernate::test::annotations::collectionelement::deepcollectionelements (Class),4,0
anonymous(Thread) in org::hibernate::test::cache::infinispan::entity::AbstractEntityRegionAccessStrategyTestCase.testInsert() (Class),1,0
anonymous(DuplicationStrategy) in <Default Package>::JaccEventListenerIntegrator.<Initializer>() (Class),2,0
Node in org::hibernate::envers::test::integration::onetomany::hierarchy (Class),7,4
JOTMJtaPlatform in org::hibernate::service::jta::platform::internal (Class),4,1
Widget in org::hibernate::test::annotations::entity (Class),2,0
BooleanStaticAssertionPredicate in org::hibernate::ejb::criteria::predicate (Class),5,1
CollectionPersister in org::hibernate::persister::collection (Class),53,0
ParameterRegistry in org::hibernate::ejb::criteria (Class),2,0
MultiLineImportFileTest in org::hibernate::test::fileimport (Class),3,0
GetGeneratedKeysDelegate in org::hibernate::id::IdentityGenerator (Class),4,0
anonymous(CriteriaExecutor) in org::hibernate::test::querycache::AbstractQueryCacheResultTransformerTest.testEntityWithJoinFetchedLazyOneToManyMultiAndNullElementList() (Class),1,0
Luggage in org::hibernate::test::annotations::referencedcolumnname (Class),13,1
CollectionRegionImpl in org::hibernate::cache::infinispan::collection (Class),5,1
Helper in org::hibernate::id::uuid (Class),12,4
User in org::hibernate::test::hql (Class),9,3
CustomRunner in org::hibernate::testing::junit4 (Class),22,1
ListJoinColumnBidirectionalRefIngEntity in org::hibernate::envers::test::entities::onetomany::detached (Class),12,0
PostgresUUIDType in org::hibernate::type (Class),3,1
AbstractComponentPropertyRefTest in org::hibernate::test::abstractembeddedcomponents::propertyref (Class),2,0
AvailableSettings in org::hibernate::ejb (Class),1,0
MapEntryNode in org::hibernate::hql::internal::ast::tree (Class),20,1
anonymous(StringJoinTemplate) in org::hibernate::dialect::function::DerbyConcatFunction.render() (Class),3,0
Product in org::hibernate::test::collection::backref::map::compkey (Class),6,1
Part in org::hibernate::test::legacy (Class),5,2
MainObject in org::hibernate::test::legacy (Class),7,2
Interaction in org::hibernate::test::annotations::entitynonentity (Class),0,0
BatchFetchTest in org::hibernate::test::batchfetch (Class),2,0
PropertyFactory in org::hibernate::tuple (Class),11,0
Order in org::hibernate::ejb::metamodel (Class),22,0
