Class,Methods,Over-exposed methods
MetricTest in test::net::sourceforge::pmd::stat (Class),9,0
ASTConstructorDeclaration in net::sourceforge::pmd::ast (Class),8,1
ConstructorNode in net::sourceforge::pmd::dcd::graph (Class),7,0
SourceTypeToRuleLanguageMapper in net::sourceforge::pmd (Class),3,0
SwitchDensity in net::sourceforge::pmd::rules::design::SwitchDensityRule (Class),7,4
ASTDoctypeExternalId in net::sourceforge::pmd::jsp::ast (Class),9,0
TextRenderer in net::sourceforge::pmd::renderers (Class),4,0
AcceptanceTest in test::net::sourceforge::pmd::dfa (Class),34,0
CPD in net::sourceforge::pmd::cpd (Class),19,3
StringUtilTest in test::net::sourceforge::pmd::util (Class),8,0
ASTTreeNode in net::sourceforge::pmd::util::designer::Designer (Class),11,1
IframeMissingSrcAttributeTest in test::net::sourceforge::pmd::jsp::rules (Class),2,0
ClassWithImportOnDemand in test::net::sourceforge::pmd::typeresolution (Class),1,0
ExcessiveImports in net::sourceforge::pmd::rules (Class),2,0
AvoidDollarSigns in net::sourceforge::pmd::rules::naming (Class),3,0
Java15Handler in net::sourceforge::pmd::sourcetypehandlers (Class),2,1
ApplierTest in test::net::sourceforge::pmd::util (Class),2,0
CodeLoader in net::sourceforge::pmd::cpd::SourceCode (Class),4,4
AttributesSubMenu in net::sourceforge::pmd::util::viewer::gui::menu (Class),2,0
HTMLRenderer in net::sourceforge::pmd::renderers (Class),11,0
CyclomaticComplexityTest in test::net::sourceforge::pmd::rules::codesize (Class),6,0
Executable in net::sourceforge::pmd::dfa::pathfinder (Class),1,0
XMLRenderer in net::sourceforge::pmd::cpd (Class),5,0
CPDListener in net::sourceforge::pmd::cpd (Class),3,0
AcceptanceTest in test::net::sourceforge::pmd::symboltable (Class),8,0
ASTMethodDeclarator in net::sourceforge::pmd::ast (Class),4,0
anonymous(ActionListener) in net::sourceforge::pmd::util::designer::Designer.createMenuBar() (Class),1,0
ASTFieldDeclarationTest in test::net::sourceforge::pmd::ast (Class),7,0
anonymous(JspParserVisitorAdapter) in net::sourceforge::pmd::jsp::ast::JspRuleChainVisitor.indexNodes() (Class),1,0
ImportOnDemandResolver in net::sourceforge::pmd::symboltable::TypeSet (Class),2,0
PHPTokenizer in net::sourceforge::pmd::cpd (Class),2,1
anonymous(UndoableEditListener) in net::sourceforge::pmd::util::designer::Designer.makeTextComponentUndoable() (Class),1,0
NLS in net::sourceforge::pmd::util::viewer::util (Class),2,0
HTMLRendererTest in test::net::sourceforge::pmd::renderers (Class),6,0
CSVRendererTest in test::net::sourceforge::pmd::renderers (Class),6,0
JavaParserTreeConstants in net::sourceforge::pmd::ast (Class),1,0
ASTWildcardBounds in net::sourceforge::pmd::ast (Class),3,0
ImplicitImportResolver in net::sourceforge::pmd::symboltable::TypeSet (Class),2,0
NullAssignmentRule in net::sourceforge::pmd::rules::design (Class),3,0
AvoidMultipleUnaryOperators in net::sourceforge::pmd::rules::basic (Class),4,0
VBHTMLRendererTest in test::net::sourceforge::pmd::renderers (Class),6,0
UnusedPrivateMethodRule in net::sourceforge::pmd::rules (Class),4,0
TextPadRendererTest in test::net::sourceforge::pmd::renderers (Class),5,0
Token in net::sourceforge::pmd::jsp::ast (Class),7,1
Applier in net::sourceforge::pmd::util (Class),1,0
ASTArrayDimsAndInits in net::sourceforge::pmd::ast (Class),3,0
GeneralFiddlingTest in test::net::sourceforge::pmd::dfa (Class),3,0
ASTAttribute in net::sourceforge::pmd::jsp::ast (Class),9,0
JavaLanguage in net::sourceforge::pmd::cpd (Class),2,0
anonymous(NodeIterator) in net::sourceforge::pmd::jaxen::DocumentNavigator.getPrecedingSiblingAxisIterator() (Class),2,0
NoJspForwardTest in test::net::sourceforge::pmd::jsp::rules (Class),2,0
