Class,Methods,Over-exposed methods
IntervalCategoryToolTipGenerator in org::jfree::chart::labels (Class),6,1
XYItemLabelGenerator in org::jfree::chart::labels (Class),1,0
DialScale in org::jfree::chart::plot::dial (Class),2,0
ThermometerPlot in org::jfree::chart::plot (Class),80,9
DefaultDrawingSupplierTests in org::jfree::chart::plot::junit (Class),5,0
DialShape in org::jfree::chart::plot (Class),6,0
SWTChartEditor in org::jfree::experimental::chart::swt::editor (Class),5,0
State in org::jfree::chart::renderer::xy::StandardXYItemRenderer (Class),5,2
PinNeedleTests in org::jfree::chart::needle::junit (Class),5,0
DefaultKeyedValues2D in org::jfree::data (Class),24,7
StandardXYItemLabelGeneratorTests in org::jfree::chart::labels::junit (Class),7,0
LineBorderTests in org::jfree::chart::block::junit (Class),5,0
XYAnnotationEntity in org::jfree::chart::entity (Class),5,0
MeterIntervalTests in org::jfree::chart::plot::junit (Class),5,0
ScatterRendererTests in org::jfree::chart::renderer::category::junit (Class),9,0
ChartPackageTests in org::jfree::chart::junit (Class),2,0
NumberTickUnitTests in org::jfree::chart::axis::junit (Class),6,0
SWTPieChartDemo1 in org::jfree::experimental::chart::swt::demo (Class),3,0
ModuloAxis in org::jfree::chart::axis (Class),17,0
LegendItemSource in org::jfree::chart (Class),1,1
AbstractCategoryItemRendererTests in org::jfree::chart::renderer::category::junit (Class),9,0
PaintItem in org::jfree::chart::renderer::LookupPaintScale (Class),6,0
StandardEntityCollectionTests in org::jfree::chart::entity::junit (Class),5,0
MeterNeedle in org::jfree::chart::needle (Class),27,6
WindItemRendererTests in org::jfree::chart::renderer::xy::junit (Class),7,0
CategoryDataset in org::jfree::data::category (Class),0,0
AxisSpace in org::jfree::chart::axis (Class),23,1
DefaultIntervalCategoryDatasetTests in org::jfree::data::category::junit (Class),22,0
KeyedValues2D in org::jfree::data (Class),7,0
MyDialLayerChangeListener in org::jfree::chart::plot::dial::junit (Class),2,1
Effect3D in org::jfree::chart (Class),2,2
MultiValueCategoryDataset in org::jfree::data::statistics (Class),2,0
HistogramDatasetTests in org::jfree::data::statistics::junit (Class),14,0
XYErrorRenderer in org::jfree::chart::renderer::xy (Class),18,1
PointerNeedle in org::jfree::chart::needle (Class),6,1
CategoryTextAnnotationTests in org::jfree::chart::annotations::junit (Class),7,0
ChartTransferable in org::jfree::chart (Class),8,0
ExtendedCategoryAxisTests in org::jfree::chart::axis::junit (Class),7,0
XYDrawableAnnotation in org::jfree::chart::annotations (Class),10,0
XYShapeAnnotationTests in org::jfree::chart::annotations::junit (Class),7,0
StandardDialRange in org::jfree::chart::plot::dial (Class),23,1
DateTickTests in org::jfree::chart::axis::junit (Class),6,0
XYDataItemTests in org::jfree::data::xy::junit (Class),5,0
OverLIBToolTipTagFragmentGeneratorTests in org::jfree::chart::imagemap::junit (Class),3,0
XYBarDatasetTests in org::jfree::data::xy::junit (Class),6,0
DateAxisTests in org::jfree::chart::axis::junit (Class),25,0
CustomPieURLGeneratorTests in org::jfree::chart::urls::junit (Class),6,0
StackedXYAreaRenderer2 in org::jfree::chart::renderer::xy (Class),13,2
