Class,Methods,Over-exposed methods
GenBuffer in org::apache::jasper::compiler::Generator (Class),6,0
SSLAuthenticator in org::apache::catalina::authenticator (Class),5,0
TomcatBaseTest in org::apache::catalina::startup (Class),14,2
CometProcessor in org::apache::catalina::comet (Class),1,0
TestCsrfPreventionFilter in org::apache::catalina::filters (Class),7,1
JspC in org::apache::jasper (Class),85,11
Session in org::apache::catalina (Class),35,10
JMXAccessorUnregisterTask in org::apache::catalina::ant::jmx (Class),4,0
GenericPrincipal in org::apache::catalina::realm (Class),15,0
ELFunctionVisitor in org::apache::jasper::compiler::ELFunctionMapper (Class),17,0
Util in org::apache::jasper::tagplugins::jstl (Class),7,0
Sockaddr in org::apache::tomcat::jni (Class),0,0
TesterDigestRequest in org::apache::catalina::authenticator::TesterDigestAuthenticatorPerformance (Class),8,0
GzipInterceptor in org::apache::catalina::tribes::group::interceptors (Class),6,0
SSLImplementation in org::apache::tomcat::util::net (Class),8,1
SCI in org::apache::catalina::startup::TestListener (Class),2,1
AddDefaultCharsetFilter in org::apache::catalina::filters (Class),5,0
SelectorContext in org::apache::naming (Class),35,1
JMXAccessorCondition in org::apache::catalina::ant::jmx (Class),33,10
JMXAccessorCreateTask in org::apache::catalina::ant::jmx (Class),11,0
LogFactory in org::apache::juli::logging (Class),16,2
ConstantDouble in org::apache::tomcat::util::bcel::classfile (Class),6,1
SystemPropertySource in org::apache::tomcat::util::digester::Digester (Class),2,0
anonymous(PrivilegedAction) in org::apache::catalina::startup::WebAnnotationSet.getDeclaredMethods() (Class),1,0
MonitoredThread in org::apache::catalina::valves::StuckThreadDetectionValve (Class),9,6
ValidationMessage in javax::servlet::jsp::tagext (Class),3,0
Bug51653RequestListener in org::apache::catalina::core::TestStandardContextValve (Class),3,0
Echo in org::apache::jasper::compiler::TestValidator (Class),4,0
StandardClassLoaderMBean in org::apache::catalina::loader (Class),0,0
anonymous(PrivilegedExceptionAction) in org::apache::catalina::core::ApplicationContextFacade.executeMethod() (Class),1,0
StandardSessionFacade in org::apache::catalina::session (Class),20,0
HttpMessages in org::apache::tomcat::util::http (Class),4,0
FileItemHeaders in org::apache::tomcat::util::http::fileupload (Class),3,0
ManagerServlet in org::apache::catalina::manager (Class),35,0
StoreBase in org::apache::catalina::session (Class),13,2
ResponseHeaderElement in org::apache::catalina::valves::ExtendedAccessLogValve (Class),2,0
TaskQueue in org::apache::catalina::tribes::util::ExecutorFactory (Class),7,1
ChannelCreator in org::apache::catalina::tribes::demos (Class),2,1
ExtendedAccessLogValve in org::apache::catalina::valves (Class),11,0
JSSEImplementation in org::apache::tomcat::util::net::jsse (Class),6,0
TestResponsePerformance in org::apache::catalina::connector (Class),1,0
RemoteIpFilter in org::apache::catalina::filters (Class),30,3
TimeDateElementBenchmarkTest_LocalStruct in org::apache::catalina::valves::Benchmarks (Class),6,1
NonLoginAuthenticator in org::apache::catalina::authenticator (Class),5,0
Http11Protocol in org::apache::coyote::http11 (Class),7,0
GenericServlet in javax::servlet (Class),14,5
SetLoginConfig in org::apache::catalina::startup (Class),3,1
XMLWriter in org::apache::catalina::util (Class),13,0
anonymous(BaseSessionComparator) in org::apache::catalina::manager::HTMLManagerServlet.getComparator() (Class),1,0
ScopeEntry in javax::servlet::jsp::el::ImplicitObjectELResolver::ScopeMap (Class),6,0
SpnegoAuthenticator in org::apache::catalina::authenticator (Class),9,2
SimpleServlet in org::apache::tomcat::util::http::TestCookiesAllowHttpSeps (Class),3,0
MbeansSourceMBean in org::apache::tomcat::util::modeler::modules (Class),6,0
AbstractHttp11JsseProtocol in org::apache::coyote::http11 (Class),44,0
TestConnectionState in org::apache::tomcat::jdbc::test (Class),4,0
TestCometProcessor in org::apache::catalina::comet (Class),8,0
DirectJDKLog in org::apache::juli::logging (Class),23,0
JavaClassCacheEntry in org::apache::catalina::startup::ContextConfig (Class),5,2
SessionListener in listeners (Class),9,0
MimeHeaders in org::apache::tomcat::util::http (Class),21,0
CacheValue in javax::el::ExpressionFactory (Class),7,4
ParamVisitor in org::apache::jasper::compiler::Generator::GenerateVisitor.printParams() (Class),2,0
ClusterSingleSignOnListener in org::apache::catalina::ha::authenticator (Class),8,1
anonymous(AccessLogElement) in org::apache::catalina::valves::ExtendedAccessLogValve.getServletRequestElement() (Class),1,0
TestRunner in org::apache::tomcat::jdbc::test::AlternateUsernameTest (Class),3,0
DeployWar in org::apache::catalina::startup::HostConfig (Class),2,0
WritingServlet in org::apache::catalina::connector::TestOutputBuffer (Class),3,0
TestStandardContextResources in org::apache::catalina::core (Class),7,0
anonymous(ThreadLocal) in org::apache::catalina::valves::AccessLogValve.<Initializer>() (Class),1,0
DateFormatCache in org::apache::catalina::valves::AccessLogValve (Class),5,0
AttributeHolder in org::apache::tomcat::util::IntrospectionUtils (Class),1,0
anonymous(PrivilegedExceptionAction) in org::apache::jasper::servlet::JspServlet.init() (Class),1,0
RuntimeVisibleParameterAnnotations in org::apache::tomcat::util::bcel::classfile (Class),3,0
DirectByteArrayOutputStream in org::apache::catalina::tribes::io (Class),5,0
CharOutputChannel in org::apache::tomcat::util::buf::CharChunk (Class),1,0
Constants in org::apache::coyote (Class),1,0
anonymous(AccessLogElement) in org::apache::catalina::valves::ExtendedAccessLogValve.getServletRequestElement() (Class),1,0
ProtectedFunctionMapper in org::apache::jasper::runtime (Class),6,0
TestCompositeELResolver in javax::el (Class),1,0
MembershipService in org::apache::catalina::tribes (Class),18,2
LocalPortElement in org::apache::catalina::valves::AccessLogValve (Class),2,1
InvalidContentTypeException in org::apache::tomcat::util::http::fileupload::FileUploadBase (Class),3,0
HeaderParseData in org::apache::coyote::http11::InternalNioInputBuffer (Class),3,2
PoolCleanerTest in org::apache::tomcat::jdbc::test (Class),5,0
Cache in org::apache::catalina::valves::AccessLogValve::DateFormatCache (Class),5,0
SessionConfig in org::apache::catalina::util (Class),5,0
InputFilter in org::apache::coyote::http11 (Class),7,4
AsyncFileHandler in org::apache::juli (Class),7,0
ServletConfig in javax::servlet (Class),4,0
UserDataHelper in org::apache::tomcat::util::log (Class),4,0
Listener in org::apache::catalina::tribes::test::channel::TestUdpPackages (Class),4,1
Arrays in org::apache::catalina::tribes::util (Class),25,0
anonymous(Thread) in org::apache::catalina::tribes::group::interceptors::StaticMembershipInterceptor.start() (Class),1,0
NioBlockingSelector in org::apache::tomcat::util::net (Class),6,2
SetNextRule in org::apache::tomcat::util::digester (Class),9,0
PrivilegedStoreRemove in org::apache::catalina::session::PersistentManagerBase (Class),2,0
TaglibUriRule in org::apache::catalina::startup (Class),4,2
anonymous(PrivilegedAction) in org::apache::catalina::startup::WebAnnotationSet.getDeclaredFields() (Class),1,0
Bug49922Filter in org::apache::catalina::core::TestStandardContext (Class),3,0
anonymous(PrivilegedAction) in org::apache::catalina::session::StandardSession.getSession() (Class),1,0
TcpFailureDetector in org::apache::catalina::tribes::group::interceptors (Class),27,3
EnumElementValue in org::apache::tomcat::util::bcel::classfile (Class),3,0
Entry in org::apache::jasper::xmlparser::SymbolTable (Class),2,0
SocketOutputBuffer in org::apache::coyote::ajp::AbstractAjpProcessor (Class),3,1
AttributeInfo in org::apache::catalina::ha::session::DeltaRequest (Class),14,6
ValueReference in javax::el (Class),4,0
PrivilegedStoreLoad in org::apache::catalina::session::PersistentManagerBase (Class),2,0
MessageBytes in org::apache::tomcat::util::buf (Class),37,0
JreMemoryLeakPreventionListener in org::apache::catalina::core (Class),27,0
anonymous(PrivilegedAction) in org::apache::naming::factory::SendMailFactory.getObjectInstance() (Class),1,0
SSIFlastmod in org::apache::catalina::ssi (Class),3,1
Bug49132Listener in org::apache::catalina::core::TestNamingContextListener (Class),2,0
SingleSignOnEntry in org::apache::catalina::authenticator (Class),11,6
DoBodyAction in org::apache::jasper::compiler::Node (Class),3,0
TestParserNoStrictWhitespace in org::apache::jasper::compiler (Class),7,0
SetPropertyRule in org::apache::tomcat::util::digester (Class),5,0
SmapStratum in org::apache::jasper::compiler (Class),8,3
StatusTransformer in org::apache::catalina::manager (Class),20,0
ServletContextEvent in javax::servlet (Class),3,0
TestUdpPackages in org::apache::catalina::tribes::test::channel (Class),10,0
anonymous(ScopeMap) in javax::servlet::jsp::el::ImplicitObjectELResolver::ScopeManager.getApplicationScope() (Class),4,0
HttpServletRequest in javax::servlet::http (Class),31,1
CometFilterChain in org::apache::catalina::comet (Class),1,0
AstDynamicExpression in org::apache::el::parser (Class),5,0
SimplePOJOAsyncExample in org::apache::tomcat::jdbc::test (Class),1,0
