No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
683,IDSCP 27,(481st military),13 Jun 68,Communications,NA
684,IDSCP 28,(482nd military),13 Jun 68,Communications,NA
685,IDSCP 29,(483rd military),13 Jun 68,Communications,NA
686,IDSCP 30,(484th military),13 Jun 68,Communications,NA
687,IDSCP 31,(485th military),13 Jun 68,Communications,NA
688,IDSCP 32,(486th military),13 Jun 68,Communications,NA
689,IDSCP 33,(487th military),13 Jun 68,Communications,NA
690,IDSCP 34,(488th military),13 Jun 68,Communications,NA
691,Discoverer 121 / KH-4A,(489th military),20 Jun 68,Reconnaissance,NA
692,Hitchhiker 15,(490th military),20 Jun 68,Electronic intelligence,NA
693,Explorer 38 / RAE 1,(203rd civilian),4 Jul 68,Astronomy,NA
694,OV 1-15 / SPADES ,(491st military),11 Jul 68,Technology,NA
695,OV 1-16 / LOADS / Cannon Ball I,(492nd military),11 Jul 68,Technology,NA
696,CANYON 1,(493rd military),6 Aug 68,Electronic intelligence,NA
697,Titan Samos 15 / KH-8 15 GAMBIT,(494th military),6 Aug 68,Reconnaissance,NA
698,Discoverer 122 / KH-4B,(495th military),7 Aug 68,Reconnaissance,NA
699,Explorer 39 / AD-C,(204th civilian),8 Aug 68,Earth sciences,NA
700,Explorer 40 / Injun 5,(205th civilian),8 Aug 68,Radiation studies,NA
701,ATS 4,(206th civilian),10 Aug 68,Technology,NA
702,ESSA 7,(207th civilian),16 Aug 68,Meteorology,NA
703,Secor 11 / EGRS 11,(496th military),16 Aug 68,Radar calibration,NA
704,Secor 12 / EGRS 12,(497th military),16 Aug 68,Radar calibration,NA
705,GSD 1 / Grid Sphere Drag 1,(498th military),16 Aug 68,Radar calibration,NA
706,GSD 2 / Grid Sphere Drag 2,(499th military),16 Aug 68,Radar calibration,NA
707,GSD 3 / Grid Sphere Drag 3,(500th military),16 Aug 68,Radar calibration,NA
708,GSD 4 / Grid Sphere Drag 4,(501st military),16 Aug 68,Radar calibration,NA
709,UVR,(502nd military),16 Aug 68,Technology,NA
710,OV5-8 / ERS 19,(503rd military),16 Aug 68,Technology,NA
711,Radcal,(504th military),16 Aug 68,Radar calibration,NA
712,LCS 3,(505th military),16 Aug 68,Radar calibration,NA
713,Orbiscal 1,(506th military),16 Aug 68,Radar calibration,NA
714,Lidos,(507th military),16 Aug 68,Gravity studies,NA
715,RM-18,(508th military),16 Aug 68,Science & technology,NA
