No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
944,Big Bird 8 / KH-9 8 HEXAGON,(657th military),10 Apr 74,Reconnaissance,NA
945,Hitchhiker 35,(658th military),10 Apr 74,Electronic intelligence,NA
946,Subsatellite,(659th military),10 Apr 74,Radar calibration,NA
947,SMS 1,(288th civilian),17 May 74,Meteorology,NA
948,ATS 6,(289th civilian),30 May 74,Technology,NA
949,Explorer 52 / Hawkeye 1 / Injun 6,(290tht civilian),3 Jun 74,Sun observations,NA
950,Titan Samos 42 / KH-8 42 GAMBIT,(660th military),6 Jun 74,Reconnaissance,NA
951,Timation 3 / NTS-1,(661st military),14 Jul 74,Navigation,NA
952,Block 5C / DMSP Block-5C F1,(662nd military),9 Aug 74,Meteorology,NA
953,Titan Samos 43 / KH-8 43 GAMBIT,(663rd military),14 Aug 74,Reconnaissance,NA
954,Big Bird 9 / KH-9 9 HEXAGON,(664th military),29 Oct 74,Reconnaissance,NA
955,Hitchhiker 37,(665th military),29 Oct 74,Electronic intelligence,NA
956,SESP 73-5,(666th military),29 Oct 74,Technology,NA
957,NOAA 4,(291st civilian),15 Nov 74,Meteorology,NA
958,Landsat 2 / ERTS 2,(292nd civilian),22 Jan 75,Earth remote sensing,NA
959,SMS 2,(293rd civilian),6 Feb 75,Meteorology,NA
960,SDS 3 / Jumpseat 4,(667th military),10 Mar 75,Electronic intelligence,NA
961,GEOS 3,(294th civilian),9 Apr 75,Meteorology,NA
962,P72-2,(668th military),13 Apr 75,Technology,NA
963,Titan Samos 44 / KH-8 44 GAMBIT,(669th military),18 Apr 75,Reconnaissance,NA
964,Explorer 53 / SAS 3,(295th civilian),7 May 75,Solar observatory,NA
965,DSCS 2-5,(670th military),20 May 75,Communications,NA
966,DSCS 2-6,(671st military),20 May 75,Communications,NA
967,Block 5C (#3) / DMSP Block-5C F2,(672nd military),24 May 75,Meteorology,NA
968,Big Bird 10 / KH-9 10 HEXAGON,(673rd military),8 Jun 75,Reconnaissance,NA
969,SSU 1,(674th military),8 Jun 75,Electronic intelligence,NA
970,Nimbus 6,(296th civilian),12 Jun 75,Meteorology,NA
971,CANYON 6,(675th military),18 Jun 75,Electronic intelligence,NA
972,OSO 8,(297th civilian),21 Jun 75,Solar observatory,NA
973,Apollo ASTP,(298th civilian),15 Jul 75,Piloted spaceship,NA
974,Viking 1 Orbiter,(299th civilian),20 Aug 75,Planetary probe,NA
975,Viking 1 Lander,(300th civilian),20 Aug 75,Planetary probe,NA
976,Viking 2 Orbiter,(301st civilian),9 Sep 75,Planetary probe,NA
977,Viking 2 Lander,(302nd civilian),9 Sep 75,Planetary probe,NA
978,Explorer 54 / AE-D,(303rd civilian),6 Oct 75,Earth sciences,NA
979,Titan Samos 45 / KH-8 45 GAMBIT,(676th military),9 Oct 75,Reconnaissance,NA
980,TIP 2 / Triad 2,(677th military),12 Oct 75,Navigation,NA
981,GOES 1 / SMS 3,(304th civilian),16 Oct 75,Meteorology,NA
982,Explorer 55 / AE-E,(305th civilian),20 Nov 75,Earth sciences,NA
983,Big Bird 11 / KH-9 11 HEXAGON,(678th military),4 Dec 75,Reconnaissance,NA
984,Hitchhiker 38,(679th military),4 Dec 75,Electronic intelligence,NA
985,Explorer / DAD-A,(306th civilian),6 Dec 75,Earth sciences,NA
986,Explorer / DAD-B,(307th civilian),6 Dec 75,Earth sciences,NA
987,IMEWS 5 / DSP 8,(680th military),14 Dec 75,Missile early warning,NA
988,Block 5C #3 / DMSP Block-5C F3,(681st military),19 Feb 76,Meteorology,NA
989,LES 8,(682nd military),15 Mar 76,Technology,NA
990,LES 9,(683rd military),15 Mar 76,Technology,NA
991,Solrad 11A,(684th military),15 Mar 76,Solar radiation studies,NA
992,Solrad 11B,(685th military),15 Mar 76,Solar radiation studies,NA
993,Titan Samos 46 / KH-8 46 GAMBIT,(686th military),22 Mar 76,Reconnaissance,NA
994,NOSS 1 (Whitecloud 1),(687th military),30 Apr 76,Ocean surveillance,NA
995,SSU 1,(688th military),30 Apr 76,Ocean surveillance,NA
996,SSU 2,(689th military),30 Apr 76,Ocean surveillance,NA
997,SSU 2,(690th military),30 Apr 76,Ocean surveillance,NA
998,Lageos,(308th civilian),4 May 76,Geodesy,NA
999,P-76-5 / NNS O-15,(691st military),22 May 76,Navigation,NA
1000,IDS 4 / SDS 1,(692nd military),2 Jun 76,Communications,NA
1001,IMEWS 6 / DSP 8,(693rd military),26 Jun 76,Missile early warning,NA
1002,Big Bird 12 / KH-9 12 HEXAGON,(694th military),8 Jul 76,Reconnaissance,NA
1003,Hitchhiker 39,(695th military),8 Jul 76,Electronic intelligence,NA
1004,SESP 74-2,(696th military),8 Jul 76,Technology,NA
1005,NOAA 5,(309th civilian),29 Jul 76,Meteorology,NA
1006,SDS 5,(697th military),6 Aug 76,Communications,NA
1007,TIP 3,(698th military),1 Sep 76,Navigation,NA
1008,AMT 1 / DMSP 5D F-1,(699th military),11 Sep 76,Meteorology,NA
1009,Titan Samos 47 / KH-8 47 GAMBIT,(700th military),15 Sep 76,Reconnaissance,NA
1010,KH-11 1 KENNAN,(701st military),19 Dec 76,Reconnaissance,NA
1011,IMEWS 7 / DSP 9,(702nd military),6 Feb 77,Missile early warning,NA
1012,Titan Samos 48 / KH-8 48 GAMBIT,(703rd military),13 Mar 77,Reconnaissance,NA
1013,DSCS 2-7,(704th military),12 May 77,Communications,NA
1014,DSCS 2-8,(705th military),12 May 77,Communications,NA
1015,CANYON 7,(706th military),23 May 77,Signal intelligence,NA
1016,AMS 2 / Block 5D #2,(707th military),5 Jun 77,Meteorology,NA
1017,GOES 2,(310th civilian),16 Jun 77,Meteorology,NA
1018,NTS 2,(708th military),23 Jun 77,Navigation,NA
1019,Big Bird 13 / KH-9 13 HEXAGON,(709th military),27 Jun 77,Reconnaissance,NA
1020,HEAO 1,(311th civilian),12 Aug 77,Astronomy,NA
1021,Voyager 2,(312th civilian),20 Aug 77,Planetary probe,NA
1022,Voyager 1,(313th civilian),5 Sep 77,Planetary probe,NA
1023,Titan Samos 49 / KH-8 49 GAMBIT,(710th military),23 Sep 77,Reconnaissance,NA
1024,ISEE 1,(314th civilian),22 Oct 77,Earth/space sciences,NA
1025,ISEE 2,(315th civilian),22 Oct 77,Earth/space sciences,NA
1026,Transat O-11 / NNS O-11,(711th military),28 Oct 77,Navigation,NA
1027,NOSS 2 / PARCAE 2,(712th military),8 Dec 77,Ocean surveillance,NA
1028,SSU 4,(713th military),8 Dec 77,Ocean surveillance,NA
1029,SSU 5,(714th military),8 Dec 77,Ocean surveillance,NA
1030,SSU 6,(715th military),8 Dec 77,Ocean surveillance,NA
1031,Rhyolite RH-3 / AQUACADE 3,(716th military),11 Dec 77,Electronic intelligence,NA
1032,IUE,(316th civilian),26 Jan 78,Astronomy,NA
1033,Fleetsatcom 1,(717th military),9 Feb 78,Communications,NA
1034,Navstar 1 / NDS 1 / GPS 1-1,(718th military),22 Feb 78,Navigation,NA
1035,SDS 6 / Jumpseat 5,(719th military),25 Feb 78,Electronic intelligence,NA
1036,Landsat 3,(317th civilian),5 Mar 78,Earth remote sensing,NA
1037,PIX,(318th civilian),5 Mar 78,Technology,NA
1038,Big Bird 14 / KH-9 14 HEXAGON,(720th military),16 Mar 78,Reconnaissance,NA
1039,Hitchhiker 40,(721st military),16 Mar 78,Electronic intelligence,NA
1040,DSCS 2-9,(722nd military),25 Mar 78,Communications,NA
1041,DSCS 2-10,(723rd military),25 Mar 78,Communications,NA
1042,Rhyolite RH-4 / AQUACADE 4,(724th military),7 Apr 78,Electronic intelligence,NA
1043,HCMM,(319th civilian),26 Apr 78,Earth sciences,NA
1044,AMS 3 / Block 5D #3,(725th military),1 May 78,Meteorology,NA
1045,Navstar 2 / NDS 2 / GPS 1-2,(726th military),13 May 78,Navigation,NA
1046,Pioneer Venus 1,(320tht civilian),20 May 78,Planetary probe,NA
1047,IMEWS 8 / CHALET 1,(727th military),10 Jun 78,Electronic intelligence,NA
1048,KH-11 2 KENNAN,(728th military),14 Jun 78,Reconnaissance,NA
1049,GOES 3,(321st civilian),16 Jun 78,Meteorology,NA
1050,Seasat 1,(322nd civilian),27 Jun 78,Ocean monitoring,NA
1051,SDS 7,(729th military),5 Aug 78,Communications,NA
1052,Pioneer Venus 2,(323rd civilian),8 Aug 78,Planetary probe,NA
1053,Sounder Probe,(324th civilian),8 Aug 78,Planetary probe,NA
1054,North Probe,(325th civilian),8 Aug 78,Planetary probe,NA
1055,Day Probe,(326th civilian),8 Aug 78,Planetary probe,NA
1056,Night Probe,(327th civilian),8 Aug 78,Planetary probe,NA
1057,ISEE 3,(328th civilian),12 Aug 78,Earth-Sun relations studies,NA
1058,Navstar 3 / GPS 1-3,(730th military),7 Oct 78,Navigation,NA
1059,Tiros 11,(329th civilian),13 Oct 78,Meteorology,NA
1060,Nimbus 7,(330th civilian),13 Oct 78,Meteorology,NA
1061,Cameo,(331st civilian),13 Oct 78,Earth sciences,NA
1062,HEAO 2 / Einstein Observatory,(332nd civilian),13 Nov 78,Astronomy,NA
1063,Navstar 4 / GPS 1-4,(731st military),11 Dec 78,Navigation,NA
1064,DSCS 2-11,(732nd military),14 Dec 78,Communications,NA
1065,DSCS 2-12,(733rd military),14 Dec 78,Communications,NA
1066,ORIMS,(333rd civilian),15 Dec 78,NA,NA
1067,SCATHA,(734th military),30 Jan 79,Technology,NA
1068,SAGE / AEM-B,(334th civilian),18 Feb 79,Earth sciences,NA
1069,Solwind,(735th military),24 Feb 79,Earth sciences,NA
1070,Big Bird 15 / KH-9 15 HEXAGON,(736th military),16 Mar 79,Reconnaissance,NA
1071,Hitchhiker 41,(737th military),16 Mar 79,Electronic intelligence,NA
1072,Fleetsatcom 2,(738th military),4 May 79,Communications,NA
1073,Titan Samos 50 / KH-8 50 GAMBIT,(739th military),28 May 79,Reconnaissance,NA
1074,AMS 4 / Block 5D #4,(740th military),6 Jun 79,Meteorology,NA
1075,IMEWS 9 / DSP 11,(741st military),10 Jun 79,Missile early warning,NA
1076,NOAA 6,(335th civilian),27 Jun 79,Meteorology,NA
1077,HEAO 3,(336th civilian),20 Sep 79,Astronomy,NA
1078,IMEWS 10 / Chalet 2,(742nd military),1 Oct 79,Missile early warning,NA
1079,Magsat / AEM-C,(337th civilian),30 Oct 79,Earth sciences,NA
1080,DSCS 2-13,(743rd military),21 Nov 79,Communications,NA
1081,DSCS 2-14,(744th military),21 Nov 79,Communications,NA
1082,Fleetsatcom 3,(745th military),18 Jan 80,Communications,NA
1083,KH-11 3 KENNAN,(746th military),7 Feb 80,Reconnaissance,NA
1084,Navstar 5 / GPS 1-5,(747th military),9 Feb 80,Navigation,NA
1085,SMM / Solar Maximum Mission,(338th civilian),14 Feb 80,Solar observatory,NA
1086,NOSS / PARCAE 3,(748th military),3 Mar 80,Ocean surveillance,NA
1087,SSU,(749th military),3 Mar 80,Ocean surveillance,NA
1088,SSU,(750th military),3 Mar 80,Ocean surveillance,NA
1089,SSU,(751st military),3 Mar 80,Ocean surveillance,NA
1090,Navstar 6 / GPS 1-6,(752nd military),26 Apr 80,Navigation,NA
1091,NOAA 7,(339th civilian),29 May 80,Meteorology,NA
1092,Big Bird 16 / KH-9 16 HEXAGON,(753rd military),18 Jun 80,Reconnaissance,NA
1093,Subsatellite,(754th military),18 Jun 80,Electronic intelligence,NA
1094,AMS 5 / Block 5D F5,(755th military),15 Jul 80,Meteorology,NA
1095,GOES 4,(340th civilian),9 Sep 80,Meteorology,NA
1096,Fleetsatcom 4,(756th military),31 Oct 80,Communications,NA
1097,NOSS / PARCAE 4,(757th military),9 Dec 80,Ocean surveillance,NA
1098,SSU,(758th military),9 Dec 80,Ocean surveillance,NA
1099,SSU,(759th military),9 Dec 80,Ocean surveillance,NA
1100,SSU,(760th military),9 Dec 80,Ocean surveillance,NA
1101,LIPS,(761st military),9 Dec 80,NA,NA
1102,SDS 4,(762nd military),13 Dec 80,Communications,NA
1103,Titan Samos 51 / KH-8 51 GAMBIT,(763rd military),28 Feb 81,Reconnaissance,NA
1104,IMEWS 11 / DSP F10,(764th military),19 Mar 81,Missile early warning,NA
1105,STS-1 / OFT-1,(341st civilian),12 Apr 81,Piloted spaceship,NA
1106,SDS 7 / Jumpseat 6,(765th military),24 Apr 81,Electronic intelligence,NA
1107,NOVA 1,(766th military),25 May 81,Navigation,NA
1108,GOES 5,(342nd civilian),22 May 81,Meteorology,NA
1109,NOAA 7,(343rd civilian),23 Jun 81,Meteorology,NA
1110,DE-1 / Dynamic Explorer 1,(344th civilian),3 Aug 81,Earth sciences,NA
1111,DE-2 / Dynamic Explorer 2,(345th civilian),3 Aug 81,Earth sciences,NA
1112,Fleetsatcom 5,(767th military),6 Aug 81,Communications,NA
1113,KH-11-4 KENNAN,(768th military),3 Sep 81,Reconnaissance,NA
1114,SME / Solar Mesosphere Explorer,(346th civilian),6 Oct 81,Sun observations,NA
1115,IMEWS 12 / Chalet 3,(769th military),31 Oct 81,Missile early warning,NA
1116,STS-2 / OFT-2,(347th civilian),12 Nov 81,Piloted spaceship,NA
1117,Navstar 7 (GPS 1-7),(770th military),19 Dec 81,Navigation,NA
1118,Titan Samos 52 / KH-8 52 GAMBIT,(771st military),21 Jan 82,Reconnaissance,NA
1119,IMEWS 13 / DSP 13,(772nd military),6 Mar 82,Missile early warning,NA
1120,STS-3 / OFT-3,(348th civilian),22 Mar 82,Piloted spaceship,NA
1121,Big Bird 17 / KH-9 17 HEXAGON,(773rd military),11 May 82,Reconnaissance,NA
1122,Hitchhiker,(774th military),11 May 82,Electronic intelligence,NA
1123,STS-4 / OFT-4,(349th civilian),27 Jun 82,Piloted spaceship,NA
1124,Landsat 4,(350th civilian),16 Jul 82,Earth remote sensing,NA
1125,DSCS 2-15,(775th military),30 Oct 82,Communications,NA
1126,DSCS 3-1,(776th military),30 Oct 82,Communications,NA
1127,STS-5,(351st civilian),11 Nov 82,Piloted spaceship,NA
1128,KH-11 5 KENNAN,(777th military),17 Nov 82,Reconnaissance,NA
1129,AMS 5 / Block 5D-2 F-6,(778th military),21 Dec 82,Meteorology,NA
1130,IRAS,(352nd civilian),23 Jan 83,Astronomy,NA
1131,PIX-2,(353rd civilian),26 Jan 83,Ocean surveillance,NA
1132,NOSS 5 / PARCAE 5,(779th military),8 Feb 83,Ocean surveillance,NA
1133,LIPS 2,(780th military),8 Feb 83,NA,NA
1134,SSU,(781st military),8 Feb 83,Ocean surveillance,NA
1135,SSU,(782nd military),8 Feb 83,Ocean surveillance,NA
1136,SSU,(783rd military),8 Feb 83,Ocean surveillance,NA
1137,NOAA 8,(354th civilian),28 Mar 83,Meteorology,NA
1138,STS-6,(355th civilian),4 Apr 83,Piloted spaceship,NA
1139,TDRS 1,(356th civilian),4 Apr 83,Communications,NA
1140,Titan Samos 53 / KH-8 53 GAMBIT,(784th military),15 Apr 83,Reconnaissance,NA
1141,GOES 6,(357th civilian),28 Apr 83,Meteorology,NA
1142,NOSS 6 / PARCAE 6,(785th military),9 Jun 83,Ocean surveillance,NA
1143,SSU,(786th military),9 Jun 83,Ocean surveillance,NA
1144,SSU,(787th military),9 Jun 83,Ocean surveillance,NA
1145,SSU,(788th military),9 Jun 83,Ocean surveillance,NA
1146,STS-7,(358th civilian),18 Jun 83,Piloted spaceship,NA
1147,SPAS-01,(359th civilian),18 Jun 83,Material processing,NA
1148,Big Bird 18 / KH-9 18 HEXAGON,(789th military),20 Jun 83,Reconnaissance,NA
1149,Subsatellite,(790th military),20 Jun 83,Electronic intelligence,NA
1150,HILAT,(791st military),27 Jun 83,Communications,NA
1151,Navstar 8 / GPS 1-8,(792nd military),14 Jul 83,Navigation,NA
1152,SDS 8 / Jumpseat 7,(793rd military),31 Jul 83,Electronic intelligence,NA
1153,STS-8,(360th civilian),30 Aug 83,Piloted spaceship,NA
1154,DMSP Block 5D-2 F-7,(794th military),18 Nov 83,Meteorology,NA
1155,STS-9 / Spacelab 1,(361st civilian),28 Nov 83,Piloted spaceship,NA
1156,VORTEX 4 / Chalet 4,(795th military),31 Jan 84,Electronic intelligence,NA
1157,STS 41-B,(362nd civilian),3 Feb 84,Piloted spaceship,NA
1158,IRT,(363rd civilian),3 Feb 84,Technology,NA
1159,NOSS / PARCAE 7,(796th military),5 Feb 84,Electronic intelligence,NA
1160,JD1,(797th military),5 Feb 84,Electronic intelligence,NA
1161,JD2,(798th military),5 Feb 84,Electronic intelligence,NA
1162,JD3,(799th military),5 Feb 84,Electronic intelligence,NA
1163,Landsat 5,(364th civilian),1 Mar 84,Earth remote sensing,NA
1164,STS 41-C,(365th civilian),6 Apr 84,Piloted spaceship,NA
1165,LDEF,(366th civilian),6 Apr 84,Material processing,NA
1166,DSP F12,(800th military),14 Apr 84,Missile early warning,NA
1167,KH-8 54 GAMBIT,(801st military),17 Apr 84,Reconnaissance,NA
1168,Navstar 9 / GPS 1-9 (USA 1),(802nd military),13 Jun 84,Navigation,NA
1169,Big Bird 19 / KH-9 19 HEXAGON,(803rd military),25 Jun 84,Reconnaissance,NA
1170,Hitchhicker (USA 3),(804th military),25 Jun 84,Electronic intelligence,NA
1171,AMPTE 1 / AMPTE-CCE,(367th civilian),16 Aug 84,Earth sciences,NA
1172,AMPTE 2 / AMPTE-IRM,(368th civilian),16 Aug 84,Earth sciences,NA
1173,STP,(369th civilian),16 Aug 84,Technology,NA
1174,SDS 5 (USA 4),(805th military),28 Aug 84,Communications,NA
1175,STS 41-D,(370th civilian),30 Aug 84,Piloted spaceship,NA
1176,Syncom IV-2 / Leasat 2,(806th military),30 Aug 84,Communications,NA
1177,Navstar 10 / GPS 1-10 (USA 5),(807th military),8 Sep 84,Navigation,NA
1178,STS 41-G,(371st civilian),5 Oct 84,Piloted spaceship,NA
1179,ERBS,(372nd civilian),5 Oct 84,Earth sciences,NA
1180,Nova 3,(808th military),12 Nov 84,Navigation,NA
1181,STS 51-A,(373rd civilian),8 Nov 84,Piloted spaceship,NA
1182,Syncom IV-1 / Leasat 1,(809th military),8 Nov 84,Communications,NA
1183,KH-11 6 KENNAN (USA 6),(810th military),4 Dec 84,Reconnaissance,NA
1184,NOAA 9,(374th civilian),12 Dec 84,Meteorology,NA
1185,DSP F6R (USA 7),(811th military),22 Dec 84,Missile early warning,NA
1186,STS 51-C,(812th military),24 Jan 85,Piloted spaceship,NA
1187,Magnum 1 (USA 8),(813th military),24 Jan 82,Electronic intelligence,NA
1188,SDS 6 (USA 9),(814th military),6 Feb 85,Communications,NA
1189,Geosat 1,(815th military),13 Mar 85,Ocean surveillance,NA
1190,STS 51-D,(375th civilian),12 Apr 85,Piloted spaceship,NA
1191,Syncom IV-3 / Leasat 3,(816th military),12 Apr 85,Communications,NA
1192,STS 51-B / Spacelab 3,(376th civilian),29 Apr 85,Piloted spaceship,NA
1193,STS 51-G,(377th civilian),17 Jun 85,Piloted spaceship,NA
1194,Spartan 1,(378th civilian),17 Jun 85,Astronomy,NA
1195,STS 51-F / Spacelab 2,(379th civilian),29 Jul 85,Piloted spaceship,NA
1196,PDP,(380th civilian),29 Jul 85,Earth sciences,NA
1197,SOOS / Oscar 24 / NNS O-24,(817th military),3 Aug 85,Navigation,NA
1198,NNS O-30,(818th military),3 Aug 85,Navigation,NA
1199,STS 51-I,(381st civilian),27 Aug 85,Piloted spaceship,NA
1200,Syncom IV-4 / Leasat 4,(819th military),27 Aug 85,Communications,NA
1201,KH-11 7 KENNAN,(820th military),28 Aug 85,Reconnaissance,NA
1202,STS 51-J,(821st military),3 Oct 85,Piloted spaceship,NA
1203,DSCS 3-2 (USA 11),(822nd military),3 Oct 85,Communications,NA
1204,DSCS 3-3 (USA 12),(823rd military),3 Oct 85,Communications,NA
1205,Navstar 11 / GPS 1-11 (USA 10),(824th military),9 Oct 85,Navigation,NA
1206,STS 61-A / Spacelab D-1,(382nd civilian),30 Oct 85,Piloted spaceship,NA
1207,GLOMR,(825th military),30 Oct 85,Communications,NA
1208,STS 61-B,(383rd civilian),27 Nov 85,Piloted spaceship,NA
1209,OEX,(384th civilian),27 Nov 85,Technology,NA
1210,ITV 1 (USA 13),(826th military),13 Dec 85,Antisatellite technology,NA
1211,ITV 1 (USA 14),(827th military),13 Dec 85,Antisatellite technology,NA
1212,ITV 1 balloon,(828th military),13 Dec 85,Antisatellite technology,NA
1213,ITV 1 balloon,(829th military),13 Dec 85,Antisatellite technology,NA
1214,STS 61-C,(385th civilian),12 Jan 86,Piloted spaceship,NA
1215,STS 51-L,(386th civilian),28 Jan 86,Piloted spaceship,NA
1216,TDRS-B,(387th civilian),28 Jan 86,Communications,NA
1217,Spartan-Halley,(388th civilian),28 Jan 86,Astronomy,NA
1218,NOSS / PARCAE (USA 15),(830th military),9 Feb 86,Ocean surveillance,NA
1219,SSU (USA 16),(831st military),9 Feb 86,Ocean surveillance,NA
1220,SSU (USA 17),(832nd military),9 Feb 86,Ocean surveillance,NA
1221,SSU (USA 18),(833rd military),9 Feb 86,Ocean surveillance,NA
1222,KH-9 20 HEXAGON,(834th military),18 Apr 86,Reconnaissance,NA
1223,Subsatellite,(835th military),18 Apr 86,Electronic intelligence,NA
1224,GOES G,(389th civilian),3 May 86,Meteorology,NA
1225,Delta 180 (USA 19),(836th military),5 Sep 86,Space defense,NA
1226,DM 43 Sensor Module,(837th military),5 Sep 86,Space defense,NA
1227,NOAA 10,(390th civilian),17 Sep 86,Meteorology,NA
1228,POLAR BEAR / NNS O-17,(838th military),14 Nov 86,Navigation,NA
1229,Fleetsatcom 7 (USA 20),(839th military),5 Dec 86,Communications,NA
1230,SDS 7 (USA 21),(840th military),12 Feb 87,Communications,NA
1231,GOES 7,(391st civilian),26 Feb 87,Meteorology,NA
1232,Fleetsatcom F6,(841st military),26 Mar 87,Communications,NA
1233,PARCAE (USA 22),(842nd military),15 May 87,Ocean surveillance,NA
1234,LIPS 3,(843rd military),15 May 87,NA,NA
1235,SSU (USA 23),(844th military),15 May 87,Ocean surveillance,NA
1236,SSU (USA 24),(845th military),15 May 87,Ocean surveillance,NA
1237,SSU (USA 25),(846th military),15 May 87,Ocean surveillance,NA
1238,DMSP Block 5D-2 (USA 26),(847th military),20 Jun 87,Meteorology,NA
1239,Transit-O 27 / NNS O-27,(848th military),16 Sep 87,Navigation,NA
1240,Transit-O 29 / NNS O-29,(849th military),16 Sep 87,Navigation,NA
1241,KH-11 8 KENNAN (USA 27),(850th military),26 Oct 87,Reconnaissance,NA
1242,DSP F5R (USA 28),(851st military),29 Nov 87,Missile early warning,NA
1243,DMSP Block 5D-2 (USA 29),(852nd military),3 Feb 88,Meteorology,NA
1244,Delta 181 (Canister Cluster) (USA 30),(853rd military),8 Feb 88,Space defense,NA
1245,Delta 181 (Sensor Module),(854th military),8 Feb 88,Space defense,NA
1246,SPX,(855th military),8 Feb 88,Technology?,NA
1247,SOOS 3A / NNS O-23,(856th military),26 Apr 88,Navigation,NA
1248,SOOS 3B / NNS O-32,(857th military),26 Apr 88,Navigation,NA
1249,Nova 2,(858th military),16 Jun 88,Navigation,NA
1250,Transit-O 25 / NNS O-25,(859th military),25 Aug 88,Navigation,NA
1251,Transit-O 26 / NNS O-31,(860th military),25 Aug 88,Navigation,NA
1252,VORTEX 5 / Chalet 5 (USA 31),(861st military),2 Sep 88,Electronic intelligence,NA
1253,BWASS R1 (USA 32),(862nd military),5 Sep 88,Electronic intelligence,NA
1254,NOAA 11,(392nd civilian),24 Sep 88,Meteorology,NA
1255,STS-26,(393th civilian),29 Sep 88,Piloted spaceship,NA
1256,TDRS 3,(394th civilian),29 Sep 88,Communications,NA
1257,KH-11 9 KENNAN (USA 33),(863rd military),6 Nov 88,Reconnaissance,NA
1258,STS-27,(864th military),2 Dec 88,Piloted spaceship,NA
1259,LACROSSE 1 (USA 34),(865th military),2 Dec 88,Radar surveillance,NA
1260,Navstar 2-01 / GPS 2 F1 (USA 35),(866th military),14 Feb 89,Navigation,NA
1261,STS-29,(395th civilian),13 Mar 89,Piloted spaceship,NA
1262,TDRS 4,(396th civilian),13 Mar 89,Communications,NA
1263,Delta Star (USA 36),(867th military),24 Mar 89,Space defense,NA
1264,STS-30,(397th civilian),4 May 89,Piloted spaceship,NA
1265,Magellan,(398th civilian),4 May 89,Planetary probe,NA
1266,VORTEX 6 / Chalet 6 (USA 37),(865th military),10 May 89,Electronic intelligence,NA
1267,Navstar 2-02 / GPS 2 F2 (USA 38),(869th military),10 Jun 89,Navigation,NA
1268,DSP 14 (USA 39),(870th military),14 Jun 89,Missile early warning,NA
1269,STS-28,(871st military),8 Aug 89,Piloted spaceship,NA
1270,SDS B-1 (USA 40),(872nd military),8 Aug 89,Communications,NA
1271,SSF (USA 41),(873rd military),8 Aug 89,Electronic intelligence,NA
1272,Navstar 2-03 / GPS 2 F3 (USA 42),(874th military),18 Aug 89,Navigation,NA
1273,DSCS II F-16 (USA 43),(875th military),4 Sep 89,Communications,NA
1274,DSCS III F-4 (USA 44),(876th military),4 Sep 89,Communications,NA
1275,SBWASS R2 (USA 45),(877th military),6 Sep 89,Electronic intelligence,NA
1276,Fleetsatcom 8 (USA 46),(878th military),25 Sep 89,Communications,NA
1277,STS-34,(399th civilian),18 Oct 89,Piloted spaceship,NA
1278,Galileo,(400th civilian),18 Oct 89,Planetary probe,NA
1279,Jovian probe,(401st civilian),18 Oct 89,Planetary probe,NA
1280,Navstar 2-04 / GPS 2 F4 (USA 47),(879th military),21 Oct 89,Navigation,NA
1281,COBE,(402nd civilian),18 Nov 89,Astronomy,NA
1282,STS-33,(880th military),23 Nov 89,Piloted spaceship,NA
1283,Magnum 2 (USA 48),(881st military),23 Nov 89,Electronic intelligence,NA
1284,Navstar 2-05 / GPS 2 F5 (USA 49),(882nd military),11 Dec 89,Navigation,NA
1285,STS-32,(403rd civilian),9 Jan 90,Piloted spaceship,NA
1286,Syncom IV-5 / Leasat 5,(883rd military),9 Jan 90,Communications,NA
1287,Navstar 2-06 / GPS 2-6 (USA 50),(884th military),24 Jan 90,Navigation,NA
1288,LACE (USA 51),(885th military),14 Feb 90,Space defense,NA
1289,RME / Losat (USA 52),(886th military),14 Feb 90,Space defense,NA
1290,STS-36,(887th military),28 Feb 90,Piloted spaceship,NA
1291,Advanced Crystal / KH-12 1 (USA 53) ,(888th military),28 Feb 90,Reconnaissance,NA
1292,Navstar 2-07 / GPS 2-7 (USA 54),(889th military),26 Mar 90,Navigation,NA
1293,PEGSAT / Orion 38,(890th military),5 Apr 90,Earth sciences,NA
1294,Glomar 2 / TERCEL / SECS (USA 55) ,(891st military),5 Apr 90,Communications,NA
1295,POGS & SSR (USA 56),(892nd military),11 Apr 90,Technology,NA
1296,TEX (USA 57),(893rd military),11 Apr 90,Technology,NA
1297,SCE (USA 58),(894th military),11 Apr 90,Technology,NA
1298,STS-31,(404th civilian),24 Apr 90,Piloted spaceship,NA
1299,HST / The Hubble Space Telescope,(405th civilian),24 Apr 90,Astronomy,NA
1300,Macsat 1 / M1,(895th military),9 May 90,Communications,NA
1301,Macsat 2 / M2,(896th military),9 May 90,Communications,NA
1302,NOSS-2 / SLDCOM 1 (USA 59),(897th military),8 Jun 90,Electronic intelligence,NA
1303,SSU (USA 60),(898th military),8 Jun 90,Electronic intelligence,NA
1304,SSU (USA 61),(899th military),8 Jun 90,Electronic intelligence,NA
1305,SSU (USA 62),(900th military),8 Jun 90,Electronic intelligence,NA
1306,CRRES,(406th civilian),25 Jul 90,Earth sciences,NA
1307,Navstar 2-08 / GPS 2-8 (USA 63),(901st military),2 Aug 90,Navigation,NA
1308,Navstar 2-09 / GPS 2-9 (USA 64),(902nd military),1 Oct 90,Navigation,NA
1309,STS-41,(407th civilian),6 Oct 90,Piloted spaceship,NA
1310,DSP 15 (USA 65),(903rd military),13 Nov 90,Missile early warning,NA
