Ops #,Satellite Name,Intl Designation,Launch,Re-entry
Ops-8424,KH 8-54,1984,039A,17-Apr-1984,13-Aug-1984
Ops-8425,KH 4A-21,1965,045A,9-Jun-1965,22-Jun-1965
Ops-8431,KH 4A-20,1965,037A,18-May-1965,15-Jun-1965
Ops-8452,SESP,73-5,1974,085C,29-Oct-1974,26-May-1975
Ops-8455,KH 8-24,1969,095A,24-Oct-1969,8-Nov-1969
Ops-8464,NNSS-30050,1965,065F,13-Aug-1965,
Ops-8480,NNSS-30040,1965,048A,24-Jun-1965,
Ops-8514,USA-41,1989,061C,8-Aug-1989,
Ops-8520,Hitchiker-27,1970,040B,20-May-1970,8-Mar-1974
Ops-8533,KH 8-48,1976,094A,15-Sep-1976,5-Nov-1976
Ops-8579,DMSP-5,1974,015A,16-Mar-1974,
Ops-8595,Hitchiker-20,1968,078B,18-Sep-1968,28-Sep-1969
Ops-8607,KH 8-32,1971,070A,12-Aug-1971,3-Sep-1971
Ops-8701,IMEWS-10,1982,019A,6-Mar-1982,
Ops-8709,KH 9-1,1971,056A,15-Jun-1971,6-Aug-1971
Ops-8737,NOSS-6,1984,012A,5-Feb-1984,
Ops-8781,NOSS-2,1977,112A,8-Dec-1977,
Ops-8790,RH-4,1978,038A,8-Apr-1978,
Ops-8888,KH 8-37,1972,068A,1-Sep-1972,30-Sep-1972
Ops-8916,NA,1967,031B,6-Apr-1967,29-Jun-1968
Ops-8968,KH 8-3,1966,113A,14-Dec-1966,24-Dec-1966
Ops-9311,IDSCS-1,1966,053B,16-Jun-1966,
Ops-9312,IDSCS-2,1966,053C,16-Jun-1966,
Ops-9313,IDSCS-3,1966,053D,16-Jun-1966,
Ops-9314,IDSCS-4,1966,053E,16-Jun-1966,
Ops-9315,IDSCS-5,1966,053F,16-Jun-1966,
Ops-9316,IDSCS-6,1966,053G,16-Jun-1966,
Ops-9317,IDSCS-7,1966,053H,16-Jun-1966,
Ops-9321,IDSCS-8,1967,003A,18-Jan-1967,
Ops-9322,IDSCS-9,1967,003B,18-Jan-1967,
Ops-9323,IDSCS-10,1967,003C,18-Jan-1967,
Ops-9324,IDSCS-11,1967,003D,18-Jan-1967,
Ops-9325,IDSCS-12,1967,003E,18-Jan-1967,
Ops-9326,IDSCS-13,1967,003F,18-Jan-1967,
Ops-9327,IDSCS-14,1967,003G,18-Jan-1967,
Ops-9328,IDSCS-15,1967,003H,18-Jan-1967,
Ops-9331,IDSCS-16,1967,066A,1-Jul-1967,
Ops-9332,IDSCS-17,1967,066B,1-Jul-1967,
Ops-9333,IDSCS-18,1967,066C,1-Jul-1967,
Ops-9334,DATS-1,1967,066D,1-Jul-1967,
Ops-9341,IDSCS-19,1968,050A,13-Jun-1968,
Ops-9342,IDSCS-20,1968,050B,13-Jun-1968,
Ops-9343,IDSCS-21,1968,050C,13-Jun-1968,
Ops-9344,IDSCS-22,1968,050D,13-Jun-1968,
Ops-9345,IDSCS-23,1968,050E,13-Jun-1968,
Ops-9346,IDSCS-24,1968,050F,13-Jun-1968,
Ops-9347,IDSCS-25,1968,050G,13-Jun-1968,
Ops-9348,IDSCS-26,1968,050H,13-Jun-1968,
Ops-9381,GGTS,1966,053A,16-Jun-1966,
Ops-9390,Canyon-5,1972,101A,20-Dec-1972,
Ops-9431,DSCS,II-1,1971,095A,3-Nov-1971,
Ops-9432,DSCS,II-2,1971,095B,3-Nov-1971,
Ops-9433,DSCS,II-3,1973,100A,13-Dec-1973,
Ops-9434,DSCS,II-4,1973,100B,13-Dec-1973,
Ops-9435,DSCS,II-5,1975,040A,20-May-1975,26-May-1975
Ops-9436,DSCS,II-6,1975,040B,20-May-1975,26-May-1975
Ops-9437,DSCS,II-7,1977,034A,12-May-1977,
Ops-9438,DSCS,II-8,1977,034B,12-May-1977,
Ops-9439,DSCS,II-10,failed,25-Mar-1978,NA
Ops-9440,DSCS,II-9,failed,25-Mar-1978,NA
Ops-9441,DSCS,II-11,1978,113A,14-Dec-1978,
Ops-9442,DSCS,II-12,1978,113B,14-Dec-1978,
Ops-9443,DSCS,II-13,1979,098A,21-Nov-1979,
Ops-9444,DSCS,II-14,1979,098B,21-Nov-1979,
Ops-9751,Canyon-7,1977,038A,23-May-1977,
Ops-9794,Navstar-8,1983,072A,14-Jul-1983,
Ops-9845,DMSP,F-1,1982,118A,21-Dec-1982,

Ops,numbers
Name,Intl.,Designation,Launch,Re-entry,Notes
USA-1,1984,059A,13-Jun-1984,Navstar-9
USA-2,1984,065A,25-Jun-1984,18-Oct-1984,KH 9-20
USA-3,1984,065C,25-Jun-1984,Small,elint
USA-4,1984,091A,28-Aug-1984,Jumpseat-4
USA-5,1984,097A,8-Sep-1984,Navstar-10
USA-6,1984,122A,4-Dec-1984,KH 11-6
USA-7,1984,129A,22-Dec-1984,IMEWS-12
USA-8,1985,010B,24-Jan-1985,Magnum-1
USA-9,1985,014A,8-Feb-1985,SDS-6
USA-10,1985,093A,9-Oct-1985,Navstar-11
USA-11,1985,092B,3-Oct-1985,DSCS,III-2
USA-12,1985,092C,3-Oct-1985,DSCS,III-3
USA-13,1985,114A,13-Dec-1985,11-May-1989,ITV-1
USA-14,1985,114B,13-Dec-1985,9-Aug-1987,ITV-2
USA-15,1986,014A,9-Feb-1986,NOSS-7
USA-16,1986,014E,9-Feb-1986,SSU
USA-17,1986,014F,9-Feb-1986,SSU
USA-18,1986,014H,9-Feb-1986,SSU
USA-19,1986,069A,5-Sep-1986,28-Sep-1986,SDI,test
NA,1986,069B,5-Sep-1986,25-Nov-1986,Upper,stage,used,in,SDI,test
USA-20,1986,096A,5-Dec-1986,Fltsatcom-7
USA-21,1987,015A,12-Feb-1987,SDS-7
USA-22,1987,043A,15-May-1987,NOSS-8
USA-23,1987,043E,15-May-1987,SSU
USA-24,1987,043F,15-May-1987,SSU
USA-25,1987,043H,15-May-1987,SSU
USA-26,1987,053A,20-Jun-1987,DMSP,F-8
USA-27,1987,090A,26-Oct-1987,Jun-1992,KH 11-7
USA-28,1987,097A,29-Nov-1987,IMEWS-13
USA-29,1988,006A,3-Feb-1988,DMSP,F-9
USA-30,1988,008A,8-Feb-1988,1-Mar-1988,SDI,test
USA-31,1988,077A,2-Sep-1988,Magnum-2;,failed,to,achieve,correct,orbit
USA-32,1988,078A,5-Sep-1988,NOSS-9
USA-33,1988,099A,6-Nov-1988,KH 11-8
USA-34,1988,106B,2-Dec-1988,Lacrosse-1
USA-35,1989,013A,14-Feb-1989,Navstar,2-1
USA-36,1989,026A,24-Mar-1989,23-Jun-1992,Delta,Star
USA-37,1989,035A,10-May-1989,Magnum-3
USA-38,1989,044A,10-Jun-1989,Navstar,2-2
USA-39,1989,046A,14-Jun-1989,IMEWS-14
USA-40,1989,061B,8-Aug-1989,A.,Jumpseat-1
USA-41,1989,061C,8-Aug-1989,SDI,test;,Ops-8541
USA-42,1989,064A,18-Aug-1989,Navstar,2-3
USA-43,1989,069A,4-Sep-1989,DSCS,II-16
USA-44,1989,069B,4-Sep-1989,DSCS,III-4
USA-45,1989,072A,6-Sep-1989,NOSS-10
USA-46,1989,077A,25-Sep-1989,Fltsatcom-8
USA-47,1989,085A,21-Oct-1989,Navstar,2-4
USA-48,1989,090B,23-Nov-1989,Magnum-4
USA-49,1989,097A,11-Dec-1989,Navstar,2-5
USA-50,1990,008A,24-Jan-1990,Navstar,2-6
USA-51,1990,015A,14-Feb-1990,24-May-2000,LACE
USA-52,1990,015B,14-Feb-1990,RME
USA-53,1990,019B,1-Mar-1990,1990,KH 12-1,and,AFP-731
USA-54,1990,025A,26-Mar-1990,Navstar,2-7
USA-55,1990,028B,5-Apr-1990,Glomar
USA-56,1990,031A,11-Apr-1990,POGS/SSR
USA-57,1990,031B,11-Apr-1990,TEX
USA-58,1990,031C,11-Apr-1990,SCE
USA-59,1990,050A,8-Jun-1990,NOSS,2-1
USA-60,1990,050C,8-Jun-1990,SSU
USA-61,1990,050D,8-Jun-1990,SSU
USA-62,1990,050E,8-Jun-1990,SSU
USA-63,1990,068A,2-Aug-1990,Navstar,2-8
USA-64,1990,088A,1-Oct-1990,Navstar,2-9
USA-65,1990,095A,13-Nov-1990,IMEWS-15
USA-66,1990,103A,26-Nov-1990,Navstar,2A-1
USA-67,1990,097B,15-Nov-1990,KH 12-2,and,AFP-658
USA-68,1990,105A,1-Dec-1990,DMSP,F-10
USA-69,1991,017A,8-Mar-1991,Lacrosse-2
USA-70,1991,031C,6-May-1991,MPEC
USA-71,1991,047A,4-Jul-1991,Navstar,2A-2
USA-72,1991,076A,8-Nov-1991,NOSS,2-2
USA-73,1991,082A,28-Nov-1991,DMSP,F-11
USA-74,1991,076C,8-Nov-1991,SSU
USA-75,1991,080B,25-Nov-1991,IMEWS-16
USA-76,1991,076D,8-Nov-1991,SSU
USA-77,1991,076E,8-Nov-1991,SSU
USA-78,1992,006A,11-Feb-1992,DSCS,III-5
USA-79,1992,009A,23-Feb-1992,Navstar,2A-3
USA-80,1992,019A,10-Apr-1992,Navstar,2A-4
USA-81,1992,023A,25-Apr-1992,NOSS-11
USA-82,1992,037A,2-Jul-1992,DSCS,III-6
USA-83,1992,039A,7-Jul-1992,Navstar,2A-5
USA-84,1992,058A,9-Sep-1992,Navstar,2A-6
USA-85,1992,079A,23-Nov-1992,Navstar,2A-7
USA-86,1992,083A,28-Nov-1992,Adv,KH 11-1
USA-87,1992,089A,18-Dec-1992,Navstar,2A-8
USA-88,1993,007A,3-Feb-1993,Navstar,2A-9
USA-89,1992,086B,2-Dec-1992,A.,Jumpseat-2
USA-90,1993,017A,30-Mar-1993,Navstar,2A-10
USA-91,1993,032A,13-May-1993,Navstar,2A-11
USA-92,1993,042A,26-Jun-1993,Navstar,2A-12
USA-93,1993,046A,19-Jul-1993,DSCS,III-7
USA-94,1993,054A,30-Aug-1993,Navstar,2A-13
USA-95,1993,056A,3-Sep-1993,UHF-2
USA-96,1993,068A,26-Oct-1993,Navstar,2A-14
USA-97,1993,074A,28-Nov-1993,DSCS,III-8
USA-98,1993,076A,8-Dec-1993,NATO-4B
USA-99,1994,009A,7-Feb-1994,Milstar,1-1
USA-100,1994,016A,10-Mar-1994,Navstar,2A-15
USA-101,1994,017A,13-Mar-1994,STEP-0
USA-102,1994,017B,13-Mar-1994,Darpasat
USA-103,1994,026A,3-May-1994,A.,Jumpseat-3
USA-104,1994,035A,25-Jun-1994,UHF-3
USA-105,1994,054A,27-Aug-1994,Vortex,2-1
USA-106,1994,057A,29-Aug-1994,DMSP,F-12
USA-107,1994,084A,22-Dec-1994,IMEWS-17
USA-108,1995,003A,29-Jan-1995,UHF-4
USA-109,1995,015A,24-Mar-1995,DMSP,F-13
USA-110,1995,022A,14-May-1995,Orion-1
USA-111,1995,027A,31-May-1995,UHF-5
USA-112,1995,034A,10-Jul-1995,A.,Jumpseat-4
USA-113,1995,038A,31-Jul-1995,DSCS,III-9
USA-114,1995,057A,22-Oct-1995,UHF-6
USA-115,1995,060A,6-Nov-1995,Milstar,1-2
USA-116,1995,066A,5-Dec-1995,Adv,KH 11-2
USA-117,1996,019A,28-Mar-1996,Navstar,2A-16
USA-118,1996,026A,24-Apr-1996,Vortex,2-2
USA-119,1996,029A,12-May-1996,SSU
USA-120,1996,029B,12-May-1996,SSU
USA-121,1996,029C,12-May-1996,SSU
USA-122,1996,029D,12-May-1996,NOSS,2-4
USA-123,1996,029E,20-Jun-1996,TiPS-1
USA-124,1996,029F,20-Jun-1996,TiPS-2
USA-125,1996,038A,3-Jul-1996,SDS,2-1
USA-126,1996,041A,16-Jul-1996,Navstar,2A-17
USA-127,1996,042A,27-Jul-1996,UHF-7
USA-128,1996,056A,12-Sep-1996,Navstar,2A-18
USA-129,1996,072A,20-Dec-1996,Adv,KH 11-3
USA-130,1997,008A,24-Feb-1997,IMEWS-18
USA-131,1997,012A,4-Apr-1997,DMSP,F-14
USA-132,1997,035A,23-Jul-1997,Navstar,2R-2
USA-133,1997,064A,24-Oct-1997,Lacrosse-3
USA-134,1997,067A,5-Nov-1997,Navstar,2A-19
USA-135,1997,065A,25-Oct-1997,DSCS,III-10
USA-136,1997,068A,8-Nov-1997,Trumpet-1
USA-137,1998,005A,29-Jan-1998,Capricorn
USA-138,1998,016A,16-Mar-1998,UHF-8
USA-139,1998,029A,9-May-1998,Orion-2
USA-140,1998,058A,20-Oct-1998,UHF-9
USA-141,1998,055C,16-Jan-1999,ATEX
USA-142,1999,017A,9-Apr-1999,IMEWS-19
USA-143,1999,023A,30-Apr-1999,Milstar,2-1
USA-144,1999,028A,22-May-1999,KH 12-3
USA-145,1999,055A,7-Oct-1999,Navstar,2R-3
USA-146,1999,063A,23-Nov-1999,UHF-10
USA-147,1999,067A,12-Dec-1999,DMSP,F-15
USA-148,2000,001A,21-Jan-2000,DSCS,III-11
USA-149,2000,024A,8-May-2000,IMEWS-20
USA-150,2000,025A,11-May-2000,Navstar,2R-4
USA-151,2000,040A,16-Jul-2000,Navstar,2R-5
USA-152,2000,047A,17-Aug-2000,Lacrosse-4
USA-153,2000,065A,20-Oct-2000,DSCS,III-12
USA-154,2000,071A,10-Nov-2000,Navstar,2R-6
USA-155,2000,080A,6-Dec-2000,Data,relay,Great,Bear
USA-156,2001,004A,30-Jan-2001,Navstar,2R-7
USA-157,2001,009A,27-Feb-2001,Milstar,2-2
USA-158,2001,020A,18-May-2001,Also,know,as,GeoLite
USA-159,2001,033A,6-Aug-2001,IMEWS-21
USA-160,2001,040A,8-Sep-2001,NOSS,3-1
USA-161,2001,044A,5-Oct-2001,Adv,KH 11-4
USA-162,2001,046A,11-Oct-2001,Aquila
USA-163,(Not,launched)
USA-164,2002,001A,16-Jan-2002,Milstar,2-3
USA-165,2005,011A,11-Apr-2005,XSS-11
USA-166,2003,005A,29-Jan-2003,Navstar,2R-8
USA-167,2003,008A,11-Mar-2003,DSCS,III-13
USA-168,2003,010A,31-Mar-2003,Navstar,2R-9
USA-169,2003,012A,8-Apr-2003,Milstar,2-4
USA-170,2003,040A,29-Aug-2003,DSCS,III-14
USA-171,2003,041A,9-Sep-2003,Orion-3
USA-172,2003,048A,18-Oct-2003,DMSP,F-16
USA-173,2003,054A,2-Dec-2003,NOSS,3-2
USA-174,2003,057A,18-Dec-2003,UHF-11
USA-175,2003,058A,21-Dec-2003,Navstar,2R-10
USA-176,2004,004A,14-Feb-2004,IMEWS-22
USA-177,2004,009A,20-Mar-2004,Navstar,2R-11
USA-178,2004,023A,23-Jun-2004,Navstar,2R-12
USA-179,2004,034A,31-Aug-2004,Nemesis
USA-180,2004,045A,6-Nov-2004,Navstar,2R-13
USA-181,2004,050A,21-Dec-2004,Heavy,Demonstration,Payload,(HDP)
USA-182,2005,004A,3-Feb-2005,NOSS,3-3
USA-183,2005,038A,26-Sep-2005,Navstar,2R-M1
USA-184,2006,027A,28-Jun-2006,NROL-22,and,Prowler-1
USA-185,2005,037A,23-Sep-2005,Streak,and,STP-R1
USA-186,2005,042A,19-Oct-2005,Advanced,KH 11-5
USA-187,2006,024A,21-Jun-2006,Technology;,MiTEx-A
USA-188,2006,024B,21-Jun-2006,Technology;,MiTEx-B
USA-189,2006,024C,21-Jun-2006,Propulsion,technology;,MiTEX-US
USA-190,2006,042A,26-Sep-2006,Navstar,2R-15
USA-191,2006,050A,4-Nov-2006,DMSP,F-17
USA-192,2006,052A,17-Nov-2006,Navstar,2R-16
USA-193,2006,057A,14-Dec-2006,NROL-21
USA-194,2007,027A,15-Jun-2007,NOSS,3-4
USA-195,2007,046A,11-Oct-2007,WGS-1
USA-196,2007,047A,17-Oct-2007,Navstar,2R-17
USA-197,2007,054A,11-Nov-2007,IMEWS-23
USA-198,2007,060A,10-Dec-2007,SDS,3-3,NROL-24,and,Scorpius
USA-199,2007,062A,20-Dec-2007,Navstar,2R-18
USA-200,2008,010A,13-Mar-2008,NROL-28,and,Prowler-2
USA-201,2008,012A,15-Mar-2008,Navstar,2R-19
USA-202,2009,001A,18-Jan-2009,Orion-4,and,NROL-26

